-- K07 monthly, Jul 1997 - Dec 2000: all formations, at 1000+ addresses (builder's definition), at the 23 addresses, weekend-dated
MO | N | AT1000 | MASS23 | WKEND
1997-07-01 | 1748 | 275 | 281 | 366
1997-08-01 | 1375 | 238 | 276 | 204
1997-09-01 | 1439 | 220 | 232 | 246
1997-10-01 | 2000 | 309 | 350 | 221
1997-11-01 | 1566 | 214 | 238 | 73
1997-12-01 | 1671 | 235 | 250 | 116
1998-01-01 | 1596 | 207 | 234 | 0
1998-02-01 | 1503 | 146 | 170 | 0
1998-03-01 | 1927 | 234 | 264 | 1
1998-04-01 | 2327 | 362 | 438 | 187
1998-05-01 | 1618 | 189 | 206 | 121
1998-06-01 | 2444 | 298 | 337 | 0
1998-07-01 | 2232 | 288 | 314 | 0
1998-08-01 | 1311 | 157 | 189 | 0
1998-09-01 | 1128 | 110 | 123 | 0
1998-10-01 | 1587 | 201 | 206 | 0
1998-11-01 | 1834 | 200 | 236 | 0
1998-12-01 | 1648 | 236 | 239 | 77
1999-01-01 | 1592 | 177 | 184 | 1
1999-02-01 | 1758 | 108 | 109 | 1
1999-03-01 | 2185 | 59 | 60 | 0
1999-04-01 | 1569 | 41 | 40 | 0
1999-05-01 | 1087 | 29 | 24 | 0
1999-06-01 | 1765 | 40 | 40 | 0
1999-07-01 | 1503 | 31 | 30 | 0
1999-08-01 | 1319 | 33 | 31 | 0
1999-09-01 | 1454 | 46 | 42 | 0
1999-10-01 | 1078 | 40 | 32 | 2
1999-11-01 | 1771 | 44 | 34 | 87
1999-12-01 | 1690 | 75 | 61 | 1
2000-01-01 | 1905 | 40 | 34 | 1
2000-02-01 | 2229 | 42 | 34 | 109
2000-03-01 | 2409 | 82 | 73 | 21
2000-04-01 | 2381 | 85 | 76 | 536
2000-05-01 | 809 | 8 | 3 | 1
2000-06-01 | 1489 | 33 | 22 | 76
2000-07-01 | 1098 | 22 | 19 | 0
2000-08-01 | 1105 | 14 | 6 | 1
2000-09-01 | 1303 | 17 | 12 | 0
2000-10-01 | 1233 | 13 | 5 | 1
2000-11-01 | 1417 | 15 | 9 | 0
2000-12-01 | 868 | 12 | 6 | 0
(42 rows)
