-- K10 daily around the cliff (18 Jan - 12 Mar 1999) and April-May 2000: all formations, at 1000+ addresses, at the 23 addresses
D | DOW | N | AT1000 | MASS23
1999-01-18 | Mon | 111 | 13 | 13
1999-01-19 | Tue | 110 | 11 | 9
1999-01-20 | Wed | 79 | 8 | 8
1999-01-21 | Thu | 60 | 2 | 1
1999-01-22 | Fri | 42 | 7 | 9
1999-01-25 | Mon | 37 | 0 | 0
1999-01-26 | Tue | 26 | 0 | 0
1999-01-27 | Wed | 81 | 4 | 5
1999-01-28 | Thu | 73 | 9 | 9
1999-01-29 | Fri | 54 | 4 | 5
1999-02-01 | Mon | 51 | 1 | 1
1999-02-02 | Tue | 32 | 3 | 3
1999-02-03 | Wed | 24 | 3 | 2
1999-02-04 | Thu | 71 | 3 | 2
1999-02-05 | Fri | 76 | 10 | 10
1999-02-08 | Mon | 47 | 1 | 1
1999-02-09 | Tue | 85 | 6 | 4
1999-02-10 | Wed | 75 | 14 | 13
1999-02-11 | Thu | 57 | 1 | 3
1999-02-12 | Fri | 14 | 0 | 0
1999-02-15 | Mon | 133 | 10 | 10
1999-02-16 | Tue | 134 | 10 | 10
1999-02-17 | Wed | 141 | 4 | 4
1999-02-18 | Thu | 212 | 13 | 12
1999-02-19 | Fri | 171 | 4 | 6
1999-02-20 | Sat | 1 | 0 | 0
1999-02-22 | Mon | 123 | 11 | 11
1999-02-23 | Tue | 94 | 5 | 4
1999-02-24 | Wed | 60 | 3 | 6
1999-02-25 | Thu | 81 | 2 | 3
1999-02-26 | Fri | 76 | 4 | 4
1999-03-01 | Mon | 102 | 4 | 5
1999-03-02 | Tue | 147 | 4 | 5
1999-03-03 | Wed | 114 | 5 | 4
1999-03-04 | Thu | 131 | 3 | 4
1999-03-05 | Fri | 85 | 2 | 2
1999-03-08 | Mon | 99 | 1 | 0
1999-03-09 | Tue | 48 | 1 | 1
1999-03-10 | Wed | 70 | 5 | 5
1999-03-11 | Thu | 139 | 3 | 3
1999-03-12 | Fri | 128 | 1 | 0
2000-04-01 | Sat | 109 | 2 | 2
2000-04-03 | Mon | 150 | 3 | 2
2000-04-04 | Tue | 183 | 7 | 6
2000-04-05 | Wed | 149 | 6 | 4
2000-04-06 | Thu | 171 | 8 | 7
2000-04-07 | Fri | 216 | 8 | 8
2000-04-08 | Sat | 387 | 8 | 8
2000-04-10 | Mon | 158 | 5 | 4
2000-04-11 | Tue | 141 | 8 | 8
2000-04-12 | Wed | 211 | 17 | 15
2000-04-13 | Thu | 131 | 1 | 1
2000-04-14 | Fri | 173 | 8 | 8
2000-04-15 | Sat | 40 | 1 | 1
2000-04-17 | Mon | 25 | 1 | 1
2000-04-18 | Tue | 3 | 0 | 0
2000-04-19 | Wed | 20 | 0 | 0
2000-04-20 | Thu | 24 | 1 | 0
2000-04-21 | Fri | 1 | 0 | 0
2000-04-25 | Tue | 8 | 0 | 0
2000-04-26 | Wed | 36 | 0 | 0
2000-04-27 | Thu | 19 | 0 | 0
2000-04-28 | Fri | 26 | 1 | 1
2000-05-01 | Mon | 1 | 0 | 0
2000-05-02 | Tue | 38 | 0 | 0
2000-05-03 | Wed | 52 | 0 | 0
2000-05-04 | Thu | 23 | 0 | 0
2000-05-05 | Fri | 16 | 1 | 1
2000-05-08 | Mon | 41 | 1 | 1
2000-05-09 | Tue | 53 | 0 | 0
2000-05-10 | Wed | 15 | 0 | 0
2000-05-11 | Thu | 39 | 0 | 0
2000-05-12 | Fri | 45 | 2 | 0
2000-05-14 | Sun | 1 | 0 | 0
2000-05-15 | Mon | 30 | 0 | 0
(75 rows)
