-- S08 HUD housing authorities: status, size, vacancy, money, for the public-housing join
PARTICIPANT_CODE | FORMAL_PARTICIPANT_NAME | PHAS_DESIGNATION | HA_PROGRAM_TYPE | HA_COMBINED_SIZE_CATEGORY | HA_LOW_RENT_SIZE_CATEGORY | TOTAL_UNITS | TOTAL_DWELLING_UNITS | ACC_UNITS | PUBLIC_HOUSING_OCCUPIED | SECTION8_OCCUPIED | TOTAL_OCCUPIED | PCT_OCCUPIED | REGULAR_VACANT | PHA_TOTAL_UNITS | NUMBER_REPORTED | PCT_REPORTED | OPERATING_FUND_AMOUNT | OPERATING_FUND_AMOUNT_PREV_YR | CAPITAL_FUND_AMOUNT | CAPITAL_FUND_AMOUNT_PREV_YR | SPENDING_PER_MONTH | ANNUAL_EXPENSE_AMOUNT | STD_STATE | STD_CITY | CBSA_CODE | CBSA_NAME | LAST_UPDATED_AT
AK001 | Alaska Housing Finance Corporation | High Performer | Low-Rent | LARGE (1,000-4,999) | LARGE (1,000-4,999) | 1243 | 1237 | 1240 | 1091 | 0 | 1091 | 88.2000 | 102 | 1237 | 1090 | 99.9100 | 8721665 | 9935048 | 2957669 | 0 | 892 | 11679420 | AK | Anchorage | 11260 | Anchorage, AK Metropolitan Statistical Area | 2025-07-16 22:56:19
AK901 | Alaska Housing Finance Corporation |  | Section 8 | LARGE (1,000-4,999) |  | 0 | 0 | 0 | 0 | 4273 | 4273 | 85.7000 | 0 | 4986 | 4771 | 100.0000 | 0 | 0 | 0 | 0 | 819 | 42614631 | AK | Anchorage | 11260 | Anchorage, AK Metropolitan Statistical Area | 2025-07-16 22:56:19
AL001 | Housing Authority of the Birmingham District | Standard Performer | Combined | EXTRA LARGE (5,000+) | LARGE (1,000-4,999) | 4960 | 4852 | 4483 | 3057 | 5849 | 8905 | 83.8700 | 23 | 10618 | 8915 | 100.0000 | 28565983 | 26964446 | 11706247 | 16814670 | 1011 | 108062378 | AL | Birmingham | 13820 | Birmingham, AL Metropolitan Statistical Area | 2025-07-16 22:56:19
AL002 | MOBILE HOUSING AUTHORITY | Standard Performer | Combined | EXTRA LARGE (5,000+) | LARGE (1,000-4,999) | 2185 | 2117 | 2088 | 985 | 3723 | 4708 | 75.1500 | 21 | 6265 | 4989 | 100.0000 | 8210705 | 9149647 | 6672082 | 8876577 | 1042 | 58866216 | AL | Mobile | 33660 | Mobile, AL Metropolitan Statistical Area | 2025-07-16 22:56:19
AL004 | ANNISTON HA | Substandard Physical | Combined | LARGE (1,000-4,999) | MEDIUM HIGH (300-999) | 418 | 418 | 418 | 383 | 429 | 812 | 80.7200 | 18 | 1006 | 849 | 100.0000 | 3488639 | 2401806 | 1951348 | 0 | 956 | 9313010 | AL | Anniston | 11500 | Anniston-Oxford, AL Metropolitan Statistical Area | 2025-07-16 22:56:19
AL005 | PHENIX CITY HOUSING AUTHORITY | Standard Performer | Combined | LARGE (1,000-4,999) | MEDIUM HIGH (300-999) | 710 | 689 | 689 | 674 | 732 | 1406 | 82.1700 | 15 | 1711 | 1421 | 100.0000 | 2606038 | 3429739 | 1619786 | 0 | 600 | 10125414 | AL | Phenix City | 17980 | Columbus, GA-AL Metropolitan Statistical Area | 2025-07-16 22:56:19
AL006 | Housing Authority of the City of Montgomery | Standard Performer | Combined | LARGE (1,000-4,999) | LARGE (1,000-4,999) | 1613 | 1596 | 1328 | 1126 | 3085 | 4211 | 97.8400 | 48 | 4304 | 4193 | 99.5700 | 5530138 | 5324936 | 3950510 | 4064144 | 766 | 38711748 | AL | Montgomery | 33860 | Montgomery, AL Metropolitan Statistical Area | 2025-07-16 22:56:19
AL007 | Housing Authority of the City of Dothan | High Performer | Combined | LARGE (1,000-4,999) | MEDIUM LOW (100-299) | 117 | 117 | 117 | 0 | 1570 | 1570 | 94.4000 | 0 | 1663 | 1509 | 96.1200 | 3010336 | 0 | 1560845 | 0 | 650 | 12251680 | AL | Dothan | 20020 | Dothan, AL Metropolitan Statistical Area | 2025-07-16 22:56:19
AL008 | Selma Housing Authority | Standard Performer | Combined | LARGE (1,000-4,999) | MEDIUM HIGH (300-999) | 581 | 581 | 581 | 520 | 770 | 1290 | 73.3400 | 17 | 1759 | 1223 | 94.8100 | 1951190 | 2188227 | 1306573 | 1914189 | 495 | 7659550 | AL | Selma | 42820 | Selma, AL Micropolitan Statistical Area | 2025-07-16 22:56:19
AL009 | Housing Authority of the City of Attalla | High Performer | Low-Rent | MEDIUM LOW (100-299) | MEDIUM LOW (100-299) | 108 | 108 | 108 | 105 | 0 | 105 | 97.2200 | 1 | 108 | 105 | 100.0000 | 370477 | 378648 | 207948 | 0 | 459 | 578425 | AL | Attalla | 23460 | Gadsden, AL Metropolitan Statistical Area | 2025-07-16 22:56:19
AL010 | Fairfield Housing Authority | Standard Performer | Low-Rent | MEDIUM LOW (100-299) | MEDIUM LOW (100-299) | 298 | 298 | 298 | 278 | 0 | 278 | 93.2900 | 20 | 298 | 275 | 98.9200 | 1617362 | 1845559 | 705950 | 0 | 696 | 2323416 | AL | Fairfield | 13820 | Birmingham, AL Metropolitan Statistical Area | 2025-07-16 22:56:19
AL011 | Housing Authority of the City of Fort Payne | Standard Performer | Combined | MEDIUM HIGH (300-999) | MEDIUM LOW (100-299) | 299 | 283 | 283 | 279 | 107 | 386 | 96.9800 | 4 | 398 | 386 | 100.0000 | 1033296 | 1206799 | 612793 | 842936 | 494 | 2289107 | AL | Fort Payne | 22840 | Fort Payne, AL Micropolitan Statistical Area | 2025-07-16 22:56:19
AL012 | Housing Authority of the City of Jasper | Standard Performer | Combined | MEDIUM HIGH (300-999) | MEDIUM HIGH (300-999) | 322 | 322 | 322 | 310 | 167 | 477 | 77.0600 | 11 | 619 | 473 | 99.1600 | 990760 | 1659941 | 637301 | 925721 | 448 | 2565133 | AL | Jasper | 13820 | Birmingham, AL Metropolitan Statistical Area | 2025-07-16 22:56:19
AL013 | Tarrant Housing Authority | High Performer | Low-Rent | SMALL (50-99) | SMALL (50-99) | 97 | 96 | 97 | 94 | 0 | 94 | 97.9100 | 1 | 96 | 94 | 100.0000 | 378993 | 445168 | 177926 | 262244 | 494 | 556919 | AL | Tarrant | 13820 | Birmingham, AL Metropolitan Statistical Area | 2025-07-16 22:56:19
