-- S10 Earthquakes: every event in the Permian box plus central Oklahoma and south Kansas boxes - event-level extract for local math
ID | TIME | LAT | LON | DEPTH | MAG | MAGTYPE | NET | STATUS | TYPE | PLACE | UPDATED | ZONE
usp000h5kf | 2010-01-01 18:45:51.600000 | 35.635 | -97.185 | 5.0 | 2.8 | mblg | us | reviewed | earthquake | 3 km SSE of Luther, Oklahoma | 2022-07-15 23:34:56.571000 | OK_CENTRAL
usp000h5y9 | 2010-01-11 05:16:00.070000 | 35.539 | -97.259 | 5.0 | 2.8 | mblg | us | reviewed | earthquake | 3 km SE of Jones, Oklahoma | 2022-07-15 23:57:11.747000 | OK_CENTRAL
usp000h63j | 2010-01-14 10:05:34.150000 | 35.539 | -97.238 | 5.0 | 3.3 | mblg | us | reviewed | earthquake | 5 km SE of Jones, Oklahoma | 2022-07-16 00:11:09.941000 | OK_CENTRAL
usp000h65q | 2010-01-15 15:18:26.350000 | 35.576 | -97.25 | 8.0 | 3.8 | mwr | us | reviewed | earthquake | 3 km ENE of Jones, Oklahoma | 2022-07-16 00:17:39.617000 | OK_CENTRAL
usp000h65r | 2010-01-15 15:27:02.320000 | 35.555 | -97.249 | 8.0 | 3.7 | mwr | us | reviewed | earthquake | 3 km ESE of Jones, Oklahoma | 2014-11-07 01:40:28.275000 | OK_CENTRAL
usp000h68e | 2010-01-17 13:33:43.710000 | 35.553 | -97.221 | 5.0 | 3.0 | mblg | us | reviewed | earthquake | 6 km ESE of Jones, Oklahoma | 2014-11-07 01:40:29.732000 | OK_CENTRAL
usp000h69s | 2010-01-18 11:44:38.860000 | 35.497 | -97.25 | 5.0 | 2.5 | mblg | us | reviewed | earthquake | 2 km E of Choctaw, OK | 2014-11-07 01:40:30.040000 | OK_CENTRAL
usp000h6j5 | 2010-01-24 07:14:52.230000 | 35.502 | -97.245 | 6.0 | 3.6 | mwr | us | reviewed | earthquake | 2 km ENE of Choctaw, Oklahoma | 2022-07-16 01:19:04.148000 | OK_CENTRAL
usp000h6nx | 2010-01-27 04:59:33.050000 | 32.902 | -100.833 | 5.0 | 3.1 | mblg | us | reviewed | earthquake | 21 km NNE of Snyder, Texas | 2022-07-16 01:33:35.146000 | PERMIAN
usp000h6v9 | 2010-02-01 23:43:04.700000 | 35.547 | -97.236 | 5.0 | 2.5 | mblg | us | reviewed | earthquake | 5 km ESE of Jones, Oklahoma | 2022-07-16 01:46:35.393000 | OK_CENTRAL
usp000h78h | 2010-02-13 05:30:55.780000 | 35.53 | -97.272 | 8.1 | 3.2 | mwr | us | reviewed | earthquake | 3 km N of Choctaw, Oklahoma | 2022-07-16 02:33:40.209000 | OK_CENTRAL
usp000h7ax | 2010-02-15 03:32:26.400000 | 35.557 | -97.298 | 3.3 | 3.0 | mwr | us | reviewed | earthquake | 1 km SW of Jones, Oklahoma | 2022-07-16 02:35:17.490000 | OK_CENTRAL
usp000h7fj | 2010-02-19 14:35:24 | 35.63 | -96.859 | 8.0 | 2.5 | md | us | reviewed | earthquake | 4 km NW of Sparks, Oklahoma | 2014-11-07 01:40:43.654000 | OK_CENTRAL
usp000h7fk | 2010-02-19 16:12:48.820000 | 35.668 | -97.05 | 5.0 | 3.0 | mblg | us | reviewed | earthquake | 3 km SSE of Wellston, Oklahoma | 2022-07-16 02:41:59.433000 | OK_CENTRAL
usp000h7hh | 2010-02-21 05:07:41.960000 | 35.612 | -97.042 | 5.0 | 2.6 | mblg | us | reviewed | earthquake | 8 km SSW of Warwick, Oklahoma | 2022-08-08 18:39:06.880000 | OK_CENTRAL
usp000h7hr | 2010-02-21 09:55:39.770000 | 32.571 | -104.613 | 5.0 | 2.8 | mblg | us | reviewed | earthquake | 28 km SSE of Hope, New Mexico | 2014-11-07 01:40:44.022000 | PERMIAN
usp000h7kc | 2010-02-23 03:57:28.810000 | 35.671 | -97.028 | 5.0 | 2.5 | mblg | us | reviewed | earthquake | Oklahoma | 2022-07-16 02:59:21.159000 | OK_CENTRAL
usp000h7q9 | 2010-02-26 09:02:07.600000 | 35.616 | -97.064 | 5.7 | 3.1 | mblg | us | reviewed | earthquake | 8 km S of Wellston, Oklahoma | 2022-08-08 18:40:04.063000 | OK_CENTRAL
usp000h81j | 2010-02-27 22:22:27.310000 | 35.553 | -96.752 | 5.0 | 4.1 | mwr | us | reviewed | earthquake | 8 km SE of Sparks, Oklahoma | 2022-08-08 18:41:03.809000 | OK_CENTRAL
usp000h8cp | 2010-03-01 09:00:57.780000 | 35.547 | -96.775 | 5.0 | 2.6 | mblg | us | reviewed | earthquake | 7 km SSE of Sparks, Oklahoma | 2014-11-07 01:40:52.257000 | OK_CENTRAL
usp000h8k6 | 2010-03-03 04:35:17.860000 | 35.549 | -97.281 | 5.0 | 2.5 | mblg | us | reviewed | earthquake | 1 km SSE of Jones, Oklahoma | 2020-03-19 01:41:38.053000 | OK_CENTRAL
usp000h8sh | 2010-03-05 20:35:13.750000 | 35.582 | -96.784 | 5.0 | 3.1 | mblg | us | reviewed | earthquake | 4 km SE of Sparks, Oklahoma | 2022-08-08 18:49:16.211000 | OK_CENTRAL
usp000h920 | 2010-03-10 06:04:35.610000 | 35.599 | -96.769 | 5.0 | 3.1 | mblg | us | reviewed | earthquake | 4 km ESE of Sparks, Oklahoma | 2022-08-08 18:50:12.357000 | OK_CENTRAL
usp000h947 | 2010-03-11 08:11:01.900000 | 35.378 | -98.046 | 5.0 | 3.0 | md | us | reviewed | earthquake | 9 km W of Union City, Oklahoma | 2014-11-07 01:40:58.389000 | OK_CENTRAL
usp000h948 | 2010-03-11 09:45:19 | 35.398 | -98.07 | 2.3 | 2.8 | md | us | reviewed | earthquake | 11 km W of Union City, Oklahoma | 2014-11-07 01:40:58.391000 | OK_CENTRAL
usp000h949 | 2010-03-11 10:00:56 | 35.4 | -98.1 | 5.0 | 2.7 | md | us | reviewed | earthquake | 14 km W of Union City, Oklahoma | 2014-11-07 01:40:58.392000 | OK_CENTRAL
usp000h94a | 2010-03-11 10:06:10 | 35.384 | -98.06 | 2.5 | 2.7 | md | us | reviewed | earthquake | 10 km W of Union City, Oklahoma | 2014-11-07 01:40:58.394000 | OK_CENTRAL
usp000h94c | 2010-03-11 10:54:25 | 35.401 | -98.06 | 5.0 | 3.0 | md | us | reviewed | earthquake | 10 km W of Union City, Oklahoma | 2014-11-07 01:40:58.416000 | OK_CENTRAL
usp000h94q | 2010-03-11 13:15:17.400000 | 35.388 | -98.078 | 3.2 | 2.9 | md | us | reviewed | earthquake | 12 km W of Union City, Oklahoma | 2014-11-07 01:40:58.463000 | OK_CENTRAL
usp000h96e | 2010-03-11 23:57:29.510000 | 35.475 | -98.123 | 6.4 | 3.4 | mblg | us | reviewed | earthquake | 14 km S of Calumet, Oklahoma | 2022-07-16 06:52:00.989000 | OK_CENTRAL
usp000h97n | 2010-03-12 07:56:36.040000 | 35.658 | -97.222 | 4.5 | 2.7 | md | us | reviewed | earthquake | 2 km W of Luther, Oklahoma | 2014-11-07 01:40:59.074000 | OK_CENTRAL
usp000h9a8 | 2010-03-13 09:02:44.410000 | 35.387 | -98.113 | 5.0 | 3.1 | mblg | us | reviewed | earthquake | 15 km W of Union City, Oklahoma | 2022-07-16 07:15:34.581000 | OK_CENTRAL
usp000h9k9 | 2010-03-17 20:02:36.990000 | 35.575 | -96.786 | 5.0 | 2.5 | mblg | us | reviewed | earthquake | 4 km SE of Sparks, Oklahoma | 2014-11-07 01:41:02.962000 | OK_CENTRAL
usp000h9u3 | 2010-03-22 02:37:18.310000 | 35.556 | -96.75 | 8.0 | 3.7 | mwr | us | reviewed | earthquake | 8 km SE of Sparks, Oklahoma | 2022-08-08 18:48:19.423000 | OK_CENTRAL
usp000h9ug | 2010-03-22 06:50:29 | 36.091 | -97.452 | 8.2 | 2.6 | md | us | reviewed | earthquake | 4 km NW of Mulhall, Oklahoma | 2014-11-07 01:41:04.301000 | OK_CENTRAL
usp000h9um | 2010-03-22 08:20:04.160000 | 35.556 | -96.797 | 5.0 | 2.7 | mblg | us | reviewed | earthquake | 6 km SSE of Sparks, Oklahoma | 2022-07-16 08:36:16.579000 | OK_CENTRAL
usp000h9us | 2010-03-22 09:18:51.180000 | 35.58 | -96.765 | 5.0 | 2.8 | mblg | us | reviewed | earthquake | 5 km ESE of Sparks, Oklahoma | 2022-08-08 18:51:15.033000 | OK_CENTRAL
usp000ha1w | 2010-03-28 00:03:55.080000 | 32.438 | -104.501 | 4.0 | 4.1 | mwr | us | reviewed | earthquake | 25 km W of Carlsbad, New Mexico | 2022-07-16 09:10:20.828000 | PERMIAN
usp000ha36 | 2010-03-28 21:07:23.160000 | 33.057 | -100.743 | 5.0 | 2.7 | mblg | us | reviewed | earthquake | 26 km SW of Jayton, Texas | 2014-11-07 01:41:06.227000 | PERMIAN
usp000ha73 | 2010-04-01 15:10:21.120000 | 35.58 | -96.748 | 5.0 | 2.5 | mblg | us | reviewed | earthquake | 7 km ESE of Sparks, Oklahoma | 2014-11-07 01:41:09.241000 | OK_CENTRAL
usp000haa7 | 2010-04-03 13:52:19 | 35.542 | -97.304 | 1.5 | 2.8 | md | us | reviewed | earthquake | 3 km SSW of Jones, Oklahoma | 2022-08-08 18:52:20.448000 | OK_CENTRAL
usp000haa8 | 2010-04-03 14:34:26 | 35.525 | -97.296 | 1.1 | 2.7 | md | us | reviewed | earthquake | 3 km NW of Choctaw, Oklahoma | 2014-11-07 01:41:10.677000 | OK_CENTRAL
usp000havz | 2010-04-07 14:58:18 | 35.54 | -96.73 | 1.2 | 2.5 | mblg | us | reviewed | earthquake | 7 km NW of Prague, Oklahoma | 2014-11-07 01:41:13.579000 | OK_CENTRAL
usp000haz4 | 2010-04-08 12:42:43 | 35.523 | -97.284 | 0.4 | 3.4 | mblg | us | reviewed | earthquake | 3 km NNW of Choctaw, Oklahoma | 2022-08-08 18:53:27.575000 | OK_CENTRAL
usp000hb35 | 2010-04-10 02:49:31 | 35.532 | -97.288 | 3.6 | 2.8 | mblg | us | reviewed | earthquake | 3 km S of Jones, Oklahoma | 2022-08-08 18:54:27.509000 | OK_CENTRAL
usp000hb41 | 2010-04-10 09:34:40 | 35.531 | -97.275 | 2.2 | 2.5 | md | us | reviewed | earthquake | 3 km N of Choctaw, Oklahoma | 2014-11-07 01:41:14.619000 | OK_CENTRAL
usp000hb7d | 2010-04-11 19:56:32.670000 | 32.414 | -101.062 | 5.0 | 2.9 | mblg | us | reviewed | earthquake | 7 km NW of Westbrook, Texas | 2014-11-07 01:41:15.368000 | PERMIAN
usp000hb7s | 2010-04-12 00:20:05.970000 | 32.935 | -100.875 | 5.0 | 2.8 | mblg | us | reviewed | earthquake | 24 km N of Snyder, Texas | 2014-11-07 01:41:15.467000 | PERMIAN
usp000hb84 | 2010-04-12 04:04:48 | 35.611 | -97.122 | 5.0 | 3.0 | mblg | us | reviewed | earthquake | 8 km SE of Luther, Oklahoma | 2022-08-08 18:55:27.645000 | OK_CENTRAL
usp000hb8h | 2010-04-12 09:40:10 | 34.635 | -96.323 | 0.1 | 2.8 | md | us | reviewed | earthquake | 3 km NE of Centrahoma, Oklahoma | 2014-11-07 01:41:15.564000 | OK_CENTRAL
usp000hbdh | 2010-04-15 00:49:51.360000 | 34.705 | -96.398 | 5.0 | 3.0 | mblg | us | reviewed | earthquake | 11 km NNE of Tupelo, Oklahoma | 2022-07-16 10:47:12.540000 | OK_CENTRAL
usp000hber | 2010-04-15 13:22:36 | 34.631 | -96.268 | 0.9 | 3.2 | mblg | us | reviewed | earthquake | 7 km ENE of Centrahoma, Oklahoma | 2022-07-16 10:48:42.717000 | OK_CENTRAL
usp000hbfa | 2010-04-15 21:45:26 | 34.309 | -97.373 | 5.0 | 2.5 | md | us | reviewed | earthquake | 13 km NE of Healdton, Oklahoma | 2014-11-07 01:41:16.563000 | OK_CENTRAL
usp000hbqj | 2010-04-21 01:11:14 | 35.497 | -97.264 | 1.4 | 2.6 | mblg | us | reviewed | earthquake | 0 km E of Choctaw, Oklahoma | 2022-08-08 19:01:51.147000 | OK_CENTRAL
