-- S16 FracFocus: frack disclosures inside the two new quake boxes (Red River Parish LA; west of Carlsbad NM), by form version and operator - context only, the mart has no job dates
BOX | FF_VERSION | OPERATOR_NAME | JOBS | WELLS | WATER_MGAL | DATED | COUNTIES
LA Red River box | 1 | Encana Oil & Gas (USA) Inc. | 69 | 69 | 20.2 | 0 | Red River,Sabine,De Soto
LA Red River box | 1 | Shell Oil Company affiliate | 65 | 65 | 101.4 | 0 | Red River,De Soto,Sabine
LA Red River box | 1 | Chesapeake Operating, Inc. | 60 | 60 | 14.6 | 0 | Bienville,Red River,De Soto,Sabine,Caddo,Bossier
LA Red River box | 1 | BHP Billiton Petroleum | 53 | 50 | 5.9 | 0 | Caddo,Red River,Bienville,Bossier,De Soto
LA Red River box | 1 | QEP Energy Company | 28 | 28 | 13.0 | 0 | Bienville,Bossier,Red River
LA Red River box | 1 | Samson | 8 | 8 |  | 0 | Natchitoches,Red River,De Soto
LA Red River box | 1 | J-W Operating Company | 5 | 5 |  | 0 | De Soto,Red River,Bienville
LA Red River box | 1 | XTO Energy/ExxonMobil | 4 | 4 |  | 0 | Natchitoches
LA Red River box | 1 | Forest Oil Corporation | 4 | 3 |  | 0 | Red River
LA Red River box | 2 | Chesapeake Operating, Inc. | 40 | 40 | 318.3 | 0 | De Soto,Bossier,Red River,Caddo
LA Red River box | 2 | BHP Billiton Petroleum | 40 | 39 | 307.2 | 0 | Bienville,Bossier,Caddo,Red River
LA Red River box | 2 | Vine Oil & Gas LP | 36 | 33 | 302.5 | 0 | De Soto,Red River
LA Red River box | 2 | Encana Oil & Gas (USA) Inc. | 21 | 21 | 324.0 | 0 | Red River
LA Red River box | 2 | Anadarko Petroleum Corporation | 11 | 11 | 128.7 | 0 | Bossier
LA Red River box | 2 | Shell Oil Company affiliate | 10 | 10 | 82.3 | 0 | Red River,De Soto
LA Red River box | 2 | J-W Operating Company | 5 | 5 | 9.6 | 0 | Bossier
LA Red River box | 2 | XTO Energy/ExxonMobil | 3 | 3 | 23.7 | 0 | Natchitoches,Bienville
LA Red River box | 2 | QEP Energy Company | 1 | 1 | 18.9 | 0 | Bienville
LA Red River box | 2 | TDX Energy, LLC | 1 | 1 | 0.0 | 0 | Red River
LA Red River box | 3 | Aethon Energy Operating LLC | 160 | 154 | 4364.7 | 0 | Bienville,De Soto,Bossier,Red River
LA Red River box | 3 | Vine Oil & Gas LP | 90 | 90 | 1850.6 | 0 | Red River,De Soto
LA Red River box | 3 | GEP HAYNESVILLE, LLC | 74 | 70 | 1525.6 | 0 | Red River,Sabine,De Soto
LA Red River box | 3 | Chesapeake Operating, Inc. | 60 | 60 | 1247.5 | 0 | Red River,Bossier,De Soto,Caddo
LA Red River box | 3 | Indigo Minerals | 56 | 56 | 970.6 | 0 | Natchitoches,De Soto,Sabine,Red River
LA Red River box | 3 | Southwestern Energy | 54 | 54 | 1571.3 | 0 | Natchitoches,Red River,De Soto,Sabine
LA Red River box | 3 | Comstock Oil & Gas | 49 | 49 | 1171.5 | 0 | Webster,Bossier,Bienville,Red River
