-- S16 Slave voyages: time, 1783-1815, voyages leaving the Carolinas region (21300) for Cuba (31300) and elsewhere, vs transatlantic landings in 21300
Y | TA_V | TA_LANDED | TA_TOP_PORT | TA_SRC | OUT_V | OUT_LANDED | CUBA_V | CUBA_LANDED | TOP_LAND_PORT | SRC
1783 | 4 | 573 | 21302 | Donnan,IV,474 |  |  |  |  |  | 
1784 | 17 | 3910 | 21302 | LR1784 | 1 | 40 | 0 | 0 | 21207 | Minchinton, 43
1785 | 19 | 3236 | 21302 | LR1786 |  |  |  |  |  | 
1786 | 5 | 320 | 21302 | Coughtry, 241-85 |  |  |  |  |  | 
1787 | 2 | 177 | 21302 | LList, 16 Oct 1787 |  |  |  |  |  | 
1789 | 1 | 106 | 21302 | McMillin |  |  |  |  |  | 
1790 |  |  |  |  | 1 | 37 | 1 | 37 | 31312 | Klein,Havana dataset
1791 |  |  |  |  | 2 | 76 | 2 | 76 | 31312 | Klein,Havana dataset
1792 |  |  |  |  | 1 | 150 | 1 | 150 | 31312 | Klein,Havana dataset
1793 | 1 | 106 | 21302 | Donnan,III,88 | 1 | 19 | 1 | 19 | 31312 | ANC,ML, 2536
1794 |  |  |  |  | 3 | 147 | 3 | 147 | 31312 | Klein,Havana dataset
1796 | 1 | 126 | 21302 | LList, 10 Mar 1797 |  |  |  |  |  | 
1797 | 3 | 232 | 21302 | Coughtry, 241-85 | 16 | 374 | 16 | 374 | 31312 | Klein,Havana dataset
1799 | 1 | 3 | 21302 | Donnan,IV,494 | 1 | 13 | 1 | 13 | 31312 | Klein,Havana dataset
1800 | 1 | 77 | 21302 | Donnan,IV,500 | 2 | 31 | 2 | 31 | 31312 | Klein,Havana dataset
1801 | 1 | 66 | 21302 | Howe,122-123 |  |  |  |  |  | 
1802 | 3 | 570 | 21302 | LR1802 |  |  |  |  |  | 
1803 | 1 | 128 | 21302 | Masscases, Greenwood v Curtis | 2 | 11 | 2 | 11 | 31312 | Klein,Havana dataset
1804 | 33 | 6208 | 21302 | Donnan,IV,504 | 10 | 89 | 10 | 89 | 31312 | Klein,Havana dataset
1805 | 45 | 7561 | 21302 | Donnan,IV,508 | 32 | 490 | 32 | 490 | 31312 | Klein,Havana dataset
1806 | 75 | 13318 | 21302 | Coughtry, 241-85 | 32 | 1248 | 28 | 1124 | 31312 | Klein,Havana dataset
1807 | 125 | 18879 | 21302 | Coughtry, 241-85 | 51 | 2898 | 50 | 2856 | 31312 | Klein,Havana dataset
1808 | 4 | 512 | 21302 | Coughtry, 241-85 | 3 | 372 | 3 | 372 | 31312 | Klein,Havana dataset
(23 rows; csv has all)
