-- S24 Slave voyages peer: second-voyage arrivals in the Gulf coast region (21600), by buying region and period
BUY_REGION | PER | VOYAGES | LANDED | RECORDED_LANDED_ROWS | Y0 | Y1 | TOP_LAND_PORT | SRC
35100 | a <1760 | 1 | 34 | 0 | 1748 | 1748 | 21605 | CO 142/15, 99
21300 | a <1760 | 2 | 9 | 0 | 1736 | 1737 | 21606 | CO 5/510, 25
35100 | b 1760-89 | 53 | 3188 | 21 | 1783 | 1789 | 21601 | Chambers, p.342
33800 | b 1760-89 | 15 | 1334 | 7 | 1783 | 1789 | 21601 | CO 76/5, 16
36100 | b 1760-89 | 7 | 407 | 6 | 1784 | 1789 | 21601 | Chambers, p.342
34200 | b 1760-89 | 2 | 325 | 0 | 1774 | 1775 | 21605 | T 64/48
80200 | b 1760-89 | 4 | 318 | 1 | 1783 | 1786 | 21603 | McMillin
38100 | b 1760-89 | 1 | 228 | 1 | 1788 | 1788 | 21603 | McMillin
39000 | b 1760-89 | 1 | 200 | 1 | 1787 | 1787 | 21601 | McMillin
36400 | b 1760-89 | 4 | 159 | 3 | 1785 | 1786 | 21603 | Chambers, p.339
31300 | b 1760-89 | 3 | 84 | 3 | 1785 | 1785 | 21601 | Chambers, p.342
33500 | b 1760-89 | 1 | 53 | 0 | 1773 | 1773 | 21605 | T 1/498
36200 | b 1760-89 | 1 | 40 | 1 | 1785 | 1785 | 21601 | Chambers, p.342
80200 | c 1790-1807 | 17 | 552 | 16 | 1792 | 1807 | 21601 | McMillin
31300 | c 1790-1807 | 8 | 475 | 5 | 1790 | 1807 | 21601 | McMillin
35100 | c 1790-1807 | 11 | 388 | 4 | 1790 | 1807 | 21601 | McMillin
36400 | c 1790-1807 | 4 | 239 | 3 | 1790 | 1792 | 21601 | Chambers, p.342
39000 | c 1790-1807 | 1 | 214 | 1 | 1807 | 1807 | 21601 | McMillin
21300 | c 1790-1807 | 4 | 162 | 3 | 1806 | 1807 | 21601 | McMillin
33800 | c 1790-1807 | 2 | 78 | 0 | 1791 | 1791 | 21601 | CO 76/6, 25
34500 | c 1790-1807 | 1 | 50 | 1 | 1790 | 1790 | 21601 | McMillin
 | c 1790-1807 | 1 | 26 | 1 | 1790 | 1790 | 21601 | Chambers, p.339
34300 | c 1790-1807 | 1 | 5 | 1 | 1804 | 1804 | 21601 | McMillin
 | d 1808+ | 13 | 770 | 13 | 1831 | 1831 | 21601 | William Jones NO dataset
80200 | d 1808+ | 7 | 347 | 3 | 1808 | 1810 | 21601 | McMillin
21000 | d 1808+ | 1 | 133 | 1 | 1831 | 1831 | 21601 | William Jones NO dataset
35100 | d 1808+ | 1 | 127 | 1 | 1810 | 1810 | 21601 | McMillin
21800 | d 1808+ | 3 | 92 | 3 | 1831 | 1831 | 21601 | William Jones NO dataset
21600 | d 1808+ | 4 | 63 | 4 | 1831 | 1831 | 21601 | William Jones NO dataset
22000 | d 1808+ | 2 | 49 | 2 | 1831 | 1831 | 21601 | William Jones NO dataset
31300 | d 1808+ | 1 | 45 | 1 | 1808 | 1808 | 21601 | McMillin
21100 | d 1808+ | 1 | 12 | 1 | 1831 | 1831 | 21601 | William Jones NO dataset
22100 | d 1808+ | 1 | 11 | 1 | 1831 | 1831 | 21601 | William Jones NO dataset
(33 rows; csv has all)
