===== q22 (stmt 23) 70 rows
K | A | B | C | D | E | F | G
byhalf | 2023-H2 | 9 | 9 | 48.000 | 75 | 52 | 
frmonth | 2023-10 | 35 | 53 | 44 |  |  | 
frmonth | 2023-11 | 15 | 24 | 18 |  |  | 
frmonth | 2024-08 | 11 | 17 | 17 |  |  | 
decl2025 | 4856 | 2025-01-08 | CA | R |  |  | 
decl2025 | 4860 | 2025-02-24 | KY | W | 2026-05-06 | 436 | 1
decl2025 | 4861 | 2025-02-26 | WV | W | 2025-09-08 | 194 | 2
decl2025 | 4864 | 2025-04-24 | KY | W | 2025-09-08 | 137 | 5
decl2025 | 4865 | 2025-05-08 | AR | W | 2025-09-08 | 123 | 1
frmonth | 2023-05 | 32 | 41 | 41 |  |  | 
frmonth | 2024-06 | 22 | 40 | 40 |  |  | 
frmonth | 2024-02 | 11 | 11 | 10 |  |  | 
title | 2023 | 414 | 256 | 218 | 2023-12-29 | 2 | 
title | 2022 | 348 | 223 | 201 | 2022-12-20 | 2 | 
decl2025 | 4871 | 2025-05-21 | TX | F | 2025-09-08 | 110 | 1
decl2025 | 4873 | 2025-05-21 | AR | F | 2025-09-08 | 110 | 2
decl2025 | 4872 | 2025-05-21 | MO | W | 2025-09-08 | 110 | 6
decl2025 | 4866 | 2025-05-21 | OK | R | 2025-09-08 | 110 | 1
decl2025 | 4867 | 2025-05-21 | MO | W | 2025-09-08 | 110 | 6
frmonth | 2023-08 | 25 | 40 | 36 |  |  | 
frmonth | 2024-01 | 16 | 17 | 13 |  |  | 
frmonth | 2023-03 | 8 | 19 | 15 |  |  | 
frmonth | 2024-07 | 13 | 23 | 23 |  |  | 
decl2025 | 4874 | 2025-05-21 | MS | W | 2025-09-08 | 110 | 2
decl2025 | 4875 | 2025-05-23 | KY | W | 2025-09-08 | 108 | 4
decl2025 | 4877 | 2025-06-09 | MO | W | 2025-09-08 | 91 | 4
decl2025 | 4878 | 2025-06-19 | TN | W | 2025-09-08 | 81 | 3
frmonth | 2026-05 | 42 | 67 | 38 |  |  | 
decl2025 | 4879 | 2025-07-06 | TX | F | 2025-09-08 | 64 | 7
decl2025 | 4884 | 2025-07-22 | WV | F | 2025-09-08 | 48 | 2
decl2025 | 4886 | 2025-07-22 | NM | F | 2025-09-08 | 48 | 1
decl2025 | 4892 | 2025-09-11 | WI | F |  |  | 
decl2025 | 4890 | 2025-09-11 | SD | F |  |  | 
byhalf | 2025-H1 | 14 | 13 | 110.000 | 436 | 38 | 
byhalf | 2024-H2 | 29 | 24 | 40.500 | 538 | 114 | 
byhalf | 2026-H2 | 3 | 0 |  |  |  | 
title | 2026 | 125 | 52 | 124 | 2026-09-01 | 2 | 
title | 2025 | 201 | 66 | 100 | 2025-12-31 | 2 | 
decl2025 | 4893 | 2025-10-22 | AK | F | 2026-05-06 | 196 | 3
decl2025 | 4894 | 2025-10-22 | MN | 2 | 2026-05-06 | 196 | 2
decl2025 | 4898 | 2026-02-06 | TN | 5 | 2026-05-06 | 89 | 3
decl2025 | 4899 | 2026-02-06 | TN | 5 | 2026-05-06 | 89 | 2
byhalf | 2024-H1 | 27 | 27 | 45.000 | 100 | 105 | 
byhalf | 2023-H1 | 12 | 12 | 41.000 | 69 | 63 | 
byhalf | 2025-H2 | 7 | 5 | 64.000 | 196 | 15 | 
frmonth | 2023-09 | 34 | 46 | 44 |  |  | 
frmonth | 2023-01 | 21 | 28 | 23 |  |  | 
frmonth | 2024-05 | 23 | 23 | 22 |  |  | 
title | 2024 | 663 | 354 | 274 | 2024-12-27 | 3 | 
decl2025 | 4909 | 2026-04-07 | HI | F |  |  | 
decl2025 | 4906 | 2026-04-07 | WA | F |  |  | 
decl2025 | 4910 | 2026-04-23 | MP | H |  |  | 
decl2025 | 4914 | 2026-05-29 | MT | 5 |  |  | 
frmonth | 2024-12 | 46 | 92 | 76 |  |  | 
frmonth | 2024-10 | 41 | 70 | 58 |  |  | 
frmonth | 2023-04 | 18 | 22 | 20 |  |  | 
frmonth | 2024-03 | 12 | 16 | 14 |  |  | 
decl2025 | 4911 | 2026-05-29 | AZ | W |  |  | 
decl2025 | 4915 | 2026-05-29 | MT | 2 |  |  | 
decl2025 | 4923 | 2026-06-30 | WI | F |  |  | 
decl2025 | 4925 | 2026-06-30 | MI | F |  |  | 
decl2025 | 4922 | 2026-06-30 | MS | W |  |  | 
decl2025 | 4927 | 2026-06-30 | LA | 4 |  |  | 
byhalf | 2026-H1 | 12 | 2 | 89.000 | 89 | 5 | 
frmonth | 2025-09 | 41 | 67 | 64 |  |  | 
frmonth | 2024-09 | 43 | 75 | 60 |  |  | 
title | 2021 | 583 | 434 | 316 | 2021-12-29 | 3 | 
decl2025 | 4930 | 2026-08-03 | MS | 4 |  |  | 
decl2025 | 4932 | 2026-08-03 | WV | F |  |  | 
decl2025 | 4931 | 2026-08-03 | MP | J |  |  | 
