SRC	P	BRAND	COMPANY	N	FIRST_PUB
510k	%CYGNUS%	CYGNUS INSTRUMENT PROTECTORS	Madison Polymeric Engineering	1	1997-05-06
510k	%CYGNUS%	CYGNUS-C STANDALONE ACIF SYSTEM	GS Medical Co., Ltd.	1	2023-02-09
510k	%CYGNUS%	CYGNUS ANTERIOR CERVICAL PLATE SYSTEM	MiRus, LLC	1	2019-05-09
510k	%CYGNUS%	CYGNUS MORE ANTERIOR CERVICAL PLATE SYSTEM	MiRus, LLC	1	2022-09-16
510k	%CYGNUS%	CYGNUS 12 LEAD ECG MODULE	Cygnus, LLC	1	2008-08-22
510k	%CYGNUS%	CYGNUS ELECTROSURGICAL TIP CLEANER	Madison Polymeric Engineering	1	1997-02-14
estreg	%CYGNUS%	["STERION SYRINGE CUP","STERION SYRINGE AND SCALPEL HOLDER","INSTRUMENT MAT","NEEDLE NEST","TRANSFER TRAY","CYGNUS MEDICAL"]	Aspen Surgical Products	2	2026
estreg	%CYGNUS%	["CYGNUS MORE ANTERIOR CERVICAL PLATE SYSTEM"]	MiRus, LLC	1	2026
estreg	%CYGNUS%	["CYGNUS MEDICAL","COLORTRACK IDENTIFICATION TAPE","STERION TIP PROTECTORS","COLORTRACK IDENTIFICATION TAGS","STERION LOCKING TAGS","STERION LABELS","NON-STERILE MEDICATION LABELS","BARD-PARKER SCALPEL BLADE REMOVER","TUBE HOLDER WITH REMOVABLE STRAP","WEB GUARDS","OXBORO INSTRUMENT TIP PROTECTORS","WRITE ON LABELS"]	Aspen Surgical Products	2	2026
estreg	%CYGNUS%	["CYGNUS MEDICAL"]	Aspen Surgical Products	2	2026
estreg	%CYGNUS%	["CYGNUS ANTERIOR CERVICAL PLATE SYSTEM"]	MiRus, LLC	1	2026
estreg	%CYGNUS%	["SYMMETRY SURGICAL","CYGNUS MEDICAL"]	Aspen Surgical Products	2	2026
estreg	%CYGNUS%	["STERILE MEDICATION LABEL WITH OR WITHOUT UTILITY MARKER","CYGNUS MEDICAL"]	Aspen Surgical Products	2	2026
estreg	%CYGNUS%	["CYGNUS AUTO LIP"]	SHINO-TEST CORPORATION	1	2026
estreg	%CYGNUS%	["SAFECLEAN BRUSHES","CYGNUS MEDICAL"]	Aspen Surgical Products	2	2026
estreg	%CYGNUS%	["REGULUS NAVIGATOR/CYGNUS-PFS"]	COMPASS INTERNATIONAL	1	2026
