Y	M	NAT	C	S	PID	SP	N	AMT	FIRST_D	LAST_D
2022	Smith+Nephew, Inc.	Food and Beverage	HUNTINGTON	WV	809127	Allopathic & Osteopathic Physicians|Surgery	11	228.09	04/26/2022	12/29/2022
2022	Organogenesis Inc.	Food and Beverage	HUNTINGTON	WV	809127	Allopathic & Osteopathic Physicians|Surgery	2	227.45	09/22/2022	09/27/2022
2022	Nevro Corp.	Food and Beverage	HUNTINGTON	WV	809127	Allopathic & Osteopathic Physicians|Surgery	2	129.38	03/23/2022	12/01/2022
2022	Allergan, Inc.	Food and Beverage	HUNTINGTON	WV	809127	Allopathic & Osteopathic Physicians|Surgery	1	22.2	02/11/2022	02/11/2022
2023	Organogenesis Inc.	Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program	HUNTINGTON	WV	809127	Allopathic & Osteopathic Physicians|Surgery	12	25750.0	05/11/2023	12/21/2023
2023	Organogenesis Inc.	Travel and Lodging	HUNTINGTON	WV	809127	Allopathic & Osteopathic Physicians|Surgery	29	5795.95	05/15/2023	12/14/2023
2023	Organogenesis Inc.	Food and Beverage	HUNTINGTON	WV	809127	Allopathic & Osteopathic Physicians|Surgery	53	2371.57	01/05/2023	12/13/2023
2023	Nevro Corp.	Food and Beverage	BAKERSFIELD	CA	809127	Allopathic & Osteopathic Physicians|Surgery	3	170.17	01/25/2023	04/26/2023
2023	Medtronic, Inc.	Food and Beverage	BAKERSFIELD	CA	809127	Allopathic & Osteopathic Physicians|Surgery	1	53.67	12/04/2023	12/04/2023
2023	Smith+Nephew, Inc.	Food and Beverage	HUNTINGTON	WV	809127	Allopathic & Osteopathic Physicians|Surgery	2	26.61	06/16/2023	09/21/2023
2024	Organogenesis Inc.	Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program	HUNTINGTON	WV	809127	Allopathic & Osteopathic Physicians|Surgery	5	22925.0	03/15/2024	07/25/2024
2024	Organogenesis Inc.	Travel and Lodging	HUNTINGTON	WV	809127	Allopathic & Osteopathic Physicians|Surgery	18	5371.97	03/01/2024	07/25/2024
2024	Organogenesis Inc.	Food and Beverage	HUNTINGTON	WV	809127	Allopathic & Osteopathic Physicians|Surgery	11	646.21	01/16/2024	09/26/2024
2024	Medtronic, Inc.	Food and Beverage	BAKERSFIELD	CA	809127	Allopathic & Osteopathic Physicians|Surgery	6	323.86	02/20/2024	11/21/2024
2024	Alphatec Spine, Inc	Travel and Lodging	HUNTINGTON	WV	809127	Allopathic & Osteopathic Physicians|Surgery	1	311.97	12/21/2024	12/21/2024
2024	COLOPLAST CORP	Food and Beverage	HUNTINGTON	WV	809127	Allopathic & Osteopathic Physicians|Surgery	2	126.61	10/16/2024	10/29/2024
2024	Sanara MedTech Inc.	Food and Beverage	HUNTINGTON	WV	809127	Allopathic & Osteopathic Physicians|Surgery	1	34.27	11/20/2024	11/20/2024
2024	Smith+Nephew, Inc.	Food and Beverage	HUNTINGTON	WV	809127	Allopathic & Osteopathic Physicians|Surgery	1	13.53	04/15/2024	04/15/2024
