SRC	NPI	ENTITY_TYPE_CODE	NM	CRED	TAX	ENUM_DT	AO	ADDR
nppes	1417435991	2	WESTERN HEALTH RESOURCES		251G00000X	2018-08-06	WARD MELISSA	5500 MING AVE STE 120 
nppes	1174954689	2	WESTERN HEALTH RESOURCES		251E00000X	2013-12-09	WARD MELISSA	5500 MING AVE STE 120 
nppes	1992325765	2	UNIVERSAL HEALTHCARE MSO, LLC		171M00000X	2020-04-22	MYERS MICHAEL	5500 MING AVE STE 170 
nppes	1700448545	2	STRIVE MEDICAL, LLC		332B00000X	2019-07-02	ROSENTHAL JOSH	5500 MING AVE STE 395 
nppes	1093294696	2	SUPERIOR HEALTHCARE, INC.		111N00000X	2018-08-14	HAYDEN FRANCINE	5500 MING AVE STE 170 
nppes	1558793091	2	SUPERIOR HEALTHCARE OF BAKERSFIELD		111N00000X	2013-08-07	FOSBINDER JOHN	5500 MING AVE SUITE 170
nppes	1548656762	2	MARRIAGEANDFAMILYCOUNSELINGINC		106H00000X	2015-04-14	PAGE KAREN	5500 MING AVE SUITE #210
nppes	1558541789	2	PROCARE HOSPICE, LLC		251G00000X	2007-11-05	LANTIER BRIAN	5500 MING AVENUE #190
nppes	1669829685	2	CALO YOUNG ADULT		320800000X	2016-05-19	SPENCER SHARNELL	5500 MING AVE STE 410 
nppes	1902217854	1		DO	207Q00000X	2014-05-14	 	5500 MING AVE STE 320 
nppes	1184514408	2	MARCO GARCIA DENTAL PC		261QD0000X	2025-07-08	GARCIA MARCO	5500 MING AVE STE 165 
nppes	1104998368	2	CHILD & FAMILY PSYCHOLOGY CLINIC		103TC0700X	2006-11-14	KIRK MICHAEL	5500 MING AVE SUITE 120
nppes	1508551276	2	PREMIER SURGICAL INSTITUTE INC		208600000X	2023-04-10	KAPADIA RAVI	5500 MING AVE STE 320 
nppes	1346033693	2	MUSTAFA HAMAD DDS INC		1223G0001X	2025-05-28	HAMAD MUSTAFA	5500 MING AVE STE 165 
nppes	1720396906	2	SCOTT A. TANGEMAN D.D.S., INC		122300000X	2010-09-21	TANGEMAN SCOTT	5500 MING AVE SUITE 165
nppes	1104158062	2	BAKERSFIELD INJURY & WELLNESS MEDICAL CENTER		111NR0200X	2010-02-03	COLLINS CURTIS	5500 MING AVE STE 170
nppes	1669736427	1		MD	208600000X	2012-06-26	 	5500 MING AVE STE 320 
nppes	1336305523	2	BAKERSFIELD INJURY & WELLNESS MEDICAL CENTER, INC.		111N00000X	2008-08-06	ESPOSO ORIENTE	5500 MING AVE SUITE #170
nppes	1720478910	2	CIRCLE OF FRIENDS PALLIATIVE CARE INC.		251G00000X	2015-01-27	LIGON MICHELLE	5500 MING AVE SUITE #480 
nppes	1730943317	2	UNIVERSAL HEALTH PLAN, INC		302R00000X	2024-02-13	PARMAR ASHOK	5500 MING AVE STE 170 
nppes	1720814825	2	BLOOM MARRIAGE FAMILY AND CHILD COUNSELING SERVICES INC		106H00000X	2024-09-13	MITCHELL RINEE	5500 MING AVE STE 267 
nppes	1851914378	2	UNIVERSAL HEALTHCARE IPA, INC.		302R00000X	2020-05-19	MYERS MICHAEL	5500 MING AVE STE 170 
kapadia_ao	1235016452	2	PREMIER SURGICAL INSTITUTE, LLC		208600000X	2025-08-19	KAPADIA RAVI	4500 PGA BLVD STE 301A PALM BEACH GARDENS FL
nppes	1396285607	2	RAUL Y. MENDOZA, MD INC		2084P0800X	2017-03-06	WEATHERLY CHRISTINE	5500 MING AVE STE 210 
nppes	1346513660	2	DR. CURTIS COLLINS, A CHIROPRACTIC CORPERATION		111N00000X	2012-02-16	COLLINS CURT	5500 MING AVE STE # 170
nppes	1922682269	2	CLASON MARRIAGE & FAMILY THERAPY CENTER		106H00000X	2021-05-12	CLASON WENDY	5500 MING AVE STE 130 
kapadia_ao	1508551276	2	PREMIER SURGICAL INSTITUTE INC		208600000X	2023-04-10	KAPADIA RAVI	5500 MING AVE STE 320 BAKERSFIELD CA
