COLUMN_NAME	DATA_TYPE
DATA_AS_OF	TEXT
BUYER_COUNTY_FIPS	TEXT
DOSAGE_STRENGTH	FLOAT
NAME	TEXT
GEOID	TEXT
BUYER_COUNTY_FIPS	TEXT
ST_GEOID	TEXT
TTM_DATE_RANGE	DATE
DATA_AS_OF	TEXT
GEOID	TEXT
RATE	FLOAT
ST_NAME	TEXT
COUNT_SUP	NUMBER
RIPPLE_GRAIN	TEXT
RIPPLE_CLOCK	TEXT
INTENT	TEXT
COUNT_SUP	NUMBER
ST_GEOID	TEXT
RATE_M_CI	FLOAT
TTM_DATE_RANGE	TEXT
NAME	TEXT
INTENT	TEXT
RATE_M	FLOAT
RIPPLE_SOURCE	TEXT
DOSAGE_UNITS	FLOAT
RATE	FLOAT
PERIOD	TEXT
DOSAGE_STRENGTH	FLOAT
RATE_M	FLOAT
ST_NAME	TEXT
RIPPLE_TS	TIMESTAMP_NTZ
DOSAGE_UNITS	FLOAT
PERIOD	TEXT
RATE_M_CI	FLOAT
