select table_schema, table_name, row_count from LIBRARY_MARTS.INFORMATION_SCHEMA.TABLES
where (table_name ilike '%FEC%' ) order by 2

[06] 37 rows
TABLE_SCHEMA | TABLE_NAME | ROW_COUNT
FINANCE | FINANCE__FED_EPA_ICIS_FEC_CASE_ENFORCEMENT_CONCLUSION_FACILITIES | 150866
FINANCE | FINANCE__FED_EPA_ICIS_FEC_CASE_FACILITIES | 204019
FINANCE | FINANCE__FED_EPA_ICIS_FEC_EPA_INFORMAL_ENFORCEMENT_ACTIONS | 21930
TIMELINE | FINANCE__FED_EPA_ICIS_FEC_EPA_INFORMAL_ENFORCEMENT_ACTIONS | 
FINANCE | FINANCE__FED_EPA_ICIS_FEC_ICIS_FEC_EPA_INSPECTIONS | 260556
TIMELINE | FINANCE__FED_EPA_ICIS_FEC_ICIS_FEC_EPA_INSPECTIONS | 
FINANCE | FINANCE__FED_FEC_BULK | 20938
TIMELINE | FINANCE__FED_FEC_BULK_COMMITTEES | 
FINANCE | FINANCE__FED_FEC_BULK_COMMITTEES | 20007
TIMELINE | FINANCE__FED_FEC_CANDIDATES | 
FINANCE | FINANCE__FED_FEC_CANDIDATES | 27095
FINANCE | FINANCE__FED_FEC_CAND_CMTE_LINKAGE | 30536
TIMELINE | FINANCE__FED_FEC_CAND_CMTE_LINKAGE | 
FINANCE | FINANCE__FED_FEC_COMMITTEES | 60031
FINANCE | FINANCE__FED_FEC_COMMITTEES_DIM | 
TIMELINE | FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE | 
FINANCE | FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE | 866730
FINANCE | FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES | 276183
TIMELINE | FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES | 
FINANCE | FINANCE__FED_FEC_INDIV_CONTRIBUTIONS | 283771819
TIMELINE | FINANCE__FED_FEC_INDIV_CONTRIBUTIONS | 
TIMELINE | FINANCE__FED_FEC_LEADERSHIP_PAC | 
FINANCE | FINANCE__FED_FEC_LEADERSHIP_PAC | 8619
PUBLIC | MONEY_IN_POLITICS__FEC_INDIV_BY_CMTE_CYCLE_AGG | 163388
PUBLIC | MONEY_IN_POLITICS__FEC_INDIV_BY_STATE_CYCLE_AGG | 2231
POLITICS | POLITICS__FEC_CANDIDATE | 17900
TIMELINE | POLITICS__FEC_CANDIDATE | 
POLITICS | POLITICS__FEC_CANDIDATE_SUMMARY | 7933
TIMELINE | POLITICS__FEC_CANDIDATE_SUMMARY | 
TIMELINE | POLITICS__FEC_CAND_CMTE_LINK | 
POLITICS | POLITICS__FEC_CAND_CMTE_LINK | 16229
POLITICS | POLITICS__FEC_COMMITTEE | 40945
TIMELINE | POLITICS__FED_FEC_API | 
POLITICS | POLITICS__FED_FEC_API | 500
POLITICS | POLITICS__FED_FEC_PAC_SUMMARY | 45709
TIMELINE | POLITICS__FED_FEC_PAC_SUMMARY | 
POLITICS | POLITICS__MEMBER_FEC_ID | 1715
