EIN	ORG	IN19	V	AMT_M	FIRST_D	LAST_D	PAY_ROWS
332084267	AMCC PAC	N	ADVANCEDCREATIVEMEDIA	0.014	2025-07-31	2025-12-31	6
521082056	Young Republican National Federation, Inc.	N	AMERICANLIBERTYGROUP	4.95	2014-02-14	2023-05-11	381
593029522	Republican Liberty Caucus	N	AMERICANLIBERTYGROUP	4.025	2015-05-26	2023-05-11	420
474715644	YOUNG CONSERVATIVES FOR A BETTER AMERICA	N	AMERICANLIBERTYGROUP	2.333	2015-09-30	2019-07-11	135
821935804	Frontiers of Freedom Action Inc	N	AMERICANLIBERTYGROUP	1.974	2017-09-01	2023-05-11	253
844197844	Millennial Freedom Coalition	N	AMERICANLIBERTYGROUP	0.166	2022-04-14	2022-12-30	35
332084267	AMCC PAC	N	BFTELECOM	0.459	2025-02-28	2026-06-30	23
331888439	UCVF PAC	N	BFTELECOM	0.13	2025-04-30	2026-03-31	12
843288627	Cancer Recovery Action Network	N	GCI	0.026	2021-02-19	2021-12-24	225
823288532	Real Democracy Fund	N	GRASSROOTSFUNDGROUP	0.211	2018-07-06	2021-05-28	1034
821820836	Young Conservatives of America	N	GRASSROOTSFUNDGROUP	0.095	2018-08-16	2021-12-10	691
843288627	Cancer Recovery Action Network	N	GRASSROOTSFUNDGROUP	0.018	2020-07-24	2021-10-29	373
832868668	Louisiana Fraternal Order of Police Political Fund	N	GRASSROOTSFUNDGROUP	0.003	2021-02-28	2021-02-28	1
332084267	AMCC PAC	N	GSI	0.069	2025-03-31	2026-06-30	16
823288532	Real Democracy Fund	N	NORTHAMERICANFULFILLMENT	0.065	2018-10-05	2020-12-30	112
854065970	POLICE ASSOCIATION OF NY POLITICAL FUND	N	NORTHAMERICANFULFILLMENT	0.028	2022-08-15	2023-07-31	44
821820836	Young Conservatives of America	N	NORTHAMERICANFULFILLMENT	0.025	2018-10-04	2021-11-18	85
852675458	MICHIGAN FOP POLITICAL FUND	N	NORTHAMERICANFULFILLMENT	0.009	2021-10-31	2022-12-31	43
832868668	Louisiana Fraternal Order of Police Political Fund	N	NORTHAMERICANFULFILLMENT	0.008	2021-01-08	2022-12-31	54
862042355	SOUTH CAROLINA FOP POLITICAL FUND	N	NORTHAMERICANFULFILLMENT	0.006	2021-10-31	2022-12-31	41
831616914	United Police Fund	N	NORTHAMERICANFULFILLMENT	0.002	2023-03-31	2024-08-26	3
332084267	AMCC PAC	N	PROSPEAKING	0.054	2026-02-28	2026-06-30	5
