CMTE_ID	DONORS	D19	PCT_IN19	NM	TP	TRES	CITY
C00570093	401	296	73.8	ADVANCING FREEDOM FUND	O	MCGRAIN, JORDAN	ALEXANDRIA VA
C00715433	285	138	48.4	CONSTITUTIONAL LEADERSHIP PAC	O	PRICE, ROBERT	WASHINGTON DC
C00709113	577	279	48.4	AMERICAN COALITION FOR CRISIS RELIEF PAC	O	STEFANIDES, ANDREW	DALLAS TX
C00710160	418	199	47.6	AMERICAN ALLIANCE FOR DISABLED CHILDREN PAC	O	PLISHKA, JOHN	ORLAND PARK IL
C00650168	560	227	40.5	COALITION FOR AMERICAN VETERANS POLITICAL ACTION COMMITTEE	O	DATWYLER, THOMAS	WASHINGTON DC
C00784496	334	123	36.8	LEAGUE FOR SPORTSMEN, LAW ENFORCEMENT AND DEFENSE (AKA THE LEAGUE)	W	JOHNSON, MELODIE	FAIRFAX VA
C00755694	413	147	35.6	UNITED WOMEN'S HEALTH ALLIANCE PAC	O	PLISHKA, JOHN	WASHINGTON DC
C00681825	4549	1421	31.2	LAW ENFORCEMENT FOR A SAFER AMERICA PAC	O	KEVITT, JEREMY	WASHINGTON DC
C00570416	4007	1161	29.0	GATORPAC	Q	DATWYLER, THOMAS	MADISONVILLE LA
C00758938	671	168	25.0	POLICE COALITION OF AMERICA PAC	O	LEAGUE, RICHARD	FLAGLER BEACH FL
C00712885	526	128	24.3	AMERICAN VETERANS INITIATIVE DBA NATIONAL ALLIANCE FOR AMERICAN VETERANS	O	LEAGUE, RICHARD ANDREW MR.	HARTWELL GA
C00710178	520	123	23.7	HONORING AMERICAN LAW ENFORCEMENT PAC	O	STITT, BOB	WASHINGTON DC
C00699801	657	102	15.5	VETERANS AID PAC	O	CAPPLEMAN, OLIVER	WESTCHESTER IL
C00506105	1270	119	9.4	REVIVE AMERICA PAC	O	WATKINS, NANCY H.	TAMPA FL
C00488304	2184	170	7.8	AMERICAN LEGACY POLITICAL ACTION COMMITTEE	Q	WALDECK, ADAM	RESTON VA
C00767640	2516	161	6.4	RANGER PAC	Q	KILGORE, PAUL	ATHENS GA
C00295527	6658	422	6.3	CITIZENS UNITED POLITICAL VICTORY FUND	Q	ALLEN, KEVIN	WASHINGTON DC
C00542431	3765	140	3.7	JOHN BOLTON PAC	Q	HOBBS, CABELL	WASHINGTON DC
C00540898	6365	187	2.9	TEA PARTY PATRIOTS CITIZENS FUND	O	KILGORE, PAUL	WOODSTOCK GA
C00523241	11456	296	2.6	SPECIAL OPERATIONS FOR AMERICA	O	KAARLO HIETALA	SARATOGA SPRINGS NY
C00493221	9158	228	2.5	THE GUARDIAN FUND	Q	WILDER, GREGORY	PITTSBORO NC
C00454074	12847	321	2.5	TEAPARTYEXPRESS.ORG	Q	LAWLER, KELLY	HILMAR CA
C00548420	5056	124	2.5	THE 2016 DRAFT COMMITTEE	O	FRANK, ROBERT H.	VIENNA VA
C00130658	7539	183	2.4	AMERICAN CONSERVATIVE UNION	Q	JOHNSON, MELODIE	ALEXANDRIA VA
C00607374	7158	170	2.4	ELBERT GUILLORY'S AMERICA	Q	SATTERFIELD, DAVID	ALEXANDRIA VA
C00298000	6639	154	2.3	MADISON PROJECT INC.	W	KILGORE, PAUL	ATHENS GA
C00570226	22660	497	2.2	SEAL PAC SUPPORTING ELECTING AMERICAN LEADERS PAC	Q	KILGORE, PAUL	WASHINGTON DC
C00544767	27856	551	2.0	THE COMMITTEE TO DEFEND THE PRESIDENT	W	BACKER, DAN	ALEXANDRIA VA
C00499020	7508	136	1.8	FREEDOMWORKS FOR AMERICA	O	MARSTON, CHRIS	WASHINGTON DC
C00608489	18442	325	1.8	GREAT AMERICA PAC	W	CURTIS, ELIZABETH	ALEXANDRIA VA
C00300921	6905	118	1.7	BLACK AMERICA'S POLITICAL ACTION COMMITTEE	W	BUCKNER, BRADY J	WASHINGTON DC
C00401786	8498	147	1.7	FREEDOM'S DEFENSE FUND	Q	KILGORE, PAUL	ATHENS GA
C00448373	21990	352	1.6	HUCK PAC	Q	TURNER, CALE	LITTLE ROCK AR
C00569905	10054	153	1.5	THE 2016 COMMITTEE	O	SARACINO, WILLIAM	VIENNA VA
C00237198	9358	127	1.4	FRIENDS OF JOHN BOEHNER	Q	LISKER, LISA	ALEXANDRIA VA
C00545947	17867	258	1.4	TEAM RYAN	N	KILGORE, PAUL	WASHINGTON DC
C00760124	7719	108	1.4	NATIONAL VICTORY ACTION FUND	W	RUTLAND, JANNA	ARLINGTON VA
C00494617	14950	194	1.3	RUBIO VICTORY COMMITTEE	N	LISKER, LISA	ALEXANDRIA VA
C00808311	8910	117	1.3	RSLC VICTORY FUND	V	HOBBS, CABELL	WASHINGTON DC
C00779223	8989	118	1.3	JOSH HAWLEY VICTORY COMMITTEE	N	PURPURA, SALVATORE MR.	ST LOUIS MO
