K	B	GROUPS	TOT_M	MED_PFR	MED_PCT_CONTRIB	ORG
all	all	317	8124.9	0.5	5.7	
bucket	under 20	278	7801.6	0.1	10.8	
bucket	50+ other	14	179.3	76.4	0.2	
bucket	20-50	14	98.7	30.6	9.5	
bucket	89.5-91.0	11	45.2	90.0	0.0	
in_band	843763411		9.3	90.0	0.0	National Committee For Volunteer Firefighters
in_band	853307234		6.91	90.9	0.0	National Coalition for Disabled Veterans PAC
in_band	843763242		5.02	90.5	0.0	National Cancer Alliance
in_band	921706849		4.63	90.0	0.0	POSC PAC
in_band	922354897		3.81	90.2	0.0	American Coalition for Police & Sheriff's PAC
in_band	861386683		3.41	90.0	0.0	UNITED FIREFIGHTERS SUPPORT COMMITTEE
in_band	843763606		2.96	89.9	0.0	American Alliance for Military Veterans
in_band	922452599		2.82	89.9	0.0	AVSC 2023 PAC
in_band	923489519		2.58	90.2	0.0	VF2024 PAC
in_band	854325630		2.38	90.8	0.0	National Police & Sheriffs Coalition PAC
in_band	923489713		1.35	89.9	0.0	United Health PAC
