FORM_ID_NUMBER	EIN	ORG	LUMP_AMT	ITEM_AMT	ITEM_ROWS	LUMP_NAME	TOTAL_SCHED_B	PERIOD_BEGIN_DATE	PERIOD_END_DATE	AMENDED_REPORT_IND
9767258	843153271	Committee for Police Officers Defense	1495813.0	0.0	0	SCHED B EXPENDITURES IN PERIOD	1495813.00	2025-07-01	2025-12-31	0
9767211	822366231	FIREFIGHTERS AND EMS FUND	1362475.0	0.0	0	WITHHELD	1362475.00	2025-07-01	2025-12-31	0
9767297	822366231	FIREFIGHTERS AND EMS FUND	1362475.0	0.0	0	FEMSF ALL DISBURSEMENTS FROM 7/1-12/31/2025	1362475.00	2025-07-01	2025-12-31	0
9767191	821194581	American Police Officers Alliance	936066.0	0.0	0	WITHHELD 	936066.00	2025-07-01	2025-12-31	0
9767284	821194581	American Police Officers Alliance	936066.0	0.0	0	APOA ALL DISBURSEMENTS FROM 7/1-12/31/2025	936066.00	2025-07-01	2025-12-31	0
9767338	815214552	National Police Support Fund, Inc	748377.0	0.0	0	NPSF ALL DISBURSEMENTS FROM 7/1-12/31/2025	748377.00	2025-07-01	2025-12-31	0
9767198	815214552	National Police Support Fund, Inc	748377.0	0.0	0	WITHHELD	748377.00	2025-07-01	2025-12-31	0
9767296	822315009	American Veterans Honor Fund, Inc.	189064.0	0.0	0	AVHF ALL DISBURSEMENTS FROM 7/1-12/31/2025	189064.00	2025-07-01	2025-12-31	0
9767193	822315009	American Veterans Honor Fund, Inc.	189064.0	0.0	0	WITHHELD	189064.00	2025-07-01	2025-12-31	0
9665513	815214552	National Police Support Fund, Inc	30521.0	1070601.0	457	AGGREGATE BELOW THRESHOLD	1101122.00	2018-01-01	2018-03-31	0
9665512	821194581	American Police Officers Alliance	23507.0	1212381.0	271	AGGREGATE BELOW THRESHOLD	1235888.00	2018-01-01	2018-03-31	0
9686410	815214552	National Police Support Fund, Inc	21234.0	2165247.0	2004	AGGREGATE BELOW THRESHOLD	2186481.00	2019-07-01	2019-12-31	0
9668893	815214552	National Police Support Fund, Inc	17186.0	996851.0	560	WITHHELD	1014037.00	2018-04-01	2018-06-30	0
9678276	815214552	National Police Support Fund, Inc	17186.0	996851.0	560	AGGREGATE BELOW THRESHOLD	1014037.00	2018-04-01	2018-06-30	1
9656598	472041040	Veterans Action Network	15922.0	723482.0	273	WITHHELD	739404.00	2017-01-01	2017-06-30	0
9656595	472041040	Veterans Action Network	15922.0	723482.0	273	WITHHELD	739404.00	2017-01-01	2017-06-30	0
9656602	472041040	Veterans Action Network	15922.0	723482.0	273	WITHHELD	739404.00	2017-01-01	2017-06-30	1
9709661	821194581	American Police Officers Alliance	14697.0	3385103.0	4211	AGGREGATE BELOW THRESHOLD	3399800.00	2021-07-01	2021-12-31	0
9709664	821194581	American Police Officers Alliance	14697.0	3385103.0	4211	AGGREGATE BELOW THRESHOLD	3399800.00	2021-07-01	2021-12-31	0
9703620	821194581	American Police Officers Alliance	13852.0	3892157.0	4466	AGGREGATE BELOW THRESHOLD	3906009.00	2021-01-01	2021-06-30	0
9668986	821194581	American Police Officers Alliance	13171.0	805882.0	495	AGGREGATE BELOW THRESHOLD	819053.00	2018-04-01	2018-06-30	0
9681167	821194581	American Police Officers Alliance	13111.0	2218348.0	1976	AGGREGATE BELOW THRESHOLD	2231459.00	2019-01-01	2019-06-30	0
9669445	822315009	American Veterans Honor Fund, Inc.	13002.0	117908.0	275	AGGREGATE BELOW THRESHOLD	130910.00	2018-01-01	2018-03-31	0
9681267	822366231	Firefighters Support Fund	12710.0	1789790.0	2278	AGGREGATE BELOW THRESHOLD	1802500.00	2019-01-01	2019-06-30	0
9674016	821194581	American Police Officers Alliance	12567.0	284181.0	327	AGGREGATE BELOW THRESHOLD	296748.00	2018-10-18	2018-11-26	0
9713210	821194581	American Police Officers Alliance	11470.0	953754.0	1673	WITHHELD	965224.00	2022-01-01	2022-03-31	0
9686268	822366231	Firefighters Support Fund	10988.0	1733325.0	2755	AGGREGATE BELOW THRESHOLD	1744313.00	2019-07-01	2019-12-31	0
9710017	822366231	Firefighters Support Fund	10094.0	2318799.0	7530	WITHHELD	2328893.00	2021-07-01	2021-12-31	0
9681386	815214552	National Police Support Fund, Inc	9757.0	3217203.0	1911	AGGREGATE BELOW THRESHOLD	3226960.00	2019-01-01	2019-06-30	0
9713211	822366231	Firefighters Support Fund	9187.0	1142777.0	3388	WITHHELD	1151964.00	2022-01-01	2022-03-31	0
