EIN	REPORTS	PERIODS	ALL_REPORTS_M	LATEST_PER_PERIOD_M	FIRST_PB	LAST_PE	OVERLAPPING_PAIRS	OVERLAP_M
TOTAL	415	372	221.2	193.66	2014-10-28	2026-06-30		
821194581	38	33	43.3	37.54	2018-01-01	2026-06-30	2	0.49
822366231	39	34	36.1	32.07	2017-07-31	2026-06-30	3	1.35
815214552	41	34	32.3	27.86	2017-07-01	2026-06-30	2	0.49
843153271	26	24	21.5	18.75	2019-09-24	2026-06-30		
822315009	40	33	11.28	10.49	2018-01-01	2026-06-30	2	0.33
834686848	23	22	10.69	9.55	2019-05-14	2025-12-31		
843763411	26	23	12.42	9.3	2019-12-18	2026-06-30		
853307234	19	17	7.22	6.91	2021-01-01	2026-06-30		
472041040	23	17	9.85	6.15	2014-10-28	2019-12-31	2	0.17
273594732	26	26	6.06	6.06	2016-07-01	2024-12-31		
843763242	24	23	5.22	5.02	2019-11-21	2026-06-30		
921706849	9	9	4.63	4.63	2024-01-01	2026-06-30		
922354897	12	11	3.99	3.81	2023-02-15	2026-06-30		
861386683	16	15	3.94	3.41	2021-01-14	2025-03-31		
843763606	20	20	2.96	2.96	2019-11-21	2024-12-31		
922452599	11	10	3.2	2.82	2023-07-01	2026-06-30		
923489519	10	10	2.58	2.58	2023-07-01	2026-06-30		
854325630	7	6	2.61	2.38	2021-07-01	2023-02-17		
923489713	5	5	1.35	1.35	2024-11-26	2026-06-30		
