K	CLS	P	M	PCT
class	1 explicit fundraising		116.38	57.7
class	9 not fundraising		52.38	26.0
class	3 telemarketing bare		18.93	9.4
class	4 direct mail		7.21	3.6
class	2 telemarketing labelled program/political		6.82	3.4
class	5 phone only		0.08	0.0
top	1 explicit fundraising	FUNDRAISING, DONOR MANAGEMENT, DATABASE SERVICES, DIRECT MAIL SERVICES	42.28	
top	1 explicit fundraising	TELE FUNDRAISING	12.82	
top	3 telemarketing bare	TELEMARKETING	11.19	
top	1 explicit fundraising	TELE-FUNDRAISING	10.05	
top	1 explicit fundraising	CAGING AND ESCROW	7.15	
top	9 not fundraising	TECHNOLOGY SERVICES	6.87	
top	1 explicit fundraising	FUNDRAISING-TELEMARKETING	6.4	
top	1 explicit fundraising	DIRECT MAIL FUNDRAISING	6.23	
top	4 direct mail	DIRECT MAIL	5.73	
top	1 explicit fundraising	PROGRAM MANAGEMENT, EDUCATION, FUNDRAISING	5.65	
top	1 explicit fundraising	FUNDRAISING DATA	4.96	
top	1 explicit fundraising	TELEFUNDRAISING	4.68	
top	2 telemarketing labelled program/political	POLITICAL TELEMARKETING	3.81	
top	1 explicit fundraising	FUNDRAISING, DONOR DATABASE MANAGEMENT, CAGING AND ESCROW, DIRECT MAIL	3.75	
top	9 not fundraising	WITHHELD	3.74	
top	9 not fundraising	DATA	3.58	
top	9 not fundraising	CARRIER MINUTES AND DIALER EXPENSE	3.33	
top	2 telemarketing labelled program/political	PROGRAM-POLITICAL TELEMARKETING	2.88	
top	9 not fundraising	MERCHANT PROCESSING, SOFTWARE PROVIDER, DATA ENTRY, DATABASE SERVICES,	2.33	
top	1 explicit fundraising	FUNDRAISING-CAGING AND ESCROW	2.13	
top	3 telemarketing bare	TELEMARKETING/DIRECT MAIL/DATA AND TECHNOLOGY SERVICES	1.88	
top	3 telemarketing bare	TELEMARKETING/DIRECT MAIL/DATA AND TECHNOLOGY SERVICES/MARKETING	1.79	
top	3 telemarketing bare	TELEMARKETING/DATA AND TECHNOLOGY SERVICES	1.55	
top	9 not fundraising	SCHED B EXPENDITURES IN PERIOD	1.5	
top	9 not fundraising	AGGREGATE EXPENDITURES FROM 1-1-26 THROUGH 3-31-26	1.38	
top	9 not fundraising	FEMSF ALL DISBURSEMENTS FROM 7/1-12/31/2025 - IRS TECHNICAL DIFFICULTI	1.36	
top	9 not fundraising	EXPENDITURES	1.16	
top	3 telemarketing bare	TELEMARKETING/DATABASE MANAGEMENT SVCS	1.15	
top	9 not fundraising	CREDIT CARD PROCESSING FEES	1.13	
top	1 explicit fundraising	FUNDRAISING, DONOR MANAGEMENT, DATABASE SERVICES	1.12	
