CMTE_ID	DONORS	REAL_HITS	SHIFT_INITIAL_HITS	SHUFFLE_ZIP_HITS	PCT_REAL	PCT_SHIFT	PCT_SHUFFLE
C00570093	401	296	1	0	73.8	0.25	0.00
C00709113	577	279	1	0	48.4	0.17	0.00
C00715433	285	138	1	0	48.4	0.35	0.00
C00710160	418	199	1	0	47.6	0.24	0.00
C00650168	560	227	1	0	40.5	0.18	0.00
C00784496	334	123	1	0	36.8	0.30	0.00
C00755694	413	147	0	1	35.6	0.00	0.24
C00681825	4549	1421	6	1	31.2	0.13	0.02
C00570416	4007	1161	5	0	29.0	0.12	0.00
C00758938	671	168	0	0	25.0	0.00	0.00
C00712885	526	128	0	0	24.3	0.00	0.00
C00710178	520	123	1	0	23.7	0.19	0.00
C00699801	657	102	0	0	15.5	0.00	0.00
C00506105	1270	119	1	0	9.4	0.08	0.00
C00488304	2184	170	1	0	7.8	0.05	0.00
C00295527	6658	422	1	1	6.3	0.02	0.02
C00570226	22660	497	7	2	2.2	0.03	0.01
C00003418	1110608	3855	98	68	0.3	0.01	0.01
