table	kind	detail
SCIENCE_RESEARCH__XC_OSF_REGISTRATIONS	empty column	WITHDRAWAL_JUSTIFICATION_RAW is null on all 10 rows
JUSTICE__FED_DOJ_FCA_SETTLEMENTS	empty column	RELATOR_SHARE is null on all 12 rows
REFERENCE__INTL_EG_CAPMAS	empty column	VALUE is null on all 52 rows
GOVERNMENT_RECORDS__FED_USASPENDING_TAS_FILTER_TREE	empty column	CHILD_COUNT is null on all 92 rows
ECONOMICS__FED_GRANTS_GOV	empty column	AGENCY_NAME is null on all 100 rows
IMMIGRATION__FED_USCIS_DATA	empty column	RFE_COUNT is null on all 177 rows
ECONOMICS__FED_IRS_990	empty column	GROSS_RECEIPTS_AMT is null on all 200 rows
ECONOMICS__FED_IRS_990	empty column	TOTAL_ASSETS_EOY_AMT is null on all 200 rows
ECONOMICS__FED_IRS_990	empty column	TOTAL_LIABILITIES_EOY_AMT is null on all 200 rows
IMMIGRATION__FED_ICE_STATISTICS	constant column	COUNT holds one value, 240255, on 1 rows
ECONOMICS__FED_US_USASPENDING_API	empty column	TOTAL_OBLIGATION is null on all 300 rows
ECONOMICS__FED_US_USASPENDING_API	empty column	TOTAL_OUTLAY is null on all 300 rows
GOVERNANCE__FED_REVOLVINGDOOR_PROJECT	constant column	SECTOR_COUNT holds one value, 16, on 405 rows
SCIENCE_RESEARCH__XC_BIORXIV_MEDRXIV	empty column	NEW_PAPERS is null on all 432 rows
SCIENCE_RESEARCH__XC_BIORXIV_MEDRXIV	empty column	NEW_PAPERS_CUMULATIVE is null on all 432 rows
GOVERNMENT_RECORDS__FED_NARA_AAD	empty column	PERSON_NAME is null on all 554 rows
ENERGY__FED_EIA861_SALES_ULT_CUST_CS	constant column	RESIDENTIAL_REVENUES_THOUSAND_DOLLARS holds one value, 0, on 674 rows
ENERGY__FED_EIA861_SALES_ULT_CUST_CS	constant column	RESIDENTIAL_SALES_MWH holds one value, 0, on 674 rows
HEALTH__FED_VA_SUICIDE_STATE	empty column	GENERAL_POPULATION_RATE_PER_100K is null on all 1,196 rows
HEALTH__FED_CDC_DATA_PORTAL	empty column	PAGE_VIEWS is null on all 1,471 rows
FINANCE__FED_NCUA_CALL_REPORTS_FS220	constant column	ACCT_009 holds one value, 0, on 4,336 rows
ENVIRONMENT__FED_EPA_ENVIROFACTS	empty column	FRS_ID is null on all 5,000 rows
HEALTH__FED_CMS_HOSPITAL_COMPARE	constant column	MORT_GROUP_MEASURE_COUNT holds one value, 8, on 4,578 rows
HEALTH__FED_CMS_HOSPITAL_GENERAL	constant column	MORT_GROUP_MEASURE_COUNT holds one value, 8, on 4,578 rows
HOUSING__FED_FHFA_NMDB	empty column	STATISTIC_VALUE is null on all 7,204 rows
HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS	empty column	LOCATION_OTHER_TYPE_TEXT is null on all 11,508 rows
EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_STATS	empty column	ELECTIONS is null on all 21,211 rows
HEALTH__FED_CMS_MARKETPLACE_PLAN_ATTRIBUTES_PUF	empty column	CHILDONLYPLANID is null on all 22,059 rows
HOUSING__FED_FEMA_NFIP_COMMUNITY_STATUS_BOOK	empty column	SFHA_DISCOUNT_PCT is null on all 25,125 rows
HOUSING__FED_FEMA_NFIP_COMMUNITY_STATUS_BOOK	empty column	NON_SFHA_DISCOUNT_PCT is null on all 25,125 rows
HOUSING__FED_HUD_MF_FIRM_COMMITMENTS	ceiling value	TOTAL_UNITS max is 9,999, a 9s sentinel
ENVIRONMENT__FED_EPA_TRI_FACILITY	empty column	ASGN_TECHNICAL_CONTACT is null on all 64,990 rows
ENVIRONMENT__FED_EPA_TRI_FACILITY	empty column	MAIL is null on all 64,990 rows
