book_id,extract_id
P-001,HD-468
P-001,TB-473
P-001,TB-636
P-001,LB-015
P-002,HD-087
P-002,TB-469
P-003,HD-022
P-003,TB-325
P-004,TB-467
P-004,HD-083
P-004,TB-590
P-004,HD-564
P-004,TB-598
P-005,HD-459
P-005,TB-457
P-006,WN-002
P-009,HD-005
P-009,TB-454
P-010,WN-001
P-011,HD-053
P-011,TB-472
P-011,WN-004
P-011,WN-122
P-012,WN-005
P-013,HD-303
P-013,TB-366
P-013,LB-103
P-014,HD-470
P-014,TB-475
P-015,HD-466
P-015,TB-464
P-016,LB-136
P-017,HD-026
P-017,TB-327
P-018,HD-147
P-018,TB-477
P-019,HD-052
P-019,TB-471
P-020,HD-057
P-020,TB-353
P-020,TB-016
P-020,HD-585
P-021,HD-465
P-021,TB-463
P-022,HD-088
P-022,TB-470
P-025,HD-280
P-025,TB-339
P-026,TB-125
P-026,HD-054
P-026,TB-577
P-026,HD-551
P-026,WN-015
P-027,WN-015
P-028,HD-279
P-028,TB-338
P-029,HD-457
P-029,TB-455
P-030,LB-014
P-030,TB-635
P-031,LB-016
P-031,TB-637
P-032,LB-017
P-032,TB-638
P-033,LB-018
P-033,TB-639
P-034,LB-132
P-035,WN-071
P-036,WN-059
P-038,HD-469
P-038,TB-474
P-040,HD-458
P-040,TB-456
P-041,HD-460
P-041,TB-458
P-042,HD-461
P-042,TB-459
P-043,HD-086
P-043,TB-468
P-044,HD-462
P-044,TB-460
P-045,HD-463
P-045,TB-461
P-046,HD-464
P-046,TB-462
P-047,HD-467
P-047,TB-465
P-048,WN-003
P-049,LF-017
P-050,HD-130
P-050,TB-382
P-050,TB-589
P-050,HD-563
P-051,HD-274
P-051,TB-333
P-052,HD-275
P-052,TB-334
P-053,HD-299
P-053,TB-362
P-053,LB-094
P-054,HD-297
P-054,TB-360
P-054,LB-092
P-055,HD-298
P-055,TB-361
P-055,LB-093
P-056,HD-293
P-056,TB-352
P-057,HD-311
P-057,TB-376
P-058,WN-018
P-059,WN-011
P-060,LB-130
P-060,LB-062
P-061,LB-052
P-062,TB-571
P-062,HD-545
P-063,HD-128
P-063,TB-380
P-064,HD-107
P-064,TB-379
P-065,TB-591
P-065,HD-565
P-066,WN-025
P-067,WN-014
P-067,WN-030
P-068,HD-058
P-068,TB-372
P-068,WN-016
P-068,TB-583
P-068,HD-557
P-069,WN-017
P-070,TB-003
P-070,HD-572
P-071,HD-294
P-071,TB-357
P-071,LB-089
P-072,HD-295
P-072,TB-358
P-072,LB-090
P-073,HD-296
P-073,TB-359
P-073,LB-091
P-074,HD-273
P-074,TB-332
P-075,HD-312
P-075,TB-377
P-076,HD-108
P-076,TB-326
P-077,LF-015
P-078,TB-607
P-079,TB-001
P-079,TB-002
P-079,TB-595
P-079,HD-571
P-080,HD-269
P-080,TB-328
P-081,WN-130
P-082,WN-158
P-083,HD-271
P-083,TB-330
P-084,HD-272
P-084,TB-331
P-085,HD-301
P-085,TB-364
P-085,LB-096
P-086,HD-305
P-086,TB-368
P-087,HD-306
P-087,TB-369
P-088,HD-309
P-088,TB-374
P-089,LB-156
P-090,TB-017
P-090,TB-346
P-090,HD-287
P-090,HD-586
P-091,HD-288
P-091,TB-347
P-092,HD-289
P-092,TB-348
P-093,HD-290
P-093,TB-349
P-094,HD-291
P-094,TB-350
P-095,HD-098
P-095,TB-355
P-096,WN-024
P-097,HD-276
P-097,TB-335
P-098,TB-025
P-100,LB-131
P-101,LB-162
P-101,LB-161
P-102,HD-302
P-102,TB-365
P-102,LB-100
P-103,TB-669
P-104,LB-046
P-104,LF-061
P-105,HD-300
P-105,TB-363
P-105,LB-095
P-106,HD-304
P-106,TB-367
P-106,LB-116
P-106,LB-053
P-107,HD-310
P-107,TB-375
P-107,TB-578
P-107,HD-552
P-108,HD-569
P-108,HD-570
P-113,HD-277
