book_id,extract_id
R-001,TB-806
R-001,TB-807
R-001,HD-R001
R-002,TB-808
R-002,HD-R002
R-003,TB-809
R-003,HD-R003
R-003,LB-R14
R-004,HD-R004
R-005,HD-R005
R-005,LB-R13
R-005,TB-902
R-005,WN-R20
R-005,TB-1020
R-006,TB-812
R-006,HD-R006
R-006,LB-R17
R-007,WN-R21
R-008,HD-R008
R-009,LF-R032
R-010,TB-850
R-011,LF-R011
R-012,LF-R030
R-012,LF-R033
R-012,WN-R63
R-013,LF-R034
R-014,TB-915
R-015,LB-R28
R-016,LB-R47
R-017,LB-R27
R-018,TB-918
R-019,LF-R031
R-019,LF-R035
R-020,TB-921
R-020,WN-R49
R-021,TB-922
R-022,TB-920
R-023,TB-848
R-023,TB-917
R-023,LB-R12
R-023,HD-R182
R-024,TB-861
R-024,TB-863
R-025,TB-862
R-026,HD-R009
R-026,WN-R28
R-027,LF-R026
R-027,WN-R28
R-028,TB-919
R-028,TB-844
R-028,WN-R13
R-028,LF-R043
R-029,HD-R146
R-030,WN-R35
R-030,HD-R051
R-031,TB-956
R-031,WN-R52
R-032,TB-964
R-033,TB-955
R-033,WN-R18
R-034,TB-962
R-034,TB-846
R-035,WN-R64
R-036,LF-R038
R-036,HD-R081
R-037,HD-R189
R-038,TB-821
R-039,TB-822
R-039,TB-1020
R-040,TB-823
R-041,TB-824
R-042,TB-825
R-043,TB-836
R-044,TB-835
R-044,TB-868
R-045,TB-868
R-046,TB-839
R-047,TB-840
R-048,LB-R48
R-049,TB-820
R-050,LB-R40
R-051,TB-838
R-052,TB-816
R-052,TB-867
R-053,TB-837
R-054,TB-832
R-054,LF-R050
R-055,TB-833
R-056,TB-834
R-057,TB-841
R-058,TB-817
R-058,TB-818
R-059,TB-819
R-060,TB-866
R-061,TB-814
R-061,TB-815
R-061,LB-R22
R-061,LB-R23
R-061,HD-R029
R-061,WN-R01
R-062,WN-R02
R-062,TB-1010
R-063,HD-R186
R-064,TB-930
R-064,HD-R027
R-064,WN-R55
R-064,WN-R25
R-065,TB-828
R-065,TB-1014
R-066,TB-829
R-066,TB-1015
R-066,TB-1016
R-067,TB-831
R-068,HD-R109
R-069,HD-R177
R-070,HD-R108
R-071,TB-926
R-072,HD-R129
R-073,HD-R172
R-074,HD-R137
R-075,HD-R149
R-076,HD-R083
R-077,HD-R105
R-078,HD-R102
R-079,LB-R38
R-080,LB-R21
R-081,HD-R011
R-082,TB-967
R-083,HD-R174
R-084,TB-843
R-085,TB-923
R-085,LB-R18
R-085,LF-R029
R-085,HD-R187
R-086,LB-R18
R-086,LF-R023
R-087,TB-842
R-087,TB-983
R-088,LF-R013
R-089,HD-R191
R-090,HD-R185
R-091,TB-884
R-092,HD-R190
R-093,HD-R053
R-093,HD-R183
R-094,LF-R027
R-095,LF-R001
R-095,LF-R002
R-096,LF-R003
R-097,LF-R004
R-098,LF-R005
R-099,LF-R006
R-100,LF-R007
R-100,LB-R51
R-101,LF-R008
R-102,LF-R009
R-103,LF-R010
R-104,LF-R012
R-104,LF-R041
R-105,LF-R045
R-106,LF-R042
R-107,LB-R01
R-107,LB-R43
R-108,LB-R02
R-108,LB-R09
R-109,LB-R03
R-110,LB-R04
R-111,LB-R05
R-111,LB-R50
R-112,LB-R06
R-112,LF-R051
R-113,LB-R07
R-114,LB-R08
R-115,TB-864
R-115,LB-R10
R-115,LB-R39
R-116,TB-865
R-116,LB-R11
R-117,LB-R49
R-118,LB-R52
R-119,LF-R052
R-120,LB-R46
R-121,TB-810
R-121,TB-811
R-121,HD-R007
R-122,TB-813
R-123,TB-813
R-124,WN-R03
R-125,HD-R167
R-126,HD-R168
R-127,HD-R020
R-128,HD-R123
R-129,TB-869
R-129,LB-R15
R-130,LB-R30
R-131,TB-893
R-131,TB-970
R-131,WN-R05
R-131,HD-R072
R-132,HD-R071
R-132,WN-R07
R-132,TB-893
R-133,WN-R08
R-134,TB-898
R-134,LB-R16
R-135,WN-R62
R-136,WN-R04
R-136,HD-R179
R-137,TB-852
R-137,WN-R50
R-137,LB-R29
R-137,HD-R180
R-137,TB-1007
R-138,HD-R047
R-139,TB-873
R-139,WN-R60
R-140,TB-892
R-140,HD-R056
R-141,TB-1002
R-141,HD-R069
R-142,WN-R59
R-142,HD-R052
R-143,HD-R018
R-143,WN-R10
R-144,HD-R057
R-145,HD-R025
R-145,TB-961
R-146,WN-R26
R-146,HD-R026
R-146,TB-1020
R-147,HD-R152
R-147,TB-941
R-148,HD-R160
R-149,HD-R165
R-150,HD-R118
R-151,TB-959
R-151,WN-R36
R-151,TB-855
R-152,TB-953
R-152,WN-R38
R-153,LB-R42
R-154,HD-R045
R-155,TB-950
R-155,WN-R16
R-156,HD-R100
R-156,LB-R37
R-157,WN-R44
R-157,HD-R066
R-158,HD-R067
R-159,TB-830
R-159,TB-1017
R-159,WN-R35
R-160,TB-891
R-161,TB-916
R-162,TB-934
R-162,HD-R010
R-162,LF-R040
R-162,WN-R33
R-162,TB-844
R-163,TB-872
R-164,WN-R24
R-164,TB-1012
R-164,TB-1020
R-165,HD-R120
R-165,TB-933
R-165,WN-R32
R-166,TB-984
R-167,TB-928
R-167,TB-858
R-168,TB-895
R-168,HD-R032
R-169,TB-1005
R-169,WN-R30
R-170,HD-R173
R-171,HD-R075
R-172,HD-R076
R-173,HD-R082
R-173,HD-R081
R-173,LF-R037
R-174,TB-954
R-174,HD-R034
R-175,HD-R035
R-175,TB-955
R-175,WN-R41
R-176,HD-R131
R-177,HD-R043
R-178,HD-R017
R-179,TB-938
R-179,HD-R151
R-179,WN-R28
R-180,TB-945
R-180,HD-R157
R-181,TB-988
R-181,WN-R29
R-182,HD-R063
R-182,LF-R014
R-183,HD-R039
R-184,HD-R013
R-184,HD-R014
R-184,LB-R24
R-184,HD-R188
R-185,TB-881
R-185,HD-R054
R-185,WN-R51
R-186,LB-R45
R-187,TB-944
R-188,TB-849
