book_id,extract_id
F-001,TB-1074
F-002,TB-1150
F-003,LF-F001
F-003,LF-F002
F-004,LF-F128
F-004,LF-L053
F-005,LF-L205
F-006,LF-L206
F-007,LF-F003
F-007,LF-F004
F-007,LF-L190
F-008,LF-F006
F-008,LF-L189
F-009,LB-F46
F-010,LB-F26
F-011,LB-F28
F-012,LB-F27
F-012,LB-F44
F-013,LB-F29
F-014,LB-F44
F-015,LB-F45
F-015,LB-F66
F-016,LB-F42
F-017,LB-F35
F-018,LB-F39
F-019,LB-F40
F-020,LB-F36
F-021,LB-F37
F-022,LB-F38
F-023,LB-F67
F-024,LB-F68
F-025,LB-F64
F-026,LB-F61
F-027,LB-F69
F-028,LB-F16
F-029,LB-F17
F-030,TB-1041
F-030,LB-F55
F-031,LB-F56
F-032,WN-F31
F-033,TB-1072
F-034,TB-1073
F-035,TB-1042
F-035,TB-1164
F-036,TB-1043
F-037,TB-1180
F-038,TB-1181
F-039,TB-1175
F-039,HD-L028
F-040,TB-1177
F-040,HD-L029
F-041,TB-1174
F-041,HD-L031
F-042,LF-L054
F-042,LF-L055
F-042,LF-L057
F-042,LF-L061
F-042,LF-L214
F-043,LB-F01
F-044,LB-F02
F-044,LB-F30
F-044,LF-F068
F-045,WN-F25
F-045,LF-F077
F-045,LB-F72
F-046,LF-F005
F-046,LF-L058
F-046,LB-F32
F-046,LF-F073
F-047,LB-F74
F-048,LB-F03
F-048,WN-F23
F-049,LB-F04
F-049,LF-F072
F-050,LB-F05
F-050,LF-F067
F-051,LB-F06
F-052,LB-F07
F-053,LB-F08
F-054,LB-F09
F-055,LB-F10
F-056,LB-F11
F-057,LB-F12
F-058,LB-F13
F-059,LB-F14
F-060,LB-F15
F-060,TB-1178
F-061,HD-F073
F-061,WN-F23
F-062,LB-F70
F-063,LB-F71
F-064,LB-F73
F-065,WN-F24
F-065,LF-F080
F-066,LB-F47
F-067,LF-F074
F-068,LF-F075
F-069,LF-F076
F-070,LF-F078
F-070,LF-F069
F-070,LF-F079
F-071,LF-F070
F-071,LF-F071
F-072,HD-F072
F-073,HD-F071
F-074,TB-1079
F-074,LB-F24
F-075,LB-F19
F-076,LF-F081
F-076,LF-F082
F-077,HD-F009
F-078,WN-F05
F-079,HD-F068
F-080,WN-F04
F-081,WN-F34
F-082,LB-F48
F-082,LB-F31
F-082,WN-F30
F-083,TB-1040
F-084,LB-F52
F-085,LB-F50
F-086,LB-F51
F-087,LB-F53
F-088,LB-F54
F-089,LB-F49
F-090,TB-1105
F-090,HD-F074
F-091,TB-1106
F-091,HD-F075
F-092,HD-F070
F-093,HD-F076
F-094,WN-F01
F-095,WN-F02
F-096,WN-F03
F-097,WN-F14
F-098,LB-F25
F-099,HD-F015
F-100,HD-F016
F-100,HD-F017
F-101,HD-F018
F-102,HD-F069
F-103,TB-1183
F-104,TB-1182
F-104,LF-L192
F-104,LF-L211
F-105,HD-F019
F-106,LF-F013
F-107,LF-F007
F-108,LF-F129
F-109,LF-F130
F-110,LF-F131
F-111,WN-F32
F-112,TB-1080
F-112,LF-F034
F-112,LF-L210
F-113,LF-F059
F-113,LF-F060
F-114,LF-F061
F-115,LF-F096
F-115,LF-F097
F-116,LF-F098
F-116,LF-F100
F-116,LF-F101
F-117,LF-F099
F-117,LF-F062
F-118,LF-F102
F-119,LF-F103
F-120,LF-F104
F-120,LF-F105
F-121,LF-F106
F-121,LF-F107
F-121,LF-F108
F-121,LF-L198
F-122,LF-F083
F-123,LF-F084
F-124,LF-F085
F-125,LF-F086
F-125,LF-F087
F-126,LF-F088
F-127,LF-F089
F-127,LF-F090
F-127,LF-F063
F-128,LF-F092
F-128,LF-F093
F-129,LF-L195
F-129,LF-L196
F-130,LF-F091
F-131,LF-F094
F-132,LF-F095
F-133,HD-F033
F-134,HD-F007
F-135,HD-F004
F-136,HD-F002
F-137,HD-F065
F-138,HD-F080
F-139,HD-F034
F-140,HD-F030
F-141,HD-F029
F-142,HD-F013
F-143,TB-1101
F-143,LF-F033
F-143,LB-F20
F-144,LF-F008
F-144,LF-F009
F-145,HD-F078
F-146,HD-F031
F-147,HD-F032
F-148,HD-F049
F-149,HD-F048
F-150,HD-F050
F-151,TB-1086
F-151,LF-F019
F-152,TB-1069
F-153,TB-1070
F-154,TB-1071
F-155,HD-F023
F-156,HD-F014
F-157,HD-F022
F-158,HD-F079
F-159,HD-F063
F-160,HD-F059
F-161,TB-1102
F-161,LF-F036
F-162,LF-F037
F-162,LF-F038
F-162,LF-F039
F-162,LF-F040
F-163,LF-F041
F-163,LF-F126
F-164,LF-F042
F-164,LF-F115
F-164,LF-F116
F-165,LF-F043
F-165,LF-F044
F-165,LF-L212
F-165,LF-L208
F-166,LF-F045
F-166,LF-F046
F-166,LF-L194
F-167,LF-F047
F-167,LF-F048
F-168,LF-F049
F-168,LF-F050
F-169,LF-F051
F-169,LF-F053
F-169,LF-F054
F-170,LF-F052
F-171,LF-F055
F-171,LF-F056
F-171,LF-F057
F-172,LF-F058
F-172,LF-F110
F-172,LF-L200
F-173,LF-F111
