book_id,extract_id
H-001,TB-069
H-001,HD-001
H-001,LF-030
H-001,LF-060
H-002,TB-037
H-002,HD-116
H-003,TB-135
H-003,HD-198
H-004,TB-030
H-004,HD-023
H-005,TB-058
H-005,HD-010
H-006,TB-102
H-006,HD-180
H-007,TB-033
H-007,HD-007
H-007,TB-111
H-007,HD-189
H-008,TB-046
H-008,HD-027
H-009,TB-139
H-009,HD-202
H-009,LB-067
H-010,TB-155
H-010,HD-016
H-011,TB-045
H-011,HD-148
H-012,TB-136
H-012,HD-199
H-013,TB-581
H-013,HD-555
H-013,LF-026
H-013,LF-038
H-013,LF-053
H-013,LF-076
H-013,LF-078
H-013,LF-080
H-013,LF-097
H-014,WN-049
H-015,TB-093
H-015,HD-171
H-016,LF-029
H-016,LB-056
H-016,LF-067
H-016,LF-068
H-016,LF-069
H-017,LF-070
H-017,LF-071
H-017,LF-072
H-017,LF-073
H-017,LF-074
H-017,LF-075
H-018,TB-122
H-018,HD-090
H-019,LF-042
H-019,LF-043
H-019,LF-044
H-020,TB-034
H-020,HD-113
H-021,TB-092
H-021,HD-170
H-022,TB-038
H-022,HD-117
H-023,TB-032
H-023,HD-004
H-023,TB-110
H-023,HD-188
H-024,TB-159
H-024,HD-112
H-024,TB-128
H-024,HD-191
H-024,LB-060
H-024,LB-064
H-025,LB-054
H-026,WN-048
H-027,TB-035
H-027,HD-114
H-027,TB-129
H-027,HD-192
H-027,LB-065
H-027,LF-033
H-028,TB-043
H-028,HD-132
H-028,TB-137
H-028,HD-200
H-029,TB-156
H-029,HD-019
H-029,TB-163
H-029,HD-131
H-030,TB-057
H-030,HD-146
H-031,TB-164
H-031,HD-133
H-031,TB-145
H-031,HD-208
H-032,TB-144
H-032,HD-207
H-033,TB-077
H-033,HD-155
H-034,TB-076
H-034,HD-154
H-035,TB-061
H-035,HD-018
H-036,TB-114
H-036,HD-064
H-037,WN-050
H-038,TB-118
H-038,HD-069
H-039,TB-060
H-039,HD-099
H-039,TB-570
H-039,HD-544
H-040,LF-054
H-040,LF-081
H-040,LF-082
H-040,LF-083
H-040,LF-084
H-040,LF-085
H-040,LF-050
H-040,LF-048
H-041,LF-045
H-042,LF-046
H-042,LF-089
H-042,LF-086
H-042,LF-087
H-042,LF-088
H-043,LF-047
H-043,LF-049
H-043,LF-051
H-044,LF-077
H-045,LF-079
H-046,WN-074
H-047,WN-075
H-048,TB-059
H-048,HD-011
H-049,TB-070
H-049,HD-012
H-050,TB-021
H-050,HD-590
H-051,TB-073
H-051,HD-151
H-051,LB-001
H-051,TB-630
H-052,LB-002
H-053,TB-624
H-053,LB-003
H-053,WN-041
H-054,TB-625
H-054,LB-004
H-055,TB-626
H-055,LB-005
H-056,TB-627
H-056,LB-006
H-057,TB-628
H-057,LB-007
H-058,TB-629
H-058,LB-008
H-058,LB-148
H-059,LB-135
H-060,LB-059
H-061,TB-113
H-061,HD-062
H-061,WN-026
H-061,LB-044
H-062,TB-143
H-062,HD-206
H-062,WN-042
H-063,LB-045
H-065,TB-148
H-065,HD-211
H-066,TB-576
H-066,HD-550
H-067,TB-065
H-067,HD-008
H-068,TB-286
H-068,HD-335
H-069,TB-051
H-069,HD-110
H-070,TB-053
H-070,HD-127
H-070,TB-314
H-070,HD-356
H-070,LB-102
H-071,TB-166
H-071,HD-142
H-072,TB-157
H-072,HD-109
H-073,TB-158
H-073,HD-111
H-074,TB-141
H-074,HD-204
H-074,LB-101
H-075,WN-046
H-076,WN-012
H-077,TB-074
H-077,HD-152
H-078,TB-075
H-078,HD-153
H-079,TB-095
H-079,HD-173
H-080,TB-664
H-081,TB-029
H-081,HD-002
H-081,TB-130
H-081,HD-193
H-081,LB-069
H-082,TB-031
H-082,HD-030
H-082,TB-153
H-082,HD-013
H-082,TB-008
H-082,HD-577
H-083,WN-165
H-083,WN-178
H-083,WN-180
H-084,WN-028
H-085,TB-063
H-085,HD-028
H-086,TB-040
H-086,HD-119
H-087,TB-149
H-087,HD-212
H-088,TB-078
H-088,HD-156
H-089,TB-103
H-089,HD-181
H-090,TB-131
