schema	table	column	key	rows	filled	pct_filled	distinct
FINANCE	FINANCE__FED_SEC_13F_HOLDINGS	ACCESSION_NUMBER	ACCESSION	101261252	101261252	100.0	265873
FINANCE	FINANCE__FED_SEC_13F_SUBMISSION	ACCESSION_NUMBER	ACCESSION	3822885	3822885	100.0	9677
FINANCE	FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS	ACCESSION_NUMBER	ACCESSION	2672841	2672841	100.0	1325849
FINANCE	FINANCE__FED_SEC_INSIDER_DERIV_TRANS	ACCESSION_NUMBER	ACCESSION	1049121	1049121	100.0	655442
POLITICS	POLITICS__MEMBER_PAC_MONEY	BIOGUIDE	BIOGUIDE	1258	1256	99.8	681
ECONOMICS	ECONOMICS__FED_SEC_EDGAR_COMPANY_TICKERS	CIK	CIK	10414	10414	100.0	8027
ECONOMICS	ECONOMICS__FED_BLS_QCEW	AREA_FIPS	COUNTY_FIPS	3619437	3619437	100.0	4532
CORE	DIM_TRACT	COUNTY_FIPS	COUNTY_FIPS	85391	85391	100.0	3256
ENVIRONMENT	ENVIRONMENT__INTL_GEM_HAZARD	FIPS	COUNTY_FIPS	12	0	0.0	0
ECONOMICS	ECONOMICS__FED_FOREIGNASSISTANCE	EIN	EIN	95658	0	0.0	0
FINANCE	FINANCE__FED_FEC_COMMITTEES_DIM	CMTE_ID	FEC_ID	44398	44398	100.0	43514
FINANCE	FINANCE__FED_FEC_CAND_CMTE_LINKAGE	CAND_ID	FEC_ID	30536	30536	100.0	15092
POLITICS	POLITICS__FEC_CAND_CMTE_LINK	CAND_ID	FEC_ID	16229	16229	100.0	11478
ENVIRONMENT	ENVIRONMENT__FED_EPA_NPDES_NPDES_QNCR_HISTORY	NPDES_ID	FRS/EPA	7951656	7951656	100.0	690767
ENVIRONMENT	ENVIRONMENT__FED_EPA_FRS_FRS_NAICS_CODES	REGISTRY_ID	FRS/EPA	2179702	2179697	100.0	1669004
ENVIRONMENT	ENVIRONMENT__FED_EPA_NPDES_NPDES_INSPECTIONS	REGISTRY_ID	FRS/EPA	1900067	1900067	100.0	270655
ENVIRONMENT	ENVIRONMENT__FED_EPA_FRS_FRS_SIC_CODES	REGISTRY_ID	FRS/EPA	1085211	1085209	100.0	831243
ENVIRONMENT	ENVIRONMENT__FED_EPA_NPDES_NPDES_SICS	NPDES_ID	FRS/EPA	792807	792807	100.0	700720
ENVIRONMENT	ENVIRONMENT__FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS	NPDES_ID	FRS/EPA	478855	478855	100.0	119444
ENVIRONMENT	ENVIRONMENT__FED_EPA_NPDES_NPDES_PS_VIOLATIONS	NPDES_ID	FRS/EPA	397615	397615	100.0	44610
ENVIRONMENT	ENVIRONMENT__FED_EPA_NPDES_NPDES_NAICS	NPDES_ID	FRS/EPA	326473	326473	100.0	299952
ENVIRONMENT	ENVIRONMENT__FED_EPA_NPDES_NPDES_SE_VIOLATIONS	NPDES_ID	FRS/EPA	305445	305445	100.0	75533
ENVIRONMENT	ENVIRONMENT__FED_EPA_NPDES_NPDES_FORMAL_ENFORCEMENT_ACTIONS	NPDES_ID	FRS/EPA	112373	112373	100.0	51658
ENVIRONMENT	ENVIRONMENT__FED_EPA_NPDES_NPDES_CS_VIOLATIONS	NPDES_ID	FRS/EPA	82187	82187	100.0	10563
FINANCE	FINANCE__FED_EPA_ICIS_FEC_EPA_INFORMAL_ENFORCEMENT_ACTIONS	REGISTRY_ID	FRS/EPA	21930	21930	100.0	14840
ECONOMICS	ECONOMICS__INTL_GLEIF_REPEX	LEI	LEI	6313372	6313372	100.0	3173717
JUSTICE	JUSTICE__FED_COURTLISTENER_DOCKETS	CASE_NAME	ORG_NAME	71677647	70553287	98.4	45682849
HEALTH	HEALTH__FED_FDA_FAERS_DRUG	DRUGNAME	ORG_NAME	20914284	20914158	100.0	475406
ENVIRONMENT	ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT	FACILITY_ID	ORG_NAME	15432737	5755384	37.3	51449
JUSTICE	JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS	CASE_NAME	ORG_NAME	10070727	9979581	99.1	6221147
ENVIRONMENT	ENVIRONMENT__FED_FRACFOCUS_REGISTRY	STATE_NAME	ORG_NAME	7200550	7200550	100.0	26
ENVIRONMENT	ENVIRONMENT__FED_USGS_WATER	SITE_NAME	ORG_NAME	6456952	6456952	100.0	3818
JUSTICE	JUSTICE__FED_FJC_IDB_CRIMINAL	DEFENDANT_NAME	ORG_NAME	6299908	0	0.0	0
CORPORATE_REGISTRY	CORPORATE_REGISTRY__INTL_UK_COMPANIES_HOUSE	COMPANY_NAME	ORG_NAME	5734780	5734779	100.0	5748999
REFERENCE	REFERENCE__FED_ITIS_REFERENCE_LINKS	VERNACULAR_NAME	ORG_NAME	1970107	1970107	100.0	1
