db,schema,table,type,row_count,bytes,created,last_altered,comment
LIBRARY_RAW,LANDING,CA_LOBBY_AMENDMENTS,BASE TABLE,25249,1454592,2026-08-05 14:37:21.222000-07:00,2026-08-05 14:37:23.664000-07:00,
LIBRARY_RAW,LANDING,CA_LOBBY_CHG_LOG,BASE TABLE,85765,4879360,2026-08-05 14:37:12.546000-07:00,2026-08-05 14:37:15.932000-07:00,
LIBRARY_RAW,LANDING,CA_LOBBY_CONTRIBUTIONS,BASE TABLE,6505,140800,2026-08-05 14:37:27.335000-07:00,2026-08-05 14:37:30.905000-07:00,
LIBRARY_RAW,LANDING,CA_LOBBY_COVER,BASE TABLE,568988,37172736,2026-08-05 14:36:29.205000-07:00,2026-08-05 14:36:53.612000-07:00,
LIBRARY_RAW,LANDING,CA_LOBBY_COVER2,BASE TABLE,206493,2412544,2026-08-05 14:36:59.130000-07:00,2026-08-05 14:37:02.986000-07:00,
LIBRARY_RAW,LANDING,CA_LOBBY_EMPLOYER,BASE TABLE,1730,103424,2026-08-05 14:37:35.321000-07:00,2026-08-05 14:37:37.776000-07:00,
LIBRARY_RAW,LANDING,CA_LOBBY_EMPLOYER_FIRMS,BASE TABLE,524,11776,2026-08-05 14:37:41.091000-07:00,2026-08-05 14:37:42.656000-07:00,
LIBRARY_RAW,LANDING,CA_LOBBY_EMP_LOBBYIST,BASE TABLE,1500,40448,2026-08-05 14:37:45.919000-07:00,2026-08-05 14:37:47.361000-07:00,
LIBRARY_RAW,LANDING,CA_LOBBY_FIRM,BASE TABLE,256,18944,2026-08-05 14:37:50.527000-07:00,2026-08-05 14:37:52.494000-07:00,
LIBRARY_RAW,LANDING,CA_LOBBY_FIRM_EMPLOYER,BASE TABLE,170,14848,2026-08-05 14:37:56.505000-07:00,2026-08-05 14:37:58.229000-07:00,
LIBRARY_RAW,LANDING,CA_LOBBY_FIRM_LOBBYIST,BASE TABLE,577,22528,2026-08-05 14:38:01.656000-07:00,2026-08-05 14:38:03.860000-07:00,
LIBRARY_RAW,LANDING,FED_ATF_FFL,BASE TABLE,77514,14942208,2026-08-05 14:30:04.012000-07:00,2026-08-05 14:30:12.833000-07:00,
LIBRARY_RAW,LANDING,FED_ATF_FFL_LOCATIONS,BASE TABLE,2000,555520,2026-08-07 12:10:11.291000-07:00,2026-08-07 12:10:13.460000-07:00,
LIBRARY_RAW,LANDING,FED_BIA_TRIBAL_GEO,BASE TABLE,100,11264,2026-07-01 13:56:59.035000-07:00,2026-07-12 12:09:06.823000-07:00,"Tribal land and boundary records from the BIA's ArcGIS portal: layer, name, state, area, and geometry. A 100-row probe. FIPS and geometry columns make it joinable to county tables once fully poured."
LIBRARY_RAW,LANDING,FED_BJS_DATA,BASE TABLE,1000,46592,2026-07-05 13:57:57.824000-07:00,2026-07-05 13:57:59.659000-07:00,
LIBRARY_RAW,LANDING,FED_BLS_QCEW,BASE TABLE,3619437,135891456,2026-07-05 14:09:19.298000-07:00,2026-07-12 12:08:56.235000-07:00,"County-level quarterly and annual employment and wage statistics by industry (NAICS) and ownership sector, derived from unemployment insurance tax records."
LIBRARY_RAW,LANDING,FED_BOP_STATISTICS,BASE TABLE,50,3584,2026-07-01 14:23:58.912000-07:00,2026-07-12 12:09:04.351000-07:00,"Aggregate federal inmate and facility statistics published by BOP, landed as metric rows (category, metric, value, date). Small reference table -- good for topline context like population trends, not individual-level analysis."
LIBRARY_RAW,LANDING,FED_CBP_ENCOUNTERS,BASE TABLE,9,2560,2026-07-01 14:26:01.227000-07:00,2026-07-12 12:09:06.194000-07:00,"CBP's nationwide encounter numbers landed in spreadsheet shape: one row per category with months as columns (OCT_25, NOV_25...). Nine rows -- usable for a quick topline but the pivoted layout fights SQL; the OHSS monthly table on this shelf is the better-shaped source."
LIBRARY_RAW,LANDING,FED_CDC_ANXIETY_DEPRESSION,BASE TABLE,16794,512512,2026-06-27 21:25:39.876000-07:00,2026-07-12 12:08:55.391000-07:00,"CDC's Household Pulse tracker of mental-health symptoms: the estimated share of adults reporting anxiety or depression, broken out by state and by subgroup (age, race, gender, etc.) across survey periods since 2020. Includes confidence intervals so you can judge how solid each estimate is. Raw landing table -- every value stored as text, and these are survey-based estimates with margins of error, not exact counts. Cast VALUE before charting trends."
LIBRARY_RAW,LANDING,FED_CDC_DATA_PORTAL,BASE TABLE,15000,190464,2026-07-01 14:27:47.533000-07:00,2026-07-12 12:08:55.137000-07:00,"Indicator-level records pulled from data.cdc.gov spanning vaccinations, chronic disease, outbreaks, and environmental health: indicator, state/FIPS/ZIP, year, and value. A broad sampler of CDC's portal rather than one deep dataset -- good for quick health context by place."
LIBRARY_RAW,LANDING,FED_CDC_DATA_PORTAL_FULL,BASE TABLE,1471,1773056,2026-08-11 09:18:48.351000-07:00,2026-08-11 09:18:50.107000-07:00,
