db,schema,table,row_count,bytes,n_cols,n_numeric,n_date,signals
LIBRARY_MARTS,MARITIME,MARITIME__FED_NOAA_AIS,58104610,2474664448,27,10,4,date_col|geom|lat|lon|name_id|origin|severity
LIBRARY_MARTS,JUSTICE,JUSTICE__INTL_UCDP_GED,385918,39916032,49,9,3,count_meas|country|date_col|dest|geom|lat|lon|name_id|origin|outcome|severity
LIBRARY_RAW,LANDING,INTL_UCDP_GED,385918,36304384,52,1,0,count_meas|country|date_col|dest|geom|lat|lon|name_id|origin|outcome|severity
LIBRARY_RAW,LANDING,FED_HRSA_SHORTAGE_AREAS,165531,7729152,70,1,0,address|city|count_meas|county|date_col|fips|flag_bool|geom|lat|lon|name_id|origin|rate_meas|seq_order|severity|state|zip
LIBRARY_MARTS,HEALTH,HEALTH__FED_HRSA_SHORTAGE_AREAS,165531,7745024,67,14,5,address|city|count_meas|county|date_col|fips|flag_bool|geom|lat|lon|name_id|origin|rate_meas|seq_order|severity|state|zip
LIBRARY_RAW,LANDING,INTL_FR_DATA_GOUV_FULL,130431,38701056,50,1,0,count_meas|date_col|entity_id|geom|name_id|origin|rate_meas
LIBRARY_RAW,LANDING,FED_HRSA_HPSA_PRIMARY_CARE,79158,3090432,69,2,0,address|city|count_meas|county|date_col|fips|flag_bool|geom|lat|lon|name_id|origin|rate_meas|seq_order|severity|state|zip
LIBRARY_MARTS,HEALTH,HEALTH__FED_HRSA_HPSA_PRIMARY_CARE,79158,12601344,69,12,5,address|city|count_meas|county|date_col|fips|flag_bool|geom|lat|lon|name_id|origin|rate_meas|seq_order|severity|state|zip
LIBRARY_RAW,LANDING,FED_FEMA_NFIP_COMMUNITY_STATUS_BOOK_FULL_R2,25125,1084416,19,0,1,count_meas|county|date_col|geom|origin|rate_meas|severity|state
LIBRARY_RAW,LANDING,FED_FEMA_NFIP_COMMUNITY_STATUS_BOOK,25122,1083392,19,1,0,count_meas|county|date_col|geom|origin|rate_meas|severity|state
LIBRARY_MARTS,HOUSING,HOUSING__FED_FEMA_NFIP_COMMUNITY_STATUS_BOOK,25122,920064,20,2,8,count_meas|county|date_col|flag_bool|geom|name_id|origin|rate_meas|severity|state
LIBRARY_RAW,LANDING,XC_MAPPING_POLICE_VIOLENCE,15476,6522368,67,2,0,address|amount|city|count_meas|county|date_col|dest|entity_id|fips|geom|lat|lon|name_id|origin|outcome|person|rate_meas|severity|state|zip
LIBRARY_MARTS,JUSTICE,JUSTICE__XC_MAPPING_POLICE_VIOLENCE,15476,6150656,64,12,1,address|amount|city|count_meas|county|date_col|dest|entity_id|fips|geom|lat|lon|name_id|origin|outcome|person|rate_meas|severity|state|zip
LIBRARY_RAW,LANDING,FED_MAPPING_INEQUALITY,10154,3175424,15,1,0,city|date_col|fips|geom|lat|lon|origin|severity|state
LIBRARY_RAW,LANDING,PORTAL_CKA_WESTERN_PENNSYLV_4E5C66124A,10000,2099712,48,0,0,address|count_meas|date_col|geom|name_id|origin|severity
LIBRARY_RAW,LANDING,PORTAL_CKA_WESTERN_PENNSYLV_E91E8047AA,10000,8944640,9,0,0,geom|origin|severity
LIBRARY_RAW,LANDING,PORTAL_CKA_ANALYZE_BOSTON_BE87D5EA10,10000,721408,15,0,0,geom|origin|severity
LIBRARY_RAW,LANDING,PORTAL_CKA_WPRDC_ALLEGHENY_CC3BD4AFC2,10000,2622976,24,0,0,count_meas|fips|geom|origin
LIBRARY_RAW,LANDING,PORTAL_CKA_VIRGINIA_OPEN_DA_AC3869EE0E,10000,2089472,40,0,0,address|city|count_meas|date_col|geom|name_id|origin|severity|state|zip
LIBRARY_RAW,LANDING,PORTAL_CKA_SAN_JOSE_OPEN_DA_B6D7CBC686,10000,1136640,32,0,0,address|date_col|geom|origin|severity
LIBRARY_RAW,LANDING,PORTAL_CKA_WPRDC_ALLEGHENY_91FAE70B2D,10000,579584,15,0,0,count_meas|geom|origin
LIBRARY_RAW,LANDING,PORTAL_CKA_OPEN_DATA_SA_C7CF87B213,10000,929792,33,0,0,address|date_col|entity_id|geom|name_id|origin|rate_meas|severity
LIBRARY_RAW,LANDING,PORTAL_CKA_OPEN_DATA_SA_E2B711DB0F,10000,706048,21,0,0,amount|date_col|geom|origin|severity
LIBRARY_RAW,LANDING,PORTAL_CKA_SAN_JOSE_OPEN_DA_0D51EC3643,10000,848384,42,0,0,address|date_col|geom|origin|rate_meas|severity
LIBRARY_RAW,LANDING,PORTAL_CKA_WESTERN_PENNSYLV_0AC79B8EBA,10000,579584,15,0,0,count_meas|geom|origin
LIBRARY_RAW,LANDING,PORTAL_CKA_WESTERN_PENNSYLV_68A8A0027A,10000,6266368,15,0,0,geom|origin|severity
LIBRARY_RAW,LANDING,PORTAL_CKA_CALIFORNIA_OPEN_C86733ED60,10000,1078272,34,0,0,entity_id|geom|origin|rate_meas|seq_order|severity
LIBRARY_RAW,LANDING,PORTAL_CKA_WESTERN_PENNSYLV_A3B7349811,10000,2644480,29,0,0,address|count_meas|date_col|dest|entity_id|fips|geom|name_id|origin|outcome|severity
LIBRARY_RAW,LANDING,PORTAL_CKA_SAN_JOSE_OPEN_DA_8AE30C65DE,10000,475136,14,0,0,date_col|geom|origin
LIBRARY_RAW,LANDING,PORTAL_CKA_OPEN_DATA_SA_58B0401C9A,10000,720384,24,0,0,address|date_col|geom|name_id|origin|severity
LIBRARY_RAW,LANDING,PORTAL_CKA_ANALYZE_BOSTON_DD269D0A1D,10000,1135616,39,0,0,address|amount|count_meas|geom|name_id|origin|severity|zip
LIBRARY_RAW,LANDING,PORTAL_CKA_CALIFORNIA_OPEN_F406AAD424,10000,814080,24,0,0,date_col|geom|name_id|origin|state
LIBRARY_RAW,LANDING,PORTAL_CKA_WPRDC_ALLEGHENY_C4D59225CB,10000,2099712,48,0,0,address|count_meas|date_col|geom|name_id|origin|severity
LIBRARY_RAW,LANDING,PORTAL_CKA_WESTERN_PENNSYLV_440A699A5B,10000,4166144,9,0,0,date_col|geom|origin
LIBRARY_RAW,LANDING,PORTAL_CKA_OPEN_DATA_SA_2C667A6FC6,10000,704512,18,0,0,address|geom|name_id|origin|rate_meas|severity
LIBRARY_RAW,LANDING,PORTAL_CKA_WESTERN_PENNSYLV_010A1B6275,10000,4870656,13,0,0,geom|origin
LIBRARY_RAW,LANDING,PORTAL_CKA_OPEN_DATA_SA_1E2348F9B1,10000,686080,10,0,0,geom|origin|severity
LIBRARY_RAW,LANDING,PORTAL_CKA_ANALYZE_BOSTON_D5A9AD584E,10000,1061888,66,0,0,address|amount|city|count_meas|date_col|dest|entity_id|fips|flag_bool|geom|lat|lon|name_id|origin|outcome|rate_meas|severity|zip
LIBRARY_RAW,LANDING,PORTAL_CKA_WPRDC_ALLEGHENY_99DBBB9235,10000,17739264,12,0,0,date_col|geom|origin
LIBRARY_RAW,LANDING,PORTAL_CKA_ANALYZE_BOSTON_BBE261ACCB,10000,1076224,31,0,0,address|date_col|flag_bool|geom|lat|lon|name_id|origin|severity
LIBRARY_RAW,LANDING,PORTAL_CKA_WESTERN_PENNSYLV_EAC54ADE9A,10000,17739264,12,0,0,date_col|geom|origin
