db,schema,table,row_count,bytes,n_cols,n_numeric,n_date,signals
LIBRARY_RAW,LANDING,FED_EPA_ECHO,3157891,429934592,136,1,0,address|amount|city|count_meas|county|date_col|entity_id|fips|flag_bool|lat|lon|naics_sic|name_id|origin|outcome|rate_meas|seq_order|severity|state|zip
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_EPA_ECHO,3135554,172973568,42,15,3,address|amount|city|count_meas|county|date_col|fips|flag_bool|lat|lon|name_id|origin|outcome|rate_meas|severity|state|zip
LIBRARY_MARTS,FINANCE,FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,2823000,274471936,85,10,3,address|amount|city|count_meas|country|county|date_col|entity_id|fips|flag_bool|lat|lon|name_id|origin|severity|state|zip
LIBRARY_RAW,LANDING,FED_FDIC_SOD_BRANCH_DEPOSITS,2823000,276342784,84,0,0,address|amount|city|date_col|entity_id|fips|lat|lon|origin|severity|zip
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_USGS_MINERALS,304632,29943296,57,8,0,amount|count_meas|country|county|date_col|fips|lat|lon|name_id|origin|rate_meas|seq_order|severity|state
LIBRARY_RAW,LANDING,FED_USGS_MINERALS,304632,28020224,60,1,0,amount|count_meas|country|county|date_col|fips|lat|lon|name_id|origin|rate_meas|seq_order|severity|state
LIBRARY_RAW,LANDING,FED_FRA_EQUIPMENT_ACCIDENTS,224941,40760832,158,1,0,amount|count_meas|county|date_col|lat|lon|name_id|origin|outcome|person|rate_meas|severity|state
LIBRARY_MARTS,TRANSPORT,TRANSPORT__FED_FRA_EQUIPMENT_ACCIDENTS,224941,40189952,157,21,2,amount|count_meas|county|date_col|lat|lon|name_id|origin|outcome|person|rate_meas|severity|state
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__EPA_PENALTY_GAP,93808,7621632,29,12,2,amount|city|count_meas|county|date_col|fips|flag_bool|lat|lon|name_id|origin|outcome|rate_meas|severity|state
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_NID_DAMS,92766,6647296,47,11,5,amount|city|count_meas|county|date_col|fips|flag_bool|lat|lon|name_id|origin|rate_meas|seq_order|severity|state
LIBRARY_RAW,LANDING,FED_USACE_NID_DAMS,92766,9795072,87,1,0,amount|city|count_meas|county|date_col|dest|entity_id|fips|flag_bool|lat|lon|name_id|origin|outcome|rate_meas|seq_order|severity|state
LIBRARY_RAW,LANDING,FED_NID_DAMS,92766,8111616,87,1,0,amount|city|count_meas|county|date_col|dest|entity_id|fips|flag_bool|lat|lon|name_id|origin|outcome|rate_meas|seq_order|severity|state
LIBRARY_MARTS,HOUSING,HOUSING__FED_HUD_ASSISTED_HOUSING_PROJECTS,35601,5479936,94,16,1,address|amount|city|count_meas|date_col|entity_id|fips|lat|lon|name_id|origin|person|rate_meas|severity|state|zip
LIBRARY_RAW,LANDING,FED_HUD_ASSISTED_HOUSING_PROJECTS,35601,6021120,95,1,0,address|amount|city|count_meas|date_col|entity_id|fips|lat|lon|name_id|origin|person|rate_meas|severity|state|zip
LIBRARY_RAW,LANDING,FED_FDIC_BANK_DATA,27836,6981632,164,0,0,address|amount|city|count_meas|county|date_col|entity_id|fips|lat|lon|name_id|origin|severity|zip
LIBRARY_MARTS,FINANCE,FINANCE__FED_FDIC_BANK_DATA,27836,3446784,48,8,7,address|amount|city|count_meas|county|date_col|entity_id|fips|lat|lon|name_id|origin|severity|zip
LIBRARY_RAW,LANDING,XC_MAPPING_POLICE_VIOLENCE,15476,6522368,67,2,0,address|amount|city|count_meas|county|date_col|dest|entity_id|fips|geom|lat|lon|name_id|origin|outcome|person|rate_meas|severity|state|zip
LIBRARY_MARTS,JUSTICE,JUSTICE__XC_MAPPING_POLICE_VIOLENCE,15476,6150656,64,12,1,address|amount|city|count_meas|county|date_col|dest|entity_id|fips|geom|lat|lon|name_id|origin|outcome|person|rate_meas|severity|state|zip
LIBRARY_RAW,LANDING,FED_NURSINGHOME411,14713,3770880,74,1,0,address|amount|city|count_meas|county|date_col|dest|entity_id|lat|lon|naics_sic|name_id|origin|outcome|person|rate_meas|severity|state
