db,schema,table,row_count,bytes,n_cols,n_numeric,n_date,signals
LIBRARY_RAW,LANDING,FED_FRACFOCUS_REGISTRY,7200550,350304768,34,0,0,count_meas|date_col|lat|lon|origin|outcome|rate_meas|seq_order
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_FRACFOCUS_REGISTRY,7200550,480380928,35,8,2,count_meas|county|date_col|lat|lon|name_id|origin|outcome|rate_meas|seq_order|state
LIBRARY_RAW,LANDING,FED_EPA_ECHO,3157891,429934592,136,1,0,address|amount|city|count_meas|county|date_col|entity_id|fips|flag_bool|lat|lon|naics_sic|name_id|origin|outcome|rate_meas|seq_order|severity|state|zip
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_EPA_ECHO,3135554,172973568,42,15,3,address|amount|city|count_meas|county|date_col|fips|flag_bool|lat|lon|name_id|origin|outcome|rate_meas|severity|state|zip
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_NOAA_STORM_EVENTS,1780730,152641536,51,7,2,date_col|fips|lat|lon|name_id|outcome|severity|state
LIBRARY_RAW,LANDING,FED_NOAA_STORM_EVENTS,1780730,173822464,54,1,0,date_col|fips|lat|lon|name_id|origin|outcome|severity|state
LIBRARY_RAW,LANDING,FED_EPA_RCRA_FACILITIES,1613224,66983424,18,1,0,address|city|lat|lon|name_id|origin|outcome|severity|state|zip
LIBRARY_RAW,LANDING,FED_EPA_RCRA_RCRA_FACILITIES,1613224,67087872,18,1,0,address|city|lat|lon|name_id|origin|outcome|severity|state|zip
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_EPA_RCRA_FACILITIES,1613224,86393344,15,3,0,address|city|lat|lon|name_id|origin|outcome|severity|state|zip
LIBRARY_RAW,LANDING,FED_FRA_CASUALTIES,1150788,78520320,73,1,0,count_meas|county|date_col|lat|lon|naics_sic|name_id|origin|outcome|person|severity|state
LIBRARY_MARTS,TRANSPORT,TRANSPORT__FED_FRA_CASUALTIES,1150788,68523008,72,8,2,count_meas|county|date_col|lat|lon|naics_sic|name_id|origin|outcome|person|severity|state
LIBRARY_RAW,LANDING,INTL_UCDP_GED,385918,36304384,52,1,0,count_meas|country|date_col|dest|geom|lat|lon|name_id|origin|outcome|severity
