db,schema,table,row_count,bytes,n_cols,n_numeric,n_date,signals
LIBRARY_RAW,LANDING,FED_COURTLISTENER_DOCKETS,71677647,6832513024,57,0,1,amount|count_meas|date_col|dest|entity_id|name_id|origin|rate_meas|severity
LIBRARY_RAW,LANDING,FED_FEMA_IA_HOUSING_REGISTRATIONS,21730000,1746891264,103,0,0,amount|count_meas|county|date_col|dest|entity_id|fips|origin|person|rate_meas|severity
LIBRARY_RAW,LANDING,FED_USASPENDING_CONTRACTS_FULL,20000000,5998015488,300,0,1,address|amount|city|count_meas|country|county|date_col|dest|entity_id|fips|flag_bool|naics_sic|name_id|origin|outcome|person|rate_meas|seq_order|severity|state|zip
LIBRARY_RAW,LANDING,FED_USASPENDING_ASSISTANCE_FULL,19902879,3716252672,115,0,1,address|amount|city|count_meas|country|county|date_col|dest|entity_id|fips|flag_bool|name_id|origin|person|rate_meas|severity|state|zip
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,19902879,3755515904,112,0,0,address|amount|city|count_meas|country|county|date_col|dest|entity_id|fips|flag_bool|name_id|origin|person|rate_meas|severity|state|zip
LIBRARY_RAW,LANDING,FED_CFPB_HMDA_HISTORIC,19136434,1012290048,81,6,1,amount|count_meas|county|date_col|dest|fips|flag_bool|name_id|origin|outcome|rate_meas|seq_order|severity|state
LIBRARY_MARTS,HOUSING,HOUSING__FED_CFPB_HMDA_HISTORIC,19136434,1297847296,82,9,1,amount|count_meas|county|date_col|dest|fips|flag_bool|name_id|origin|outcome|rate_meas|seq_order|severity|state
LIBRARY_RAW,RETIRED,FED_CMS_OPEN_PAYMENTS_GNRL,15397627,1029318144,94,0,1,address|amount|city|count_meas|country|date_col|dest|entity_id|flag_bool|naics_sic|name_id|origin|person|severity|state|zip
LIBRARY_RAW,LANDING,FED_CMS_OPEN_PAYMENTS,15385047,699111936,94,1,0,address|amount|city|count_meas|country|date_col|dest|entity_id|flag_bool|naics_sic|name_id|origin|person|severity|state|zip
LIBRARY_RAW,LANDING,FED_CMS_OPEN_PAYMENTS_2023,14700786,698590208,94,1,0,address|amount|city|count_meas|country|date_col|dest|entity_id|flag_bool|naics_sic|name_id|origin|person|severity|state|zip
LIBRARY_RAW,LANDING,FED_CMS_OPEN_PAYMENTS_2022,13250000,612150272,94,1,0,address|amount|city|count_meas|country|date_col|dest|entity_id|flag_bool|naics_sic|name_id|origin|person|severity|state|zip
LIBRARY_RAW,LANDING,FED_CMS_NPPES,9606683,1332882432,333,1,0,address|city|count_meas|country|date_col|entity_id|flag_bool|name_id|origin|person|rate_meas|severity|state|zip
LIBRARY_MARTS,HEALTH,HEALTH__FED_CMS_NPPES,9606683,1511160320,333,1,5,address|city|count_meas|country|date_col|entity_id|flag_bool|name_id|origin|person|rate_meas|severity|state|zip
LIBRARY_RAW,LANDING,FED_FJC_IDB_BANKRUPTCY,6965441,583996928,90,1,0,date_col|entity_id|origin|rate_meas|seq_order
LIBRARY_MARTS,JUSTICE,JUSTICE__FED_FJC_IDB_BANKRUPTCY,6965441,636103680,90,13,7,amount|count_meas|county|date_col|dest|entity_id|flag_bool|origin|person|rate_meas|seq_order|severity|zip
LIBRARY_MARTS,JUSTICE,JUSTICE__FED_FJC_IDB_CRIMINAL,6299908,708083200,147,9,9,amount|count_meas|county|date_col|entity_id|name_id|origin|rate_meas|seq_order|severity
LIBRARY_RAW,LANDING,FED_FJC_IDB_CRIMINAL,6299908,453715456,147,1,0,amount|count_meas|county|date_col|entity_id|name_id|origin|seq_order|severity
LIBRARY_RAW,LANDING,INT_UK_COMPANIES_HOUSE,5734780,408474112,58,0,1,address|amount|count_meas|date_col|naics_sic|origin|rate_meas|severity
LIBRARY_MARTS,_RESTORE_20260731,UNCATEGORIZED__INT_UK_COMPANIES_HOUSE,5734780,360164352,55,9,0,address|amount|city|count_meas|country|county|date_col|naics_sic|name_id|origin|rate_meas|severity
LIBRARY_MARTS,ECONOMICS,ECONOMICS__INTL_GLEIF,3382301,659164160,338,0,0,address|city|count_meas|country|date_col|entity_id|rate_meas|seq_order|severity|zip
LIBRARY_RAW,LANDING,INTL_GLEIF,3382301,664928256,341,0,1,address|count_meas|date_col|entity_id|origin|rate_meas|seq_order|severity
LIBRARY_RAW,LANDING,FED_EPA_ECHO,3157891,429934592,136,1,0,address|amount|city|count_meas|county|date_col|entity_id|fips|flag_bool|lat|lon|naics_sic|name_id|origin|outcome|rate_meas|seq_order|severity|state|zip
LIBRARY_RAW,LANDING,FED_MSHA_VIOLATIONS,3087266,180746752,64,0,1,amount|date_col|dest|entity_id|fips|name_id|origin|outcome|rate_meas|seq_order|severity
LIBRARY_MARTS,_RESTORE_20260731,JUSTICE__FED_MSHA_VIOLATIONS,3087266,135425536,61,14,0,amount|date_col|dest|entity_id|fips|name_id|outcome|rate_meas|seq_order|severity
LIBRARY_MARTS,HOUSING,HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS,3080000,179345920,103,31,3,amount|city|count_meas|county|date_col|dest|fips|origin|person|rate_meas|severity|state|zip
LIBRARY_RAW,LANDING,FED_FDIC_SOD_BRANCH_DEPOSITS,2823000,276342784,84,0,0,address|amount|city|date_col|entity_id|fips|lat|lon|origin|severity|zip
LIBRARY_MARTS,FINANCE,FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,2823000,274471936,85,10,3,address|amount|city|count_meas|country|county|date_col|entity_id|fips|flag_bool|lat|lon|name_id|origin|severity|state|zip
LIBRARY_RAW,LANDING,FED_ICE_DETENTION_STINTS,2617844,337355264,71,1,0,amount|city|count_meas|country|county|date_col|origin|seq_order|severity|state
LIBRARY_MARTS,IMMIGRATION,IMMIGRATION__FED_ICE_DETENTION_STINTS,2571975,314205696,70,8,15,amount|city|count_meas|country|county|date_col|origin|person|seq_order|severity|state
LIBRARY_MARTS,_RESTORE_20260731,TRANSPORT__FED_NHTSA_COMPLAINTS,2227941,493710848,51,0,0,
LIBRARY_RAW,LANDING,FED_NHTSA_COMPLAINTS,2227941,493518848,54,0,1,origin
