db,schema,table,column,dtype,row_count
LIBRARY_MARTS,CONSUMER_SAFETY,CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS,CITY,TEXT,2227941
LIBRARY_MARTS,CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_IRS_EO_BMF,CITY,TEXT,1983563
LIBRARY_MARTS,CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_UK_COMPANIES_HOUSE,POST_TOWN,TEXT,5734780
LIBRARY_MARTS,CORPORATE_REGISTRY,CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC,ADDRESS_LOCALITY,TEXT,7000000
LIBRARY_MARTS,CRIMINAL_JUSTICE,CRIMINAL_JUSTICE__FED_BJS_DATA,LOCALITY,TEXT,1000
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_DOL_FORM5500,ADMIN_FOREIGN_CITY,TEXT,33484
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_DOL_FORM5500,ADMIN_US_CITY,TEXT,33484
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PREPARER_FOREIGN_CITY,TEXT,33484
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PREPARER_US_CITY,TEXT,33484
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_LOC_FOREIGN_CITY,TEXT,33484
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_LOC_US_CITY,TEXT,33484
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_MAIL_FOREIGN_CITY,TEXT,33484
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_MAIL_US_CITY,TEXT,33484
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_FAC_SINGLE_AUDIT,AUDITEE_CITY,TEXT,411638
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_FAC_SINGLE_AUDIT,AUDITOR_CITY,TEXT,411638
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_FDIC_FAILED_BANKS,CITY,TEXT,3584
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_FDIC_FAILED_BANKS,CITY_STATE,TEXT,3584
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_IRS_AUTO_REVOCATIONS,CITY,TEXT,1207295
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_IRS_BMF,CITY,TEXT,1974830
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_IRS_EO_PR,CITY,TEXT,2587
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_IRS_PUB78_ELIGIBLE_DONEES,CITY,TEXT,1435544
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_IRS_REVOCATION,CITY,TEXT,1187367
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_IRS_SOI_CHARITIES,CITY,TEXT,2450
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_SBA_LOANS,BORROWER_CITY,TEXT,2174502
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_SBA_PPP,BORROWER_CITY,TEXT,968524
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,PRIMARY_PLACE_OF_PERFORMANCE_CITY_NAME,TEXT,19902879
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_CITY_CODE,TEXT,19902879
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_CITY_NAME,TEXT,19902879
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_FOREIGN_CITY_NAME,TEXT,19902879
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,PRIMARY_PLACE_OF_PERFORMANCE_CITY_NAME,TEXT,6325622
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,RECIPIENT_CITY_NAME,TEXT,6325622
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,CITY_LOCAL_GOVERNMENT,TEXT,
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,MUNICIPALITY_LOCAL_GOVERNMENT,TEXT,
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,PRIMARY_PLACE_OF_PERFORMANCE_CITY_NAME,TEXT,
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_CITY_NAME,TEXT,
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_US_USASPENDING_API,PLACE_OF_PERFORMANCE_CITY,TEXT,300
LIBRARY_MARTS,ECONOMICS,ECONOMICS__INTL_GLEIF,ENTITY_HEADQUARTERSADDRESS_CITY,TEXT,3382301
LIBRARY_MARTS,ECONOMICS,ECONOMICS__INTL_GLEIF,ENTITY_LEGALADDRESS_CITY,TEXT,3382301
