db,schema,table,column,dtype,row_count
LIBRARY_RAW,LANDING,CA_LOBBY_COVER,REPORT_NUM,TEXT,568988
LIBRARY_RAW,LANDING,CA_LOBBY_EMPLOYER,EMPLOYER_ID,TEXT,1730
LIBRARY_RAW,LANDING,CA_LOBBY_EMPLOYER,EMPLOYER_NAME,TEXT,1730
LIBRARY_RAW,LANDING,CA_LOBBY_EMPLOYER,SESSION_TOTAL_AMT,TEXT,1730
LIBRARY_RAW,LANDING,CA_LOBBY_EMPLOYER_FIRMS,EMPLOYER_ID,TEXT,524
LIBRARY_RAW,LANDING,CA_LOBBY_EMP_LOBBYIST,EMPLOYER_ID,TEXT,1500
LIBRARY_RAW,LANDING,CA_LOBBY_EMP_LOBBYIST,EMPLOYER_NAME,TEXT,1500
LIBRARY_RAW,LANDING,CA_LOBBY_FIRM,SESSION_TOTAL_AMT,TEXT,256
LIBRARY_RAW,LANDING,CA_LOBBY_FIRM_EMPLOYER,EMPLOYER_NAME,TEXT,170
LIBRARY_RAW,LANDING,FED_ATF_FFL,COUNTRY,TEXT,77514
LIBRARY_RAW,LANDING,FED_ATF_FFL,IN_COUNTRYCODE,TEXT,77514
LIBRARY_RAW,LANDING,FED_ATF_FFL_LOCATIONS,ATTRIBUTES_COUNTRY,TEXT,2000
LIBRARY_RAW,LANDING,FED_ATF_FFL_LOCATIONS,ATTRIBUTES_IN_COUNTRYCODE,NUMBER,2000
LIBRARY_RAW,LANDING,FED_BLS_QCEW,LQ_TOTAL_ANNUAL_WAGES,TEXT,3619437
LIBRARY_RAW,LANDING,FED_BLS_QCEW,OTY_TOTAL_ANNUAL_WAGES_CHG,TEXT,3619437
LIBRARY_RAW,LANDING,FED_BLS_QCEW,OTY_TOTAL_ANNUAL_WAGES_PCT_CHG,TEXT,3619437
LIBRARY_RAW,LANDING,FED_BLS_QCEW,TOTAL_ANNUAL_WAGES,TEXT,3619437
LIBRARY_RAW,LANDING,FED_CDC_DATA_PORTAL_FULL,RESOURCE_DOWNLOAD_COUNT,TEXT,1471
LIBRARY_RAW,LANDING,FED_CDC_DRUG_POISONING_COUNTY,COUNTY,TEXT,53387
LIBRARY_RAW,LANDING,FED_CDC_INJURY_VIOLENCE_COUNTY,COUNT_SUP,TEXT,132000
LIBRARY_RAW,LANDING,FED_CDC_SUICIDE_RATES,AGE_NUM,TEXT,6390
LIBRARY_RAW,LANDING,FED_CDC_SUICIDE_RATES,STUB_LABEL_NUM,TEXT,6390
LIBRARY_RAW,LANDING,FED_CDC_SUICIDE_RATES,STUB_NAME_NUM,TEXT,6390
LIBRARY_RAW,LANDING,FED_CDC_SUICIDE_RATES,UNIT_NUM,TEXT,6390
LIBRARY_RAW,LANDING,FED_CDC_SUICIDE_RATES,YEAR_NUM,TEXT,6390
