db,schema,table,column,dtype,row_count
LIBRARY_MARTS,CORE,DIM_COUNTY,POP_CENTER_LAT,FLOAT,3222
LIBRARY_MARTS,CORE,DIM_TRACT,POP_CENTER_LAT,FLOAT,85391
LIBRARY_MARTS,EDUCATION,EDUCATION__FED_ED_COLLEGE_SCORECARD_INSTITUTION,LATITUDE,FLOAT,6273
LIBRARY_MARTS,ENERGY,ENERGY__FED_EIA860_2_PLANT,LATITUDE,NUMBER,16132
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__EPA_PENALTY_GAP,LATITUDE,FLOAT,93808
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_EPA_AQS_SITES,LATITUDE,NUMBER,20994
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_EPA_ECHO,LATITUDE,FLOAT,3135554
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_EPA_EGRID_PLANT_2022,PLANT_LATITUDE,FLOAT,11974
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_EPA_ENVIROFACTS,LATITUDE,TEXT,5000
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_EPA_FRS_FACILITIES,LATITUDE,FLOAT,5300149
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_EPA_FRS_FRS_FACILITIES,LATITUDE_MEASURE,NUMBER,3277557
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_EPA_GHGRP_FACILITY,LATITUDE,NUMBER,136005
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_EPA_NPDES_ICIS_FACILITIES,GEOCODE_LATITUDE,FLOAT,1213737
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_EPA_RCRA_FACILITIES,LATITUDE83,NUMBER,1613224
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_EPA_TRI_BASIC_2023,C_12_LATITUDE,FLOAT,78647
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_EPA_TRI_FACILITY,FAC_LATITUDE,NUMBER,64990
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_EPA_TRI_FACILITY,PREF_LATITUDE,NUMBER,64990
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_FRACFOCUS_DISCLOSURE_LIST,LATITUDE,NUMBER,248835
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_FRACFOCUS_REGISTRY,LATITUDE,NUMBER,7200550
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_NID_DAMS,LATITUDE,FLOAT,92766
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_NOAA_STORM_EVENTS,BEGIN_LAT,FLOAT,1780730
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_NOAA_STORM_EVENTS,END_LAT,FLOAT,1780730
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_NOAA_WEATHER_API,LATITUDE,FLOAT,287
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_PHMSA_FLAGGED_INCIDENTS,LOCATION_LATITUDE,NUMBER,2039
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_USGS_MINERALS,LATITUDE,FLOAT,304632
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_USGS_ORPHANED_OIL_GAS_WELLS,LATITUDE,NUMBER,117672
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_USGS_WATER,LATITUDE,FLOAT,6694816
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__FED_WQP_MONITORING_STATIONS,LATITUDE,NUMBER,5818
LIBRARY_MARTS,ENVIRONMENT,ENVIRONMENT__INTL_GEM_HAZARD,LATITUDE,FLOAT,12
LIBRARY_MARTS,FINANCE,FINANCE__FED_FDIC_BANK_DATA,LATITUDE,NUMBER,27836
LIBRARY_MARTS,FINANCE,FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,SIMS_LATITUDE,FLOAT,2823000
LIBRARY_MARTS,HEALTH,HEALTH__FED_CMS_NURSING_HOME,LATITUDE,FLOAT,14700
LIBRARY_MARTS,HEALTH,HEALTH__FED_HRSA_HPSA_PRIMARY_CARE,LATITUDE,NUMBER,79158
LIBRARY_MARTS,HEALTH,HEALTH__FED_HRSA_SHORTAGE_AREAS,LATITUDE,FLOAT,165531
LIBRARY_MARTS,HEALTH,HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES,LATITUDE,NUMBER,19038
LIBRARY_MARTS,HEALTH,HEALTH__FED_IHS_FACILITIES,LATITUDE,NUMBER,1006
LIBRARY_MARTS,HEALTH,HEALTH__FED_NURSINGHOME411,LATITUDE,FLOAT,14713
LIBRARY_MARTS,HOUSING,HOUSING__FED_HUD_ASSISTED_HOUSING_PROJECTS,LATITUDE,NUMBER,35601
LIBRARY_MARTS,HOUSING,HOUSING__FED_HUD_PUBLIC_HOUSING_AUTHORITIES,LATITUDE,NUMBER,3787
LIBRARY_MARTS,HOUSING,HOUSING__FED_MAPPING_INEQUALITY,LAT,FLOAT,1155
LIBRARY_MARTS,HOUSING,HOUSING__FED_USDA_RD_MFH_ACTIVE_PROJECTS,LATITUDE,NUMBER,13550
LIBRARY_MARTS,IMMIGRATION,IMMIGRATION__FED_ICE_DETENTION_FACILITY_CODES,LATITUDE,NUMBER,1490
LIBRARY_MARTS,JUSTICE,JUSTICE__FED_ATF_FFL,LATITUDE,FLOAT,77514
LIBRARY_MARTS,JUSTICE,JUSTICE__INTL_NTI_CNS_DPRK_MISSILE_TESTS,FACILITY_LATITUDE,FLOAT,303
LIBRARY_MARTS,JUSTICE,JUSTICE__INTL_UCDP_GED,LATITUDE,FLOAT,385918
LIBRARY_MARTS,JUSTICE,JUSTICE__XC_MAPPING_POLICE_VIOLENCE,LATITUDE,FLOAT,15476
LIBRARY_MARTS,JUSTICE,JUSTICE__XC_WAPO_FATAL_FORCE,LATITUDE,FLOAT,10430
LIBRARY_MARTS,LABOR,LABOR__FED_MSHA_MINES,LATITUDE,FLOAT,91906
LIBRARY_MARTS,MARITIME,MARITIME__FED_NOAA_AIS,LATITUDE,FLOAT,58104610
LIBRARY_MARTS,REFERENCE,REFERENCE__FED_DHS_HIFLD,LATITUDE,NUMBER,500
LIBRARY_MARTS,REFERENCE,REFERENCE__INTL_GDELT,ACTIONGEO_LAT,FLOAT,1015
LIBRARY_MARTS,REFERENCE,REFERENCE__INTL_GDELT,ACTOR1GEO_LAT,FLOAT,1015
LIBRARY_MARTS,REFERENCE,REFERENCE__INTL_GDELT,ACTOR2GEO_LAT,FLOAT,1015
LIBRARY_MARTS,REFERENCE,REFERENCE__XC_ROR_RESEARCH_ORGANIZATIONS,LATITUDE,FLOAT,135710
LIBRARY_MARTS,REFERENCE,REF__DIM_GEOGRAPHY,CENTROID_LATITUDE,FLOAT,6988
LIBRARY_MARTS,SCIENCE,SCIENCE__FED_USGS_EARTHQUAKES,LATITUDE,FLOAT,443274
LIBRARY_MARTS,TIMELINE,ENVIRONMENT__EPA_PENALTY_GAP,LATITUDE,FLOAT,
LIBRARY_MARTS,TIMELINE,ENVIRONMENT__FED_EPA_AQS_SITES,LATITUDE,NUMBER,
LIBRARY_MARTS,TIMELINE,ENVIRONMENT__FED_EPA_ECHO,LATITUDE,FLOAT,
LIBRARY_MARTS,TIMELINE,ENVIRONMENT__FED_EPA_EGRID_PLANT_2022,PLANT_LATITUDE,FLOAT,
LIBRARY_MARTS,TIMELINE,ENVIRONMENT__FED_EPA_GHGRP_FACILITY,LATITUDE,NUMBER,
LIBRARY_MARTS,TIMELINE,ENVIRONMENT__FED_EPA_TRI_BASIC_2023,C_12_LATITUDE,FLOAT,
LIBRARY_MARTS,TIMELINE,ENVIRONMENT__FED_NID_DAMS,LATITUDE,FLOAT,
LIBRARY_MARTS,TIMELINE,ENVIRONMENT__FED_NOAA_STORM_EVENTS,BEGIN_LAT,FLOAT,
LIBRARY_MARTS,TIMELINE,ENVIRONMENT__FED_NOAA_STORM_EVENTS,END_LAT,FLOAT,
LIBRARY_MARTS,TIMELINE,ENVIRONMENT__FED_NOAA_WEATHER_API,LATITUDE,FLOAT,
LIBRARY_MARTS,TIMELINE,ENVIRONMENT__FED_PHMSA_FLAGGED_INCIDENTS,LOCATION_LATITUDE,NUMBER,
LIBRARY_MARTS,TIMELINE,ENVIRONMENT__FED_USGS_MINERALS,LATITUDE,FLOAT,
LIBRARY_MARTS,TIMELINE,ENVIRONMENT__FED_USGS_ORPHANED_OIL_GAS_WELLS,LATITUDE,NUMBER,
LIBRARY_MARTS,TIMELINE,ENVIRONMENT__FED_USGS_WATER,LATITUDE,FLOAT,
LIBRARY_MARTS,TIMELINE,ENVIRONMENT__FED_WQP_MONITORING_STATIONS,LATITUDE,NUMBER,
LIBRARY_MARTS,TIMELINE,FINANCE__FED_FDIC_BANK_DATA,LATITUDE,NUMBER,
LIBRARY_MARTS,TIMELINE,FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,SIMS_LATITUDE,FLOAT,
LIBRARY_MARTS,TIMELINE,HEALTH__FED_HRSA_HPSA_PRIMARY_CARE,LATITUDE,NUMBER,
LIBRARY_MARTS,TIMELINE,HEALTH__FED_HRSA_SHORTAGE_AREAS,LATITUDE,FLOAT,
LIBRARY_MARTS,TIMELINE,HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES,LATITUDE,NUMBER,
LIBRARY_MARTS,TIMELINE,HEALTH__FED_NURSINGHOME411,LATITUDE,FLOAT,
LIBRARY_MARTS,TIMELINE,JUSTICE__INTL_NTI_CNS_DPRK_MISSILE_TESTS,FACILITY_LATITUDE,FLOAT,
LIBRARY_MARTS,TIMELINE,JUSTICE__INTL_UCDP_GED,LATITUDE,FLOAT,
LIBRARY_MARTS,TIMELINE,JUSTICE__XC_MAPPING_POLICE_VIOLENCE,LATITUDE,FLOAT,
LIBRARY_MARTS,TIMELINE,JUSTICE__XC_WAPO_FATAL_FORCE,LATITUDE,FLOAT,
LIBRARY_MARTS,TIMELINE,LABOR__FED_MSHA_MINES,LATITUDE,FLOAT,
LIBRARY_MARTS,TIMELINE,MARITIME__FED_NOAA_AIS,LATITUDE,FLOAT,
LIBRARY_MARTS,TIMELINE,REFERENCE__FED_DHS_HIFLD,LATITUDE,NUMBER,
LIBRARY_MARTS,TIMELINE,REFERENCE__INTL_GDELT,ACTIONGEO_LAT,FLOAT,
LIBRARY_MARTS,TIMELINE,REFERENCE__INTL_GDELT,ACTOR1GEO_LAT,FLOAT,
LIBRARY_MARTS,TIMELINE,REFERENCE__INTL_GDELT,ACTOR2GEO_LAT,FLOAT,
LIBRARY_MARTS,TIMELINE,REFERENCE__XC_ROR_RESEARCH_ORGANIZATIONS,LATITUDE,FLOAT,
LIBRARY_MARTS,TIMELINE,SCIENCE__FED_USGS_EARTHQUAKES,LATITUDE,FLOAT,
LIBRARY_MARTS,TIMELINE,TRANSPORT__FED_FRA_CASUALTIES,LATITUDE,FLOAT,
LIBRARY_MARTS,TIMELINE,TRANSPORT__FED_FRA_EQUIPMENT_ACCIDENTS,LATITUDE,FLOAT,
LIBRARY_MARTS,TIMELINE,TRANSPORT__FED_NTSB_AVIATION_EVENTS,DEC_LATITUDE,NUMBER,
LIBRARY_MARTS,TIMELINE,TRANSPORT__FED_NTSB_AVIATION_EVENTS,LATITUDE,TEXT,
LIBRARY_MARTS,TRANSPORT,TRANSPORT__FED_FAA_DATA_PORTAL,LAT,FLOAT,3
LIBRARY_MARTS,TRANSPORT,TRANSPORT__FED_FRA_CASUALTIES,LATITUDE,FLOAT,1150788
LIBRARY_MARTS,TRANSPORT,TRANSPORT__FED_FRA_EQUIPMENT_ACCIDENTS,LATITUDE,FLOAT,224941
LIBRARY_MARTS,TRANSPORT,TRANSPORT__FED_NTSB_AVIATION_EVENTS,DEC_LATITUDE,NUMBER,30968
LIBRARY_MARTS,TRANSPORT,TRANSPORT__FED_NTSB_AVIATION_EVENTS,LATITUDE,TEXT,30968
LIBRARY_MARTS,_RESTORE_20260731,JUSTICE__FED_MSHA_MINES,LATITUDE,FLOAT,91906
LIBRARY_MARTS,_RESTORE_20260731,UNCATEGORIZED__FED_EPA_FRS_FULL,LATITUDE83,FLOAT,5300149
LIBRARY_RAW,LANDING,FED_CMS_NURSING_HOME,LATITUDE,TEXT,14700
LIBRARY_RAW,LANDING,FED_DHS_HIFLD,LATITUDE,TEXT,500
LIBRARY_RAW,LANDING,FED_ED_COLLEGE_SCORECARD_INSTITUTION,LATITUDE,TEXT,6273
LIBRARY_RAW,LANDING,FED_EIA860_2_PLANT,LATITUDE,TEXT,16132
LIBRARY_RAW,LANDING,FED_EPA_AQS_SITES,LATITUDE,TEXT,20994
LIBRARY_RAW,LANDING,FED_EPA_ECHO,FAC_LAT,TEXT,3157891
LIBRARY_RAW,LANDING,FED_EPA_EGRID_PLANT_2022,PLANT_LATITUDE,TEXT,11974
LIBRARY_RAW,LANDING,FED_EPA_ENVIROFACTS,LATITUDE,TEXT,5000
LIBRARY_RAW,LANDING,FED_EPA_FRS_FRS_FACILITIES,LATITUDE_MEASURE,TEXT,3277557
LIBRARY_RAW,LANDING,FED_EPA_FRS_FULL,LATITUDE83,TEXT,5300149
LIBRARY_RAW,LANDING,FED_EPA_GHGRP_FACILITY,LATITUDE,TEXT,136005
LIBRARY_RAW,LANDING,FED_EPA_NPDES_ICIS_FACILITIES,GEOCODE_LATITUDE,TEXT,1213737
LIBRARY_RAW,LANDING,FED_EPA_RCRA_FACILITIES,LATITUDE83,TEXT,1613224
LIBRARY_RAW,LANDING,FED_EPA_RCRA_RCRA_FACILITIES,LATITUDE83,TEXT,1613224
LIBRARY_RAW,LANDING,FED_EPA_TRI_BASIC_2023,C_12_LATITUDE,TEXT,78647
LIBRARY_RAW,LANDING,FED_EPA_TRI_FACILITY,FAC_LATITUDE,TEXT,64990
LIBRARY_RAW,LANDING,FED_EPA_TRI_FACILITY,PREF_LATITUDE,TEXT,64990
LIBRARY_RAW,LANDING,FED_FAA_DATA_PORTAL,LAT,TEXT,4
LIBRARY_RAW,LANDING,FED_FDIC_BANK_DATA,LATITUDE,TEXT,27836
LIBRARY_RAW,LANDING,FED_FDIC_SOD_BRANCH_DEPOSITS,SIMS_LATITUDE,TEXT,2823000
LIBRARY_RAW,LANDING,FED_FRACFOCUS_DISCLOSURE_LIST,LATITUDE,TEXT,248835
LIBRARY_RAW,LANDING,FED_FRACFOCUS_REGISTRY,LATITUDE,TEXT,7200550
LIBRARY_RAW,LANDING,FED_FRA_CASUALTIES,LATITUDE,TEXT,1150788
LIBRARY_RAW,LANDING,FED_FRA_EQUIPMENT_ACCIDENTS,LATITUDE,TEXT,224941
LIBRARY_RAW,LANDING,FED_HRSA_HPSA_PRIMARY_CARE,LATITUDE,TEXT,79158
LIBRARY_RAW,LANDING,FED_HRSA_SHORTAGE_AREAS,LATITUDE,TEXT,165531
LIBRARY_RAW,LANDING,FED_HUD_ASSISTED_HOUSING_PROJECTS,LATITUDE,TEXT,35601
LIBRARY_RAW,LANDING,FED_HUD_PUBLIC_HOUSING_AUTHORITIES,LAT,TEXT,3787
LIBRARY_RAW,LANDING,FED_ICE_DETENTION_FACILITY_CODES,LATITUDE,TEXT,1490
LIBRARY_RAW,LANDING,FED_MAPPING_INEQUALITY,LAT,TEXT,10154
LIBRARY_RAW,LANDING,FED_MSHA_MINES,LATITUDE,TEXT,91906
LIBRARY_RAW,LANDING,FED_NID_DAMS,LATITUDE,TEXT,92766
LIBRARY_RAW,LANDING,FED_NOAA_AIS,LAT,TEXT,58106517
LIBRARY_RAW,LANDING,FED_NOAA_STORM_EVENTS,BEGIN_LAT,TEXT,1780730
LIBRARY_RAW,LANDING,FED_NOAA_STORM_EVENTS,END_LAT,TEXT,1780730
LIBRARY_RAW,LANDING,FED_NOAA_WEATHER_API,LATITUDE,TEXT,287
LIBRARY_RAW,LANDING,FED_NTSB_AVIATION_EVENTS,DEC_LATITUDE,TEXT,30968
LIBRARY_RAW,LANDING,FED_NTSB_AVIATION_EVENTS,LATITUDE,TEXT,30968
LIBRARY_RAW,LANDING,FED_NURSINGHOME411,LATITUDE,TEXT,14713
LIBRARY_RAW,LANDING,FED_PHMSA_FLAGGED_INCIDENTS,LOCATION_LATITUDE,TEXT,2039
LIBRARY_RAW,LANDING,FED_USACE_NID_DAMS,LATITUDE,TEXT,92766
LIBRARY_RAW,LANDING,FED_USDA_RD_MFH_ACTIVE_PROJECTS,LATITUDE,TEXT,13550
LIBRARY_RAW,LANDING,FED_USGS_EARTHQUAKES,LATITUDE,TEXT,443274
LIBRARY_RAW,LANDING,FED_USGS_MINERALS,LATITUDE,TEXT,304632
LIBRARY_RAW,LANDING,FED_USGS_ORPHANED_OIL_GAS_WELLS,LATITUDE,TEXT,117672
LIBRARY_RAW,LANDING,FED_USGS_WATER,LATITUDE,TEXT,6694816
LIBRARY_RAW,LANDING,INTL_GDELT,ACTIONGEO_LAT,TEXT,1015
LIBRARY_RAW,LANDING,INTL_GDELT,ACTOR1GEO_LAT,TEXT,1015
LIBRARY_RAW,LANDING,INTL_GDELT,ACTOR2GEO_LAT,TEXT,1015
LIBRARY_RAW,LANDING,INTL_GEM_HAZARD,LATITUDE,TEXT,12
LIBRARY_RAW,LANDING,INTL_NTI_CNS_DPRK_MISSILE_TESTS,FACILITY_LATITUDE,TEXT,303
LIBRARY_RAW,LANDING,INTL_UCDP_GED,LATITUDE,TEXT,385918
LIBRARY_RAW,LANDING,PORTAL_ARC_ATLANTA_DATAATLA_03DC194F2A,LATITUDE,TEXT,130
LIBRARY_RAW,LANDING,PORTAL_ARC_ATLANTA_DATAATLA_1A7F4ADC21,LATITUDE,TEXT,144
LIBRARY_RAW,LANDING,PORTAL_ARC_ATLANTA_DATAATLA_3E6E5804C7,LATITUDE,TEXT,5000
LIBRARY_RAW,LANDING,PORTAL_ARC_ATLANTA_DATAATLA_3F5DA71919,LATITUDE,TEXT,58
LIBRARY_RAW,LANDING,PORTAL_ARC_ATLANTA_DATAATLA_4AB9F9E31E,LATITUDE,TEXT,681
LIBRARY_RAW,LANDING,PORTAL_ARC_ATLANTA_DATAATLA_4C51545609,LATITUDE,TEXT,106
LIBRARY_RAW,LANDING,PORTAL_ARC_ATLANTA_DATAATLA_51A606F539,LATITUDE,TEXT,486
LIBRARY_RAW,LANDING,PORTAL_ARC_ATLANTA_DATAATLA_5ADD5EAF6A,LATITUDE,TEXT,454
LIBRARY_RAW,LANDING,PORTAL_ARC_ATLANTA_DATAATLA_5D9B9C30A9,LATITUDE,TEXT,14
