db,schema,table,column,dtype,row_count
LIBRARY_MARTS,CIVIL_RIGHTS,CIVIL_RIGHTS__FED_NARA_WRA_AAD,PERSON_NAME,TEXT,1
LIBRARY_MARTS,CONSUMER_SAFETY,CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS,MFR_NAME,TEXT,2227941
LIBRARY_MARTS,CONSUMER_SAFETY,CONSUMER_SAFETY__FED_NHTSA_INVESTIGATIONS,MFR_NAME,TEXT,154209
LIBRARY_MARTS,CONSUMER_SAFETY,CONSUMER_SAFETY__FED_NHTSA_RECALLS,MFG_NAME,TEXT,242993
LIBRARY_MARTS,CORE,DIM_COUNTY,COUNTY_NAME,TEXT,3222
LIBRARY_MARTS,CORE,DIM_COUNTY,STATE_NAME,TEXT,3222
LIBRARY_MARTS,CORE,DIM_DATE,DAY_NAME,TEXT,31411
LIBRARY_MARTS,CORE,DIM_DATE,MONTH_NAME,TEXT,31411
LIBRARY_MARTS,CORE,DIM_STATE,STATE_NAME,TEXT,56
LIBRARY_MARTS,CORE,XWALK_ZCTA_COUNTY,COUNTY_NAME,TEXT,46960
LIBRARY_MARTS,CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ADDRESSES,NAME,TEXT,402246
LIBRARY_MARTS,CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ENTITIES,FORMER_NAME,TEXT,814344
LIBRARY_MARTS,CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ENTITIES,NAME,TEXT,814344
LIBRARY_MARTS,CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ENTITIES,ORIGINAL_NAME,TEXT,814344
LIBRARY_MARTS,CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_INTERMEDIARIES,NAME,TEXT,26768
LIBRARY_MARTS,CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OFFICERS,NAME,TEXT,771315
LIBRARY_MARTS,CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OTHERS,NAME,TEXT,2989
LIBRARY_MARTS,CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_IRS_EO_BMF,ORG_NAME,TEXT,1983563
LIBRARY_MARTS,CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_IRS_EO_BMF,SORT_NAME,TEXT,1983563
LIBRARY_MARTS,CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_ES_BORME,COMPANY_NAME,TEXT,3
LIBRARY_MARTS,CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_IE_CRO,COMPANY_NAME,TEXT,821693
LIBRARY_MARTS,CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_IE_CRO,DATASET_NAME,TEXT,821693
LIBRARY_MARTS,CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_UK_COMPANIES_HOUSE,COMPANY_NAME,TEXT,5734780
LIBRARY_MARTS,CORPORATE_REGISTRY,CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC,NAME,TEXT,7000000
LIBRARY_MARTS,CORPORATE_REGISTRY,CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC,NAME_FORENAME,TEXT,7000000
LIBRARY_MARTS,CORPORATE_REGISTRY,CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC,NAME_MIDDLE,TEXT,7000000
LIBRARY_MARTS,CORPORATE_REGISTRY,CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC,NAME_SURNAME,TEXT,7000000
LIBRARY_MARTS,CORPORATE_REGISTRY,CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC,NAME_TITLE,TEXT,7000000
LIBRARY_MARTS,DBT_CROGERS,LAND_AND_TERRITORY__FED_BIA_TRIBAL_GEO,FEATURE_NAME,TEXT,1
LIBRARY_MARTS,DBT_CROGERS,LAND_AND_TERRITORY__FED_BIA_TRIBAL_GEO,LAYER_NAME,TEXT,1
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_DOL_FORM5500,ADMIN_CARE_OF_NAME,TEXT,33484
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_DOL_FORM5500,ADMIN_MANUAL_SIGNED_NAME,TEXT,33484
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_DOL_FORM5500,ADMIN_NAME,TEXT,33484
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_DOL_FORM5500,ADMIN_NAME_SAME_SPON_IND,TEXT,33484
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_DOL_FORM5500,ADMIN_SIGNED_NAME,TEXT,33484
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_DOL_FORM5500,DFE_MANUAL_SIGNED_NAME,TEXT,33484
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_DOL_FORM5500,DFE_SIGNED_NAME,TEXT,33484
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_DOL_FORM5500,LAST_RPT_PLAN_NAME,TEXT,33484
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_DOL_FORM5500,LAST_RPT_SPONS_NAME,TEXT,33484
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PLAN_NAME,TEXT,33484
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PREPARER_FIRM_NAME,TEXT,33484
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PREPARER_NAME,TEXT,33484
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONSOR_DFE_EIN,TEXT,33484
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONSOR_DFE_NAME,TEXT,33484
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_CARE_OF_NAME,TEXT,33484
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_DBA_NAME,TEXT,33484
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_MANUAL_SIGNED_NAME,TEXT,33484
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_SIGNED_NAME,TEXT,33484
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_DOL_FORM5500,VALID_SPONSOR_SIGNATURE,TEXT,33484
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_FAC_SINGLE_AUDIT,AUDITEE_NAME,TEXT,411638
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_FAC_SINGLE_AUDIT,AUDITOR_FIRM_NAME,TEXT,411638
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_FDIC_FAILED_BANKS,BANK_NAME,TEXT,3584
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_FDIC_FAILED_BANKS,STATE_NAME,TEXT,3584
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_FINCEN_BOI,BENEFICIAL_OWNER_ADDRESS,TEXT,1
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_FINCEN_BOI,BENEFICIAL_OWNER_DOB,TEXT,1
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_FINCEN_BOI,BENEFICIAL_OWNER_FULL_NAME,TEXT,1
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_FINCEN_BOI,BENEFICIAL_OWNER_ID_ISSUING_JURISDICTION,TEXT,1
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_FINCEN_BOI,BENEFICIAL_OWNER_ID_NUMBER,TEXT,1
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_FINCEN_BOI,BENEFICIAL_OWNER_ID_TYPE,TEXT,1
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_FINCEN_BOI,REPORTING_COMPANY_NAME,TEXT,1
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_GRANTS_GOV,AGENCY_NAME,TEXT,100
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_GRANTS_GOV,GRANTOR_CONTACT_NAME,TEXT,100
