db,schema,table,column,dtype,row_count
LIBRARY_RAW,LANDING,CA_LOBBY_AMENDMENTS,FORM_TYPE,TEXT,25249
LIBRARY_RAW,LANDING,CA_LOBBY_AMENDMENTS,REC_TYPE,TEXT,25249
LIBRARY_RAW,LANDING,CA_LOBBY_CHG_LOG,ENTITY_TYPE,TEXT,85765
LIBRARY_RAW,LANDING,CA_LOBBY_CHG_LOG,FILER_TYPE,TEXT,85765
LIBRARY_RAW,LANDING,CA_LOBBY_COVER,FORM_TYPE,TEXT,568988
LIBRARY_RAW,LANDING,CA_LOBBY_COVER,REC_TYPE,TEXT,568988
LIBRARY_RAW,LANDING,CA_LOBBY_COVER2,FORM_TYPE,TEXT,206493
LIBRARY_RAW,LANDING,CA_LOBBY_COVER2,REC_TYPE,TEXT,206493
LIBRARY_RAW,LANDING,FED_ATF_FFL,ADDR_TYPE,TEXT,77514
LIBRARY_RAW,LANDING,FED_ATF_FFL,BLDGTYPE,TEXT,77514
LIBRARY_RAW,LANDING,FED_ATF_FFL,IN_COUNTRYCODE,TEXT,77514
LIBRARY_RAW,LANDING,FED_ATF_FFL,LANGCODE,TEXT,77514
LIBRARY_RAW,LANDING,FED_ATF_FFL,LEVELNAME,TEXT,77514
LIBRARY_RAW,LANDING,FED_ATF_FFL,LEVELTYPE,TEXT,77514
LIBRARY_RAW,LANDING,FED_ATF_FFL,MATCH_TYPE,TEXT,77514
LIBRARY_RAW,LANDING,FED_ATF_FFL,STATUS,TEXT,77514
LIBRARY_RAW,LANDING,FED_ATF_FFL,STPRETYPE,TEXT,77514
LIBRARY_RAW,LANDING,FED_ATF_FFL,STRUCTYPE,TEXT,77514
LIBRARY_RAW,LANDING,FED_ATF_FFL,STTYPE,TEXT,77514
LIBRARY_RAW,LANDING,FED_ATF_FFL,TYPE,TEXT,77514
LIBRARY_RAW,LANDING,FED_ATF_FFL,UNITTYPE,TEXT,77514
LIBRARY_RAW,LANDING,FED_ATF_FFL,USER_LIC_TYPE,TEXT,77514
LIBRARY_RAW,LANDING,FED_ATF_FFL,USER_MAIL_ZIP_CODE,TEXT,77514
LIBRARY_RAW,LANDING,FED_ATF_FFL,USER_PREMISE_ZIP_CODE,TEXT,77514
LIBRARY_RAW,LANDING,FED_ATF_FFL_LOCATIONS,ATTRIBUTES_ADDR_TYPE,TEXT,2000
LIBRARY_RAW,LANDING,FED_ATF_FFL_LOCATIONS,ATTRIBUTES_BLDGTYPE,TEXT,2000
LIBRARY_RAW,LANDING,FED_ATF_FFL_LOCATIONS,ATTRIBUTES_IN_COUNTRYCODE,NUMBER,2000
LIBRARY_RAW,LANDING,FED_ATF_FFL_LOCATIONS,ATTRIBUTES_LANGCODE,TEXT,2000
