db,schema,table,column,dtype,row_count
LIBRARY_MARTS,CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,ZIP_CODE,TEXT,17168287
LIBRARY_MARTS,CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_IRS_EO_BMF,ZIP,TEXT,1983563
LIBRARY_MARTS,CORPORATE_REGISTRY,CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC,ADDRESS_POSTAL_CODE,TEXT,7000000
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_DOL_FORM5500,ADMIN_US_ZIP,TEXT,33484
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PREPARER_US_ZIP,TEXT,33484
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_LOC_US_ZIP,TEXT,33484
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_MAIL_US_ZIP,TEXT,33484
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_FAC_SINGLE_AUDIT,AUDITEE_ZIP,TEXT,411638
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_FAC_SINGLE_AUDIT,AUDITOR_ZIP,TEXT,411638
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_IRS_990,ZIP_CODE,TEXT,200
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_IRS_AUTO_REVOCATIONS,ZIP_CODE,TEXT,1207295
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_IRS_BMF,ZIP,TEXT,1974830
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_IRS_EO_PR,ZIP,TEXT,2587
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_IRS_REVOCATION,ZIP_CODE,TEXT,1187367
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_IRS_SOI_CHARITIES,ZIP,TEXT,2450
LIBRARY_MARTS,ECONOMICS,ECONOMICS__FED_SBA_LOANS,BORROWER_ZIP,TEXT,2174502
