db,schema,table,type,row_count,bytes,created,last_altered,comment
LIBRARY_META,AUDIT,BRIDGE_CANDIDATES,BASE TABLE,74,4608,2026-07-28 08:58:44.764000-07:00,2026-07-28 10:46:39.203000-07:00,
LIBRARY_META,AUDIT,COLUMN_HEALTH,BASE TABLE,8613,470528,2026-07-28 08:58:45.696000-07:00,2026-07-28 10:41:09.322000-07:00,
LIBRARY_META,AUDIT,KEY_VALIDATION,BASE TABLE,115,5632,2026-07-28 08:58:45.299000-07:00,2026-07-28 10:45:00.020000-07:00,
LIBRARY_META,AUDIT,TABLE_VITALS,BASE TABLE,249,14336,2026-07-28 08:58:46.161000-07:00,2026-07-28 10:46:47.646000-07:00,
LIBRARY_META,AUDIT,V_AUDIT_SCORECARD,VIEW,,,2026-07-28 09:01:57.648000-07:00,2026-07-28 09:01:58.210000-07:00,
LIBRARY_META,BUILD,DEFECTS,BASE TABLE,20,8192,2026-07-12 10:42:28.352000-07:00,2026-07-27 10:04:10.098000-07:00,
LIBRARY_META,BUILD,PARKED,BASE TABLE,12,3584,2026-07-12 10:42:29.190000-07:00,2026-07-12 11:44:07.357000-07:00,
LIBRARY_META,BUILD,PENDING_ACTIONS,BASE TABLE,12,5632,2026-07-12 10:42:28.725000-07:00,2026-07-12 13:56:29.279000-07:00,
LIBRARY_META,BUILD,POLICY,BASE TABLE,16,4096,2026-07-12 10:42:29.595000-07:00,2026-07-12 11:44:14.878000-07:00,
LIBRARY_META,BUILD,V_BUILD_STATE,VIEW,,,2026-07-12 11:43:30.123000-07:00,2026-07-12 11:43:30.428000-07:00,
LIBRARY_META,CONNECT,BRIDGE_ENTITIES,BASE TABLE,53799,2904064,2026-07-24 22:55:50.981000-07:00,2026-08-22 11:14:40.277000-07:00,
LIBRARY_META,CONNECT,CLUSTER_ASSIGNMENTS,BASE TABLE,23,1536,2026-07-24 22:55:50.055000-07:00,2026-07-24 22:55:50.860000-07:00,
LIBRARY_META,CONNECT,CONNECT_EDGES,BASE TABLE,4910,387072,2026-08-18 18:08:28.911000-07:00,2026-08-22 00:01:35.437000-07:00,
LIBRARY_META,CONNECT,CONNECT_EDGES_INC,BASE TABLE,3182,235520,2026-06-29 15:43:03.718000-07:00,2026-08-22 16:06:59.083000-07:00,
LIBRARY_META,CONNECT,CONNECT_NODES,BASE TABLE,90004885,1836995072,2026-08-26 15:56:27.837000-07:00,2026-08-26 15:56:49.853000-07:00,
LIBRARY_META,CONNECT,CONNECT_WATERMARK,BASE TABLE,2117,164352,2026-06-29 13:55:56.122000-07:00,2026-08-26 17:12:03.699000-07:00,
LIBRARY_META,CONNECT,CROSSWALK_SCRATCH,BASE TABLE,2692258,19283968,2026-08-18 18:06:57.589000-07:00,2026-08-18 18:08:16.584000-07:00,
LIBRARY_META,CONNECT,DOMAIN_OVERLAP_MATRIX,BASE TABLE,7,6656,2026-07-24 17:51:10.189000-07:00,2026-07-24 17:51:11.496000-07:00,
LIBRARY_META,CONNECT,ENTITY_GOLDEN,BASE TABLE,35951018,1189842944,2026-08-26 15:58:35.185000-07:00,2026-08-26 16:08:49.511000-07:00,
LIBRARY_META,CONNECT,ENTITY_INDEX,BASE TABLE,90004885,3092250624,2026-08-26 16:08:49.879000-07:00,2026-08-26 16:18:07.367000-07:00,
LIBRARY_META,CONNECT,ENTITY_LINKS,BASE TABLE,2324,55808,2026-06-25 09:03:17.346000-07:00,2026-06-25 09:03:21.316000-07:00,
LIBRARY_META,CONNECT,ENTITY_MAP,BASE TABLE,35951018,726275584,2026-08-26 15:57:32.945000-07:00,2026-08-26 15:58:35.002000-07:00,
LIBRARY_META,CONNECT,ENTITY_XREF,BASE TABLE,2672384,16664576,2026-07-30 09:13:28.532000-07:00,2026-07-30 09:14:09.838000-07:00,
LIBRARY_META,CONNECT,GOLD_PAIRS,BASE TABLE,6538936,86451712,2026-06-25 11:01:00.257000-07:00,2026-06-25 11:01:12.316000-07:00,
LIBRARY_META,CONNECT,KEYSET_LIVE,BASE TABLE,176983257,1363101184,2026-06-29 13:55:57-07:00,2026-08-26 16:57:58.322000-07:00,
LIBRARY_META,CONNECT,KEYSET_SCRATCH,BASE TABLE,176983257,1441283584,2026-08-18 17:39:15.420000-07:00,2026-08-18 18:03:40.817000-07:00,
LIBRARY_META,CONNECT,LEADS,BASE TABLE,17598,1403392,2026-06-25 08:29:25.842000-07:00,2026-08-26 16:18:12.912000-07:00,
LIBRARY_META,CONNECT,MATCH_MODEL,BASE TABLE,5,1536,2026-06-25 12:43:31.542000-07:00,2026-06-25 13:15:27.555000-07:00,
LIBRARY_META,CONNECT,MATCH_PAIRS,BASE TABLE,182401058,650671104,2026-08-26 15:56:50.016000-07:00,2026-08-26 15:57:32.717000-07:00,
LIBRARY_META,CONNECT,MATCH_RUNGS,BASE TABLE,3,1536,2026-06-25 12:43:31.861000-07:00,2026-06-25 13:15:28.023000-07:00,
LIBRARY_META,CONNECT,NICKNAME_MAP,BASE TABLE,102,2048,2026-06-25 13:13:55.416000-07:00,2026-06-25 13:13:57.397000-07:00,
LIBRARY_META,CONNECT,SOURCE_OVERLAP_MATRIX,BASE TABLE,36,12288,2026-07-24 17:51:05.014000-07:00,2026-07-24 17:51:09.776000-07:00,
LIBRARY_META,CONNECT,SPINE_KEYSET,BASE TABLE,90004885,485228032,2026-08-26 15:49:46.938000-07:00,2026-08-26 15:56:27.750000-07:00,
LIBRARY_META,CONNECT,SPINE_KEYSET_LIVE,BASE TABLE,90004885,428247552,2026-06-29 13:55:56.580000-07:00,2026-08-26 16:45:23.715000-07:00,
LIBRARY_META,CONNECT,V_CONNECTIONS,VIEW,,,2026-07-06 17:23:05.512000-07:00,2026-07-06 17:23:06.921000-07:00,"One row per connection-graph edge, human-readable. table_a.col_a = table_b.col_b
is a runnable join. tier STEEL/STRONG = hard identifier; GEO/CORROBORATED/PROBABILISTIC
are softer. Built over CONNECT_EDGES; regenerable."
LIBRARY_META,CONNECT,V_CONNECTIONS_CORE,VIEW,,,2026-07-27 09:28:15.949000-07:00,2026-07-27 09:28:17.327000-07:00,"Trustworthy core of the connection graph: the SAME projection as V_CONNECTIONS but
only tier IN (STEEL/STRONG/CORROBORATED) -- hard identifiers + corroborated links, no bare
ZIP/FIPS geographic coincidence (GEO) or name-only (PROBABILISTIC) noise. This is the default
edge set evidence.dev should browse. Built over V_CONNECTIONS; regenerable."
LIBRARY_META,CONNECT,V_CONNECTION_SUMMARY,VIEW,,,2026-07-06 17:23:07.076000-07:00,2026-07-06 17:23:08.268000-07:00,"Browse menu for the connection graph: edge counts and best overlap per
(domain_a, domain_b, tier). Which domains connect, and how strongly."
LIBRARY_META,CONNECT,V_LEADS_PUBLISHED,VIEW,,,2026-08-01 11:47:35.846000-07:00,2026-08-01 11:47:36.450000-07:00,"The SAFE way to read leads in SQL: published()-semantics as a view. Drops leads whose latest EFFECTIVE human verdict (lead-level, else inherited cohort-level — see LIBRARY_META.REVIEW.V_EFFECTIVE_LEAD_DECISIONS) is rejected/retracted/stale, drops leads absent from the latest run (STATUS<>active), and stamps every survivor with REVIEW_STATE + PUBLISHED so an unreviewed lead can never read as fact. Two-step publish gate unchanged. Regenerable."
LIBRARY_META,CONNECT,ZZ_RETIRED_DECISIONS_20260712,BASE TABLE,0,0,2026-06-25 12:51:54.715000-07:00,2026-07-21 21:22:23.664000-07:00,
LIBRARY_META,CONNECT,ZZ_RETIRED_EDGES_FED_IRS_EO_BMF,BASE TABLE,140,20480,2026-07-12 11:46:23.668000-07:00,2026-07-12 11:46:24.415000-07:00,
LIBRARY_META,CONNECT_BAK_20260730,BRIDGE_ENTITIES,BASE TABLE,0,0,2026-07-30 07:54:08.268000-07:00,2026-07-30 07:54:08.485000-07:00,
LIBRARY_META,CONNECT_BAK_20260730,CLUSTER_ASSIGNMENTS,BASE TABLE,23,1536,2026-07-30 07:54:08.268000-07:00,2026-07-30 07:54:08.859000-07:00,
LIBRARY_META,CONNECT_BAK_20260730,CONNECT_EDGES,BASE TABLE,610,51712,2026-07-30 07:54:08.268000-07:00,2026-07-30 07:54:09.584000-07:00,
LIBRARY_META,CONNECT_BAK_20260730,CONNECT_EDGES_INC,BASE TABLE,1074,72192,2026-07-30 07:54:08.268000-07:00,2026-07-30 07:54:10.416000-07:00,
LIBRARY_META,CONNECT_BAK_20260730,CONNECT_NODES,BASE TABLE,25275406,521223168,2026-07-30 07:54:08.268000-07:00,2026-07-30 07:54:11.129000-07:00,
LIBRARY_META,CONNECT_BAK_20260730,CONNECT_WATERMARK,BASE TABLE,1848,142336,2026-07-30 07:54:08.268000-07:00,2026-07-30 07:54:11.872000-07:00,
LIBRARY_META,CONNECT_BAK_20260730,CROSSWALK_SCRATCH,BASE TABLE,4326506,21104640,2026-07-30 07:54:08.268000-07:00,2026-07-30 07:54:12.650000-07:00,
LIBRARY_META,CONNECT_BAK_20260730,DOMAIN_OVERLAP_MATRIX,BASE TABLE,7,6656,2026-07-30 07:54:08.268000-07:00,2026-07-30 07:54:13.373000-07:00,
LIBRARY_META,CONNECT_BAK_20260730,ENTITY_GOLDEN,BASE TABLE,16717495,649575936,2026-07-30 07:54:08.268000-07:00,2026-07-30 07:54:13.988000-07:00,
LIBRARY_META,CONNECT_BAK_20260730,ENTITY_INDEX,BASE TABLE,25275406,1031663104,2026-07-30 07:54:08.268000-07:00,2026-07-30 07:54:14.681000-07:00,
LIBRARY_META,CONNECT_BAK_20260730,ENTITY_LINKS,BASE TABLE,2324,55808,2026-07-30 07:54:08.268000-07:00,2026-07-30 07:54:15.535000-07:00,
