domain,table,column,kind,description,dtype
CIVIL_RIGHTS,CIVIL_RIGHTS__FED_NARA_WRA_AAD,CAMP_LOCATION,facility_site,site / location / place name,TEXT
CIVIL_RIGHTS,CIVIL_RIGHTS__FED_NARA_WRA_AAD,FIPS,fips,FIPS / GEOID census code,TEXT
CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,STATE,state,state name or 2-letter code,TEXT
CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,ZIP_CODE,zip,ZIP / postal code,TEXT
CONSUMER_SAFETY,CONSUMER_SAFETY__FED_CPSC_NEISS,LOCATION_CODE,facility_site,site / location / place name,TEXT
CONSUMER_SAFETY,CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS,CITY,city,city / town / municipality,TEXT
CONSUMER_SAFETY,CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS,STATE,state,state name or 2-letter code,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ADDRESSES,ADDRESS,address,street / mailing address,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ADDRESSES,COUNTRIES,country,country name / ISO code,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ADDRESSES,COUNTRY_CODES,country,country name / ISO code,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ENTITIES,ADDRESS,address,street / mailing address,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ENTITIES,COUNTRIES,country,country name / ISO code,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ENTITIES,COUNTRY_CODES,country,country name / ISO code,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ENTITIES,JURISDICTION,region,region / area / territory / jurisdiction,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ENTITIES,JURISDICTION_DESCRIPTION,region,region / area / territory / jurisdiction,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_INTERMEDIARIES,ADDRESS,address,street / mailing address,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_INTERMEDIARIES,COUNTRIES,country,country name / ISO code,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_INTERMEDIARIES,COUNTRY_CODES,country,country name / ISO code,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OFFICERS,COUNTRIES,country,country name / ISO code,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OFFICERS,COUNTRY_CODES,country,country name / ISO code,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OTHERS,COUNTRIES,country,country name / ISO code,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OTHERS,COUNTRY_CODES,country,country name / ISO code,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OTHERS,JURISDICTION,region,region / area / territory / jurisdiction,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OTHERS,JURISDICTION_DESCRIPTION,region,region / area / territory / jurisdiction,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_IRS_EO_BMF,STREET,address,street / mailing address,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_IRS_EO_BMF,CITY,city,city / town / municipality,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_IRS_EO_BMF,STATE,state,state name or 2-letter code,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_IRS_EO_BMF,ZIP,zip,ZIP / postal code,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_ES_BORME,COUNTRY,country,country name / ISO code,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_ES_BORME,PROVINCE,state,state name or 2-letter code,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_IE_CRO,REGISTERED_ADDRESS,address,street / mailing address,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_IE_CRO,COUNTRY,country,country name / ISO code,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_UK_COMPANIES_HOUSE,ADDRESS_LINE_1,address,street / mailing address,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_UK_COMPANIES_HOUSE,ADDRESS_LINE_2,address,street / mailing address,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_UK_COMPANIES_HOUSE,POST_TOWN,city,city / town / municipality,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_UK_COMPANIES_HOUSE,COUNTRY,country,country name / ISO code,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_UK_COMPANIES_HOUSE,COUNTRY_OF_ORIGIN,country,country name / ISO code,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_UK_COMPANIES_HOUSE,COUNTY,county,county name or code,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC,ADDRESS_LINE_1,address,street / mailing address,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC,ADDRESS_PREMISES,address,street / mailing address,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC,ADDRESS_LOCALITY,city,city / town / municipality,TEXT
CORPORATE_REGISTRY,CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC,ADDRESS_COUNTRY,country,country name / ISO code,TEXT
