realm,table,column,data_type,column_meaning,source,joins_to,semantic_type
CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,COMPLAINT_ID,TEXT,complaint ID,inferred,,
CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,STATE,TEXT,state,inferred,,geo
CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,ZIP_CODE,TEXT,ZIP code,inferred,,geo
CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,COMPANY,TEXT,company,inferred,,
CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,DATE_RECEIVED,DATE,date received,inferred,,datetime
CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,DATE_SENT_TO_COMPANY,DATE,date sent to company,inferred,,datetime
CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,DAYS_RECEIVED_TO_COMPANY,NUMBER,days received to company,inferred,,
CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,RECEIVED_MONTH,DATE,received month,inferred,,datetime
CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,RECEIVED_YEAR,DATE,received year,inferred,,datetime
CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,PRODUCT,TEXT,product,inferred,,
CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,SUB_PRODUCT,TEXT,sub product,inferred,,
CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,ISSUE,TEXT,issue,inferred,,
CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,SUB_ISSUE,TEXT,sub issue,inferred,,
CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,SUBMITTED_VIA,TEXT,submitted via,inferred,,
CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,COMPANY_RESPONSE,TEXT,company response,inferred,,
CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,COMPANY_PUBLIC_RESPONSE,TEXT,company public response,inferred,,
CONSUMER_PROTECTION,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,IS_TIMELY,BOOLEAN,is timely,inferred,,datetime
