table,column,rule,pattern,sibling,new_columns,expr
FED_CDC_ANXIETY_DEPRESSION,TIME_PERIOD,still_manual,,,,
FED_CDC_ANXIETY_DEPRESSION,TIME_PERIOD_LABEL,still_manual,,,,
FED_CDC_HEALTH_INSURANCE,TIME_PERIOD,still_manual,,,,
FED_CDC_HEALTH_INSURANCE,TIME_PERIOD_LABEL,still_manual,,,,
FED_CDC_INJURY_VIOLENCE_COUNTY,TTM_DATE_RANGE,range,monthyyyy,,"TTM_DATE_RANGE_START, TTM_DATE_RANGE_END","TTM_DATE_RANGE_START: TRY_TO_DATE(SPLIT_PART(""TTM_DATE_RANGE"", ' to ', 1), 'MMMM, YYYY')  |  TTM_DATE_RANGE_END: TRY_TO_DATE(SPLIT_PART(""TTM_DATE_RANGE"", ' to ', 2), 'MMMM, YYYY')"
FED_CFPB_HMDA_HISTORIC,APPLICATION_DATE_INDICATOR,still_manual,,,,
FED_CFTC_COT_FINANCIAL,AS_OF_DATE_IN_FORM_YYMMDD,still_manual,,,,
FED_CFTC_COT_FINANCIAL_HIST,AS_OF_DATE_IN_FORM_YYMMDD,still_manual,,,,
FED_CFTC_COT_FUTURES,AS_OF_DATE_IN_FORM_YYMMDD,still_manual,,,,
FED_CLINICALTRIALS,START_DATE,still_manual,,,,
FED_CLINICALTRIALS,COMPLETION_DATE,still_manual,,,,
FED_CLINICALTRIALS,PRIMARY_COMPLETION_DATE,still_manual,,,,
FED_CMS_DIALYSIS,FIVE_STAR_DATE,range,ddmonyyyy,,"FIVE_STAR_DATE_START, FIVE_STAR_DATE_END","FIVE_STAR_DATE_START: TRY_TO_DATE(SPLIT_PART(""FIVE_STAR_DATE"", '-', 1), 'DDMONYYYY')  |  FIVE_STAR_DATE_END: TRY_TO_DATE(SPLIT_PART(""FIVE_STAR_DATE"", '-', 2), 'DDMONYYYY')"
FED_CMS_DIALYSIS,CLAIMS_DATE,range,ddmonyyyy,,"CLAIMS_DATE_START, CLAIMS_DATE_END","CLAIMS_DATE_START: TRY_TO_DATE(SPLIT_PART(""CLAIMS_DATE"", '-', 1), 'DDMONYYYY')  |  CLAIMS_DATE_END: TRY_TO_DATE(SPLIT_PART(""CLAIMS_DATE"", '-', 2), 'DDMONYYYY')"
FED_CMS_DIALYSIS,EQRS_DATE,range,ddmonyyyy,,"EQRS_DATE_START, EQRS_DATE_END","EQRS_DATE_START: TRY_TO_DATE(SPLIT_PART(""EQRS_DATE"", '-', 1), 'DDMONYYYY')  |  EQRS_DATE_END: TRY_TO_DATE(SPLIT_PART(""EQRS_DATE"", '-', 2), 'DDMONYYYY')"
FED_CMS_DIALYSIS,SMR_DATE,range,ddmonyyyy,,"SMR_DATE_START, SMR_DATE_END","SMR_DATE_START: TRY_TO_DATE(SPLIT_PART(""SMR_DATE"", '-', 1), 'DDMONYYYY')  |  SMR_DATE_END: TRY_TO_DATE(SPLIT_PART(""SMR_DATE"", '-', 2), 'DDMONYYYY')"
FED_CMS_DIALYSIS,SHR_DATE,range,ddmonyyyy,,"SHR_DATE_START, SHR_DATE_END","SHR_DATE_START: TRY_TO_DATE(SPLIT_PART(""SHR_DATE"", '-', 1), 'DDMONYYYY')  |  SHR_DATE_END: TRY_TO_DATE(SPLIT_PART(""SHR_DATE"", '-', 2), 'DDMONYYYY')"
FED_CMS_DIALYSIS,SRR_DATE,range,ddmonyyyy,,"SRR_DATE_START, SRR_DATE_END","SRR_DATE_START: TRY_TO_DATE(SPLIT_PART(""SRR_DATE"", '-', 1), 'DDMONYYYY')  |  SRR_DATE_END: TRY_TO_DATE(SPLIT_PART(""SRR_DATE"", '-', 2), 'DDMONYYYY')"
FED_CMS_DIALYSIS,STRR_DATE,range,ddmonyyyy,,"STRR_DATE_START, STRR_DATE_END","STRR_DATE_START: TRY_TO_DATE(SPLIT_PART(""STRR_DATE"", '-', 1), 'DDMONYYYY')  |  STRR_DATE_END: TRY_TO_DATE(SPLIT_PART(""STRR_DATE"", '-', 2), 'DDMONYYYY')"
FED_CMS_DIALYSIS,FYSWR_DATE,range,ddmonyyyy,,"FYSWR_DATE_START, FYSWR_DATE_END","FYSWR_DATE_START: TRY_TO_DATE(SPLIT_PART(""FYSWR_DATE"", '-', 1), 'DDMONYYYY')  |  FYSWR_DATE_END: TRY_TO_DATE(SPLIT_PART(""FYSWR_DATE"", '-', 2), 'DDMONYYYY')"
FED_CMS_DIALYSIS,SEDR_DATE,range,ddmonyyyy,,"SEDR_DATE_START, SEDR_DATE_END","SEDR_DATE_START: TRY_TO_DATE(SPLIT_PART(""SEDR_DATE"", '-', 1), 'DDMONYYYY')  |  SEDR_DATE_END: TRY_TO_DATE(SPLIT_PART(""SEDR_DATE"", '-', 2), 'DDMONYYYY')"
FED_CMS_DIALYSIS,ED30_DATE,range,ddmonyyyy,,"ED30_DATE_START, ED30_DATE_END","ED30_DATE_START: TRY_TO_DATE(SPLIT_PART(""ED30_DATE"", '-', 1), 'DDMONYYYY')  |  ED30_DATE_END: TRY_TO_DATE(SPLIT_PART(""ED30_DATE"", '-', 2), 'DDMONYYYY')"
FED_CMS_DIALYSIS,SIR_DATE,range,ddmonyyyy,,"SIR_DATE_START, SIR_DATE_END","SIR_DATE_START: TRY_TO_DATE(SPLIT_PART(""SIR_DATE"", '-', 1), 'DDMONYYYY')  |  SIR_DATE_END: TRY_TO_DATE(SPLIT_PART(""SIR_DATE"", '-', 2), 'DDMONYYYY')"
FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY,REPORT_DATE,still_manual,,,,
FED_COURTLISTENER_COURTS,START_DATE,still_manual,,,,
FED_COURTLISTENER_DISCLOSURE_AGREEMENTS,DATE_RAW,still_manual,,,,
FED_COURTLISTENER_DISCLOSURE_NON_INVESTMENT_INCOME,DATE_RAW,still_manual,,,,
FED_COURTLISTENER_DISCLOSURE_REIMBURSEMENTS,DATE_RAW,still_manual,,,,
FED_COURTLISTENER_DISCLOSURE_SPOUSAL_INCOME,DATE_RAW,still_manual,,,,
FED_COURTLISTENER_FINANCIAL_DISCLOSURES,DATE_CREATED,still_manual,,,,
FED_COURTLISTENER_FINANCIAL_DISCLOSURES,DATE_MODIFIED,still_manual,,,,
FED_COURTLISTENER_JUDGE_POLITICAL_AFFILIATIONS,DATE_GRANULARITY_START,granularity,,,DATE_GRANULARITY_START_LABEL,"CASE ""DATE_GRANULARITY_START"" WHEN '%Y-%m-%d' THEN 'day' WHEN '%Y-%m' THEN 'month' WHEN '%Y' THEN 'year' ELSE NULL END"
FED_COURTLISTENER_JUDGE_POLITICAL_AFFILIATIONS,DATE_GRANULARITY_END,granularity,,,DATE_GRANULARITY_END_LABEL,"CASE ""DATE_GRANULARITY_END"" WHEN '%Y-%m-%d' THEN 'day' WHEN '%Y-%m' THEN 'month' WHEN '%Y' THEN 'year' ELSE NULL END"
