23:14:16 41 edges, 60 pairs each
23:14:19 [1] Drug price NDC -> drug label NDC: names 86.7% of 60 | states None% of 0 | e.g. [('002282128', 'CLONIDINE HCL 0.2 MG TABLET', 'Clonidine Hydrochloride')]
23:14:20 [2] Clinic NPI -> provider registry: names 35.6% of 59 | states None% of 0 | e.g. [('1619028446', 'Smith County Health Department Community', 'STATE OF TENNESSEE')]
23:14:21 [3] Clinic Medicare billing # -> provider-of-services CCN: names 58.3% of 60 | states 100.0% of 60 | e.g. [('501916', 'Sea Mar CHC - Monroe W. Main St.', 'SEA MAR COMMUNITY HEALTH CENTERS')]
23:14:22 [4] Hospice associate id -> PECOS PAC id: names 100.0% of 60 | states 98.3% of 60 | e.g. []
23:14:22 [5] Predecessor CCN -> CCN (lineage; names may differ): names 56.7% of 60 | states 100.0% of 60 | e.g. [('130010', 'NORTH CANYON MEDICAL CENTER', 'GOODING COUNTY MEMORIAL HOSPITAL')]
23:14:23 [6] Nursing-home chain id CMS -> 411: names 100.0% of 60 | states None% of 0 | e.g. []
23:14:25 [7] TRI EPA registry id -> FRS registry: names 70.0% of 60 | states 100.0% of 60 | e.g. [('110000581718', 'OGS TECHNOLOGIES INC', 'WATERBURY COMPANIES INC')]
23:14:27 [8] TRI parent DUNS -> contract recipient DUNS: names 73.3% of 60 | states None% of 0 | e.g. [('057711152', 'HIS PAINT MANUFACTURING CO', 'H-I-S PAINT MANUFACTURING COMPANY, LLC')]
23:14:27 [9] FDIC successor cert -> cert (lineage; state): names 25.0% of 60 | states 90.0% of 60 | e.g. [('16419', 'Wright City State Bank', '1st Bank & Trust')]
23:14:28 [10] FHLB member cert -> FDIC cert: names 93.2% of 59 | states 100.0% of 60 | e.g. [('28080', 'The Harrison B & La', 'The Harrison Building and Loan Associati')]
23:14:28 [11] FHLB member Fed id -> FDIC Fed RSSD: names 96.7% of 60 | states 96.7% of 60 | e.g. [('828174', 'First FSLA of Valdosta', 'First Federal Savings and Loan Associati')]
23:14:31 [12] FHLB member NCUA id -> credit-union charter: names 98.3% of 60 | states 100.0% of 60 | e.g. [('5487', "Kaua'i Federal Credit Union", 'KAUAI')]
23:14:31 [13] SBA lender FDIC # -> FDIC cert: names 98.3% of 60 | states 100.0% of 60 | e.g. [('35261', 'Twin City Bank', 'Increase Bank')]
23:14:32 [14] SBA lender NCUA # -> credit-union charter: names 98.3% of 60 | states 100.0% of 60 | e.g. [('62604', 'Boeing Empl CU', 'BOEING EMPLOYEES')]
23:14:33 [15] HMDA legacy id (agency-stripped) -> FDIC cert: names 56.7% of 60 | states None% of 0 | e.g. [('13675', 'First National Bank of Bosque County', 'Firstmerit Bank, National Association')]
23:14:35 [16] HMDA xref LEI -> global LEI registry: names 93.3% of 60 | states None% of 0 | e.g. [('549300RA8E6JQC2S7K66', 'SCHOOL SYSTEMS', 'Next Step Federal Credit Union')]
23:14:35 [17] Market-venue LEI -> global LEI registry: names 91.2% of 34 | states None% of 0 | e.g. [('213800AFQW3ASUKG7I91', 'JP JENKINS LIMITED', 'J P JENKINS LIMITED')]
23:14:36 [18] LEI national company # (UK) -> Companies House: names 100.0% of 60 | states None% of 0 | e.g. []
23:14:37 [19] Screening-list entity # -> OFAC SDN #: names 100.0% of 60 | states None% of 0 | e.g. []
23:14:38 [20] UK-sanctioned ship IMO -> OFAC IMO: names 71.7% of 60 | states None% of 0 | e.g. [('9322827', 'PICTOR', 'PERIA')]
23:14:40 [21] SAM exclusion NPI -> provider registry (people): names 96.2% of 52 | states None% of 0 | e.g. [('1225047517', 'ROMERO', 'GROSS')]
23:14:40 [22] SAM exclusion NPI -> health exclusion list: names 100.0% of 59 | states 100.0% of 60 | e.g. []
23:14:42 [23] ICE stint facility code -> facility codes: names 95.0% of 60 | states 100.0% of 59 | e.g. [('BASILLA', 'SOUTH LOUISIANA ICE PROC CTR', 'Basile Detention Center')]
23:14:43 [24] Crash N-number -> FAA registry (serial #): names 90.0% of 60 | states None% of 0 | e.g. [('21177', '18261466', '177-01578                     ')]
23:14:44 [25] Rail parent code -> reporting railroad code: names 100.0% of 60 | states None% of 0 | e.g. []
23:14:45 [26] Subawardee UEI -> SAM registrant: names 96.7% of 60 | states 98.3% of 58 | e.g. [('F8B7H76EBCC5', 'G K N AEROSPACE PRECISION MACHINING INC', 'GKN AEROSPACE PRECISION MACHINING INC')]
23:14:47 [27] Grant recipient parent UEI -> SAM registrant: names 100.0% of 60 | states None% of 0 | e.g. []
23:14:49 [28] Contract recipient parent UEI -> SAM registrant: names 100.0% of 60 | states None% of 0 | e.g. []
23:14:50 [29] Contract CAGE -> SAM CAGE (pass-1 edge): names 98.3% of 60 | states 93.1% of 58 | e.g. [('78741', 'SGL COMPOSITES INC.', 'TEX-TECH ENGINEERED COMPOSITES, LLC')]
23:14:51 [30] NIH org UEI -> SAM registrant: names 82.5% of 57 | states None% of 0 | e.g. [('N2DCB9SB7NE4', 'LOWER EASTSIDE SERVICE CENTER, INC.', 'LESC GP, INC.')]
23:14:52 [31] SBIR UEI -> SAM registrant: names 98.3% of 60 | states 0.0% of 60 | e.g. [('JENFAUM1C7L6', 'CREE RESEARCH, INC.', 'WOLFSPEED INC')]
23:14:53 [32] Device-maker DUNS -> contract recipient DUNS: names 96.7% of 60 | states None% of 0 | e.g. [('047785845', 'Anacom Medtek', 'ANACOM GENERAL CORPORATION')]
23:14:54 [33] Trucker DUNS -> contract recipient DUNS: names 88.3% of 60 | states 80.0% of 60 | e.g. [('781498480', 'SOUTHBAY SANDBLASTING & TANK CLEANING IN', 'SOUTH BAY SAND BLASTING AND TANK CLEANIN')]
23:14:55 [34] Transmission owner id -> EIA utility id: names 100.0% of 60 | states None% of 0 | e.g. []
23:14:56 [35] Plant owner id -> EIA utility id: names 100.0% of 60 | states None% of 0 | e.g. []
23:14:56 [36] Bill sponsor bioguide -> member roster: names 76.7% of 60 | states None% of 0 | e.g. [('F000468', 'Rep. Fletcher, Lizzie [D-TX-7]', 'FLETCHER, Elizabeth')]
23:14:57 [37] Audit issuer CIK -> insider-filing issuer CIK: names 93.3% of 60 | states None% of 0 | e.g. [('949721', 'Meridian Waste Solutions, Inc.', 'Attis Industries Inc.')]
23:14:58 [38] EPA crosswalk parent UEI -> SAM registrant: names 100.0% of 6 | states None% of 0 | e.g. []
23:14:59 [39] US-documented vessel IMO -> AIS IMO (pass-1 edge): names 100.0% of 60 | states None% of 0 | e.g. []
23:15:00 [40] US-documented call sign -> AIS call sign (pass-1 edge): names 93.3% of 60 | states None% of 0 | e.g. [('WDB8945', 'SPRING POINT', 'PILOT BOAT SPRING PT')]
23:15:00 [41] Committee's candidate id -> FEC candidate (office state): names 25.0% of 60 | states 90.0% of 60 | e.g. [('H6VA09128', 'BRANDI HALL FOR US SENATE', 'HALL, BRANDI')]
23:15:00 DONE
