view	source	landing_rows	view_rows	dropped	key	note
STG_CA_LOBBY__AMENDMENTS	CA_LOBBY_AMENDMENTS	25249	25249	0	(no dedupe)	
STG_FED_FAC_SINGLE_AUDIT__RECORDS	FED_FAC_SINGLE_AUDIT	411638	411638	0	report_id order by _loaded_at desc) = 1	
STG_CA_LOBBY__CHG_LOG	CA_LOBBY_CHG_LOG	85765	85765	0	(no dedupe)	
STG_CA_LOBBY__CONTRIBUTIONS	CA_LOBBY_CONTRIBUTIONS	6505	6505	0	(no dedupe)	
STG_CA_LOBBY__EMPLOYER	CA_LOBBY_EMPLOYER	1730	1730	0	(no dedupe)	
STG_CA_LOBBY__EMPLOYER_FIRMS	CA_LOBBY_EMPLOYER_FIRMS	524	524	0	(no dedupe)	
STG_CA_LOBBY__EMP_LOBBYIST	CA_LOBBY_EMP_LOBBYIST	1500	1500	0	(no dedupe)	
STG_CA_LOBBY__COVER2	CA_LOBBY_COVER2	206493	206493	0	(no dedupe)	
STG_CA_LOBBY__FIRM_LOBBYIST	CA_LOBBY_FIRM_LOBBYIST	577	577	0	(no dedupe)	
STG_CA_LOBBY__FIRM	CA_LOBBY_FIRM	256	256	0	(no dedupe)	
STG_CA_LOBBY__FIRM_EMPLOYER	CA_LOBBY_FIRM_EMPLOYER	170	170	0	(no dedupe)	
STG_CA_LOBBY_COVER__FILINGS	CA_LOBBY_COVER	568988	524828	44160	filing_id order by _loaded_at desc) = 1	
STG_FED_BJS_DATA__BJS_DATA_COLLECTIONS	FED_BJS_DATA	1000	1000	0	(no dedupe)	
STG_FED_BLS_QCEW__RECORDS	FED_BLS_QCEW	3619437	3619437	0	(no dedupe)	
STG_FED_BIA_TRIBAL_GEO__BIA_GEOSPATIAL_FEATURES	FED_BIA_TRIBAL_GEO	335	335	0	lar_id	
STG_FED_CBP_ENCOUNTERS__RECORDS	FED_CBP_ENCOUNTERS	9	9	0	(no dedupe)	
STG_FED_BOP_STATISTICS__RECORDS	FED_BOP_STATISTICS	50	50	0	(no dedupe)	
STG_FED_CDC_DATA_PORTAL__RECORDS	FED_CDC_DATA_PORTAL_FULL	1471	1471	0	(no dedupe)	
STG_FED_CDC_ANXIETY_DEPRESSION__RECORDS	FED_CDC_ANXIETY_DEPRESSION	16794	16794	0	(no dedupe)	
STG_FED_CDC_HEALTH_INSURANCE__RECORDS	FED_CDC_HEALTH_INSURANCE	16056	16056	0	(no dedupe)	
STG_FED_CDC_DRUG_POISONING_COUNTY__RATES	FED_CDC_DRUG_POISONING_COUNTY	53387	53387	0	fips, year	
STG_FED_CDC_LEADING_CAUSES_STATE__ALL	FED_CDC_LEADING_CAUSES_STATE	10868	10868	0	(no dedupe)	
STG_FED_CDC_OVERDOSE__RECORDS	FED_CDC_OVERDOSE	83790	83790	0	(no dedupe)	
STG_FED_CDC_SUICIDE_RATES__RECORDS	FED_CDC_SUICIDE_RATES	6390	6390	0	(no dedupe)	
STG_FED_CDC_WONDER__RECORDS	FED_CDC_WONDER	880	880	0	(no dedupe)	
STG_FED_CENSUS_ZCTA_COUNTY_2020__ALL	FED_CENSUS_ZCTA_COUNTY_2020	47863	47863	0	(no dedupe)	
STG_FED_CDC_INJURY_VIOLENCE_COUNTY__RATES	FED_CDC_INJURY_VIOLENCE_COUNTY	132000	132000	0	fips_county, intent, period	
STG_FED_CENSUS_COUNTY_2020__ALL	FED_CENSUS_COUNTY_2020	3235	3235	0	COUNTYNS	
STG_FED_CFPB_HMDA__LOANS	FED_CFPB_HMDA	28301	28301	0	(no dedupe)	
STG_FED_CFPB_HMDA_ARID2017_LEI_XREF__XREF	FED_CFPB_HMDA_ARID2017_LEI_XREF	5399	5399	0	arid_2017	
