A,B,KEY,TIER,A_COL,B_COL,MATCHED,A_DISTINCT,B_DISTINCT,MATCH_RATE,CONFIDENCE,SAMPLE,RUN_ID,BUILT_AT
FED_EPA_FRS_FULL,XC_EPA_CORPORATE_CROSSWALK,FRS_ID,STEEL,REGISTRY_ID,EPA_REGISTRY_ID,5300149,5300149.0,5300149.0,100.0,1.0,"[
  ""110071753244"",
  ""110070475090"",
  ""110071780268"",
  ""110071020240""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_FRS_FRS_FACILITIES,FED_EPA_FRS_FRS_PROGRAM_LINKS,FRS_ID,STEEL,REGISTRY_ID,REGISTRY_ID,3277557,3277557.0,3422891.0,100.0,1.0,"[
  ""110071108697"",
  ""110071358813"",
  ""110071439682"",
  ""110006443599""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
INTL_GLEIF,INTL_GLEIF_REPEX,LEI,STEEL,LEI,LEI,3140372,3382301.0,3142660.0,99.9,1.0,"[
  ""529900Q0DRBVLHE91R52"",
  ""335800CH1UAAPUNKXV41"",
  ""335800L9VPMHRGIVFF66"",
  ""254900MEJ11VS03UB346""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_EPA_ECHO,FED_EPA_FRS_FRS_PROGRAM_LINKS,FRS_ID,STEEL,FRS_ID,REGISTRY_ID,3134321,3135553.0,3422891.0,100.0,1.0,"[
  ""110071108697"",
  ""110071358813"",
  ""110071439682"",
  ""110006443599""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_CMS_MEDICARE_FEE_FOR_SERVICE_PUBLIC_PROVIDER_ENROLLMENT,FED_CMS_PECOS_PROVIDER_ENROLLMENT,NPI,STEEL,NPI,NPI,2541258,2541258.0,2541258.0,100.0,1.0,"[
  ""1366104044"",
  ""1508813999"",
  ""1932789971"",
  ""1447522503""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_CMS_NPPES,FED_CMS_PECOS_PROVIDER_ENROLLMENT,NPI,STEEL,NPI,NPI,2540936,9606683.0,2541258.0,100.0,1.0,"[
  ""1366104044"",
  ""1508813999"",
  ""1932789971"",
  ""1447522503""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_CMS_MEDICARE_FEE_FOR_SERVICE_PUBLIC_PROVIDER_ENROLLMENT,FED_CMS_NPPES,NPI,STEEL,NPI,NPI,2540936,2541258.0,9606683.0,100.0,1.0,"[
  ""1518962349"",
  ""1376535823"",
  ""1396744413"",
  ""1922008606""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_CMS_FISCAL_INTERMEDIARY_SHARED_SYSTEM_ATTENDING_AND_RENDERING,FED_CMS_NPPES,NPI,STEEL,NPI,NPI,2046301,2047826.0,9606683.0,99.9,1.0,"[
  ""1518962349"",
  ""1376535823"",
  ""1922008606"",
  ""1942233622""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_CMS_NPPES,FED_CMS_ORDER_AND_REFERRING,NPI,STEEL,NPI,NPI,2016910,9606683.0,2018350.0,99.9,1.0,"[
  ""1356367098"",
  ""1447249347"",
  ""1730159211"",
  ""1871697409""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_CMS_NPPES,FED_CMS_OPEN_PAYMENTS_PROFILE_SUPPLEMENT,NPI,STEEL,NPI,COVERED_RECIPIENT_NPI,1681778,9606683.0,1681790.0,100.0,1.0,"[
  ""1629170600"",
  ""1396451324"",
  ""1588665939"",
  ""1245893916""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_IRS_EO_BMF,FED_IRS_PUB78_ELIGIBLE_DONEES,EIN,STEEL,EIN,EIN,1434549,1983563.0,1435544.0,99.9,1.0,"[
  ""010567486"",
  ""020522030"",
  ""043265420"",
  ""043389268""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_CMS_NPPES,FED_CMS_PART_D_PRESCRIBERS,NPI,STEEL,NPI,NPI,1416881,9606683.0,1416883.0,100.0,1.0,"[
  ""1336197706"",
  ""1336174374"",
  ""1336768696"",
  ""1578736328""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER,FED_CMS_MEDICARE_PROVIDER,NPI,STEEL,RNDRNG_NPI,NPI,1296739,1296739.0,1296739.0,100.0,1.0,"[
  ""1215918826"",
  ""1225792641"",
  ""1720099682"",
  ""1689699597""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER,FED_CMS_NPPES,NPI,STEEL,RNDRNG_NPI,NPI,1296736,1296739.0,9606683.0,100.0,1.0,"[
  ""1518962349"",
  ""1922008606"",
  ""1942233622"",
  ""1548346711""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_CMS_MEDICARE_PROVIDER,FED_CMS_NPPES,NPI,STEEL,NPI,NPI,1296736,1296739.0,9606683.0,100.0,1.0,"[
  ""1518962349"",
  ""1922008606"",
  ""1942233622"",
  ""1548346711""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI,FED_CMS_MEDICARE_PROVIDER,NPI,STEEL,RNDRNG_NPI,NPI,1207473,1207473.0,1296739.0,100.0,1.0,"[
  ""1225792641"",
  ""1720099682"",
  ""1689699597"",
  ""1225658917""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER,FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI,NPI,STEEL,RNDRNG_NPI,RNDRNG_NPI,1207473,1296739.0,1207473.0,100.0,1.0,"[
  ""1285191841"",
  ""1730148263"",
  ""1457311599"",
  ""1982126595""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI,FED_CMS_NPPES,NPI,STEEL,RNDRNG_NPI,NPI,1207471,1207473.0,9606683.0,100.0,1.0,"[
  ""1518962349"",
  ""1922008606"",
  ""1942233622"",
  ""1548346711""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_IRS_AUTO_REVOCATIONS,FED_IRS_REVOCATION,EIN,STEEL,EIN,EIN,1187317,1187975.0,1187366.0,100.0,1.0,"[
  ""311562324"",
  ""472414174"",
  ""366588360"",
  ""562335669""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_CMS_NPPES,FED_CMS_PARTD_PRESCRIBER_DRUG,NPI,STEEL,NPI,Prscrbr_NPI,1057565,9606683.0,1057566.0,100.0,1.0,"[
  ""1104867209"",
  ""1770689671"",
  ""1801090238"",
  ""1700050358""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
FED_CMS_NPPES,FED_CMS_OPEN_PAYMENTS,NPI,STEEL,NPI,NPI,979132,9606683.0,979136.0,100.0,1.0,"[
  ""1760542203"",
  ""1336553627"",
  ""1659798049"",
  ""1184310252""
]",8283dd47ad1d468f,2026-08-18 18:08:29.356000
