YR,ST,FIPS5,ROWS_ALL,APPS,APPS_WIDE,DENIED,ORIG,ORIG_RS,ORIG_HOEPA,ORIG_LIEN1,ORIG_LIEN1_RS,AVG_RS
2017,TX,48029,85927,55398,70991,12550,40362,4069,10,38257,4030,2.456869
2015,TX,48453,62159,42866,52493,8277,32928,1402,2,30521,1297,3.138374
2015,CA,06017,14538,10385,12847,2055,7949,180,0,7734,161,2.822222
2016,MO,29037,6518,4578,5440,806,3578,195,0,3468,181,2.543590
2016,IL,17031,234798,164059,196910,37972,121099,5246,21,118078,5072,2.233321
2016,CA,06017,17734,12792,15781,2608,9734,230,0,9525,217,2.604348
2016,KY,21111,38556,28182,33665,5060,21852,1048,0,20913,1029,2.340649
2015,CA,06065,146149,100314,124519,22957,72900,3746,15,70740,3613,2.483182
2015,UT,49005,5784,4038,4713,674,3205,85,0,3005,63,2.929412
2015,NV,32003,115384,78657,96001,17734,57762,5272,2,56661,5150,2.200873
2015,GA,13111,1576,1174,1385,267,877,21,0,848,21,2.619048
2016,TN,47063,2746,1996,2411,549,1345,92,1,1265,89,2.576087
2015,OR,41017,13959,10157,12036,1502,8313,302,1,8224,296,2.387417
2017,SC,45019,23921,17025,20827,3151,13165,471,0,12645,444,2.605096
2016,MA,25027,41685,30741,36505,6741,23188,609,4,21339,568,2.407225
2015,MI,26093,13068,9402,11037,1683,7423,350,2,7084,336,3.345714
2016,CA,06071,133868,90543,114972,22796,64102,3987,3,61934,3928,2.390268
2016,WI,55025,27254,22074,25536,2746,18582,208,4,17978,187,2.663462
2015,PA,42101,52824,37561,45399,13359,22866,1553,5,21048,1335,2.542820
2015,OH,39061,33430,25306,29441,5864,18477,978,2,17780,941,2.225971
2015,CA,06061,31427,22110,27355,3978,17347,342,2,16875,322,2.701754
2017,IN,18039,8065,5910,6915,1138,4456,694,0,4243,672,3.237752
2017,CA,06069,3682,2416,3089,423,1864,87,0,1784,82,2.298851
2017,OR,41067,30679,21358,26589,3064,17378,432,3,16742,351,2.849537
2017,GA,13045,5422,3627,4528,953,2564,210,2,2403,208,2.352381
2015,TX,48215,15246,10974,13243,4370,6061,1273,10,5597,1265,2.599372
2015,FL,12005,9494,6910,8428,2022,4632,482,2,4385,476,2.639004
2016,SC,45063,16388,11578,13969,2912,8273,535,1,8007,532,3.003738
2015,OH,39049,54206,38211,44714,7934,28664,1923,1,27757,1857,2.311492
2016,MD,24510,23779,15961,19763,5146,10187,561,2,9691,553,2.188948
2015,TX,48141,27931,20109,23710,6299,12435,1862,1,11344,1808,2.522019
2016,MO,29099,15120,9717,11740,1942,7481,481,0,7236,468,2.453222
2017,MN,27003,21759,14643,17350,2248,11918,460,1,10880,442,2.817391
2015,NY,36091,9129,6980,8039,1323,5232,189,0,4829,172,3.449735
2017,GA,13217,6150,4007,5213,1102,2746,413,2,2623,410,2.169492
2017,TX,48039,17028,11200,14140,2440,8211,975,3,7874,956,2.954872
2016,MD,24003,40601,27142,33350,5776,20433,489,0,19747,450,2.723926
2016,CO,08039,3321,2192,2791,454,1663,58,0,1584,47,2.896552
2017,NC,37067,14701,10442,12977,2164,7871,559,2,7624,552,2.298748
2015,TN,47013,1617,1238,1477,351,824,187,0,791,185,3.438503
2015,TN,47157,33596,23048,27184,6556,15361,725,4,14629,709,2.297931
2016,PA,42133,22187,15269,18201,3604,11012,622,3,10253,582,2.454984
2017,KS,20091,31993,21410,26114,2589,18246,489,0,17597,437,2.631902
2015,WA,53053,48529,34057,42321,6814,25893,1444,4,24943,1397,2.292936
2016,NY,36029,27139,20330,22879,4434,15382,465,3,13993,432,2.505376
2017,ME,23005,15655,11025,13462,1868,8671,275,0,8063,258,2.763636
2016,NC,37049,4899,3518,4380,915,2436,133,0,2324,132,2.789474
2017,GA,13089,35158,23090,29815,5486,16693,1095,3,15897,1075,2.226484
2017,MN,27123,23225,15650,18652,2325,12816,369,2,11626,355,2.536585
2017,PA,42041,10479,7624,8918,1247,5996,261,1,5275,215,2.938697
2017,WY,56033,1124,725,892,136,569,18,0,537,18,3.055556
