rank,weirdness,top_shape,table,column,clock,span,n_rows,notes
1,1.0,explosion,OPEN_DATA.OPEN_DATA__INTL_FR_DATA_GOUV,CREATED_AT,reported,1827-01-01 to 2028-07-01,130427,"gaps: 2055 of 2424 periods empty; explosion: recent periods at 48.5x the historical norm; spike: 2017-10-01 is 102x the median period; level_shift: step change at 2008-01-01; seasonal: peaks in month 7, 2.5x the quietest"
2,1.0,explosion,REFERENCE.REFERENCE__XC_ROR_RESEARCH_ORGANIZATIONS,ESTABLISHED_YEAR,happened,1700 to 2026,108761,explosion: recent periods at 32.3x the historical norm; spike: 2007 is 28x the median period; level_shift: step change at 1742
3,1.0,sudden_stop,POLITICS.POLITICS__ST_NYC_CFB_CAMPAIGN_2009_CONTRIBUTION,CONTRIBUTION_DATE,happened,2000-05-01 to 2010-01-01,145943,"gaps: 57 of 132 periods empty; sudden_stop: nothing after 2010-01-01; explosion: recent periods at 18.8x the historical norm; spike: 2009-08-01 is 26x the median period; level_shift: step change at 2005-10-01; seasonal: peaks in month 6, 4.1x the quietest"
4,1.0,spike,CONSUMER_SAFETY.CONSUMER_SAFETY__FED_NHTSA_INVESTIGATIONS,OPEN_DATE,decided,1972-03-01 to 2026-07-01,154052,"spike: 2015-02-01 is 1654x the median period; level_shift: step change at 1984-09-01; seasonal: peaks in month 2, 28.4x the quietest"
5,1.0,sudden_stop,POLITICS.POLITICS__ST_NYC_CFB_CAMPAIGN_2013_CONTRIBUTION,CONTRIBUTION_DATE,happened,1913-06-01 to 2014-01-01,197886,"gaps: 1118 of 1224 periods empty; sudden_stop: nothing after 2014-01-01; explosion: recent periods at 36.5x the historical norm; spike: 2013-08-01 is 50x the median period; level_shift: step change at 2007-01-01; seasonal: peaks in month 7, 3.5x the quietest"
6,1.0,sudden_stop,REFERENCE.REFERENCE__FED_ITIS_NODC_IDS,UPDATE_DATE,reported,1996-06-01 to 1997-03-01,209565,pile_up: 74% of all rows in 1996-06-01; gaps: 21 of 24 periods empty; sudden_stop: nothing after 1997-03-01; collapse: recent periods at 1% of the historical norm; sudden_start: opens at 2.9x its own median
7,1.0,spike,ECONOMICS.ECONOMICS__INTL_IT_ISTAT,DATE,happened,2020-01-01 to 2023-01-01,213284,"gaps: 11 of 48 periods empty; sudden_stop: nothing after 2023-01-01; spike: 2022-01-01 is 185x the median period; level_shift: step change at 2020-05-01; seasonal: peaks in month 1, 180.6x the quietest"
8,1.0,explosion,POLITICS.POLITICS__ST_NYC_CFB_CAMPAIGN_2025_CONTRIBUTIONS,CONTRIBUTION_DATE,happened,2014-07-01 to 2025-11-01,259480,"gaps: 97 of 144 periods empty; explosion: recent periods at 17.5x the historical norm; spike: 2025-03-01 is 53x the median period; level_shift: step change at 2023-04-01; seasonal: peaks in month 3, 6.6x the quietest"
9,1.0,explosion,ENVIRONMENT.ENVIRONMENT__FED_EPA_NPDES_NPDES_SE_VIOLATIONS,SINGLE_EVENT_VIOLATION_DATE,happened,1976-07-01 to 2026-07-01,305478,explosion: recent periods at 12.8x the historical norm; spike: 2021-10-01 is 15x the median period; level_shift: step change at 1987-06-01
10,1.0,explosion,TRANSPORT.TRANSPORT__FED_FAA_AIRCRAFT_REGISTRY,CERT_ISSUE_DATE,decided,1940-12-01 to 2026-08-01,307544,gaps: 236 of 1044 periods empty; explosion: recent periods at 26.9x the historical norm; spike: 2023-03-01 is 41x the median period; level_shift: step change at 1967-09-01
11,1.0,explosion,LABOR.LABOR__FED_OSHA_ITA_CASE_DETAIL_2025,DATE_OF_INCIDENT,happened,2024-01-01 to 2025-12-01,330447,explosion: recent periods at 791.2x the historical norm; level_shift: step change at 2024-11-01
12,1.0,explosion,HEALTH.HEALTH__FED_CMS_NADAC,EFFECTIVE_DATE,happened,2022-11-01 to 2024-12-01,359514,"gaps: 11 of 36 periods empty; explosion: recent periods at 45.0x the historical norm; level_shift: step change at 2023-10-01; seasonal: peaks in month 12, 2.7x the quietest"
13,1.0,collapse,ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_EVENTS_MILESTONES,EVENT_ACTUAL_DATE,happened,1991-07-01 to 2099-06-01,394075,"gaps: 852 of 1308 periods empty; collapse: recent periods at 4% of the historical norm; spike: 2027-04-01 is 167x the median period; level_shift: step change at 2016-06-01; seasonal: peaks in month 4, 6.9x the quietest"
14,1.0,explosion,ENVIRONMENT.ENVIRONMENT__FED_EPA_NPDES_NPDES_PS_VIOLATIONS,ACTUAL_DATE,happened,1974-05-01 to 2026-07-01,331294,explosion: recent periods at 12.6x the historical norm; spike: 2015-11-01 is 17x the median period; level_shift: step change at 1986-10-01
15,1.0,collapse,POLITICS.POLITICS__ST_NYC_CFB_CAMPAIGN_2021_CONTRIBUTIONS,CONTRIBUTION_DATE,happened,2011-03-01 to 2023-12-01,457476,"gaps: 80 of 156 periods empty; sudden_stop: nothing after 2023-12-01; collapse: recent periods at 1% of the historical norm; spike: 2021-01-01 is 81x the median period; level_shift: step change at 2022-06-01; seasonal: peaks in month 1, 3.3x the quietest"
16,1.0,explosion,ENVIRONMENT.ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_PROGRAMS,BEGIN_DATE,span_start,1940-01-01 to 2028-10-01,457580,"pile_up: 48% of all rows in 2014-10-01; gaps: 560 of 1068 periods empty; explosion: recent periods at 19.9x the historical norm; spike: 2014-10-01 is 4657x the median period; level_shift: step change at 2001-10-01; seasonal: peaks in month 10, 19.4x the quietest"
17,1.0,spike,POLITICS.POLITICS__CA_LOBBY_COVER,RPT_DATE,reported,1724-01-01 to 2096-05-01,524698,"gaps: 4130 of 4476 periods empty; spike: 2026-07-01 is 50x the median period; level_shift: step change at 2002-10-01; seasonal: peaks in month 10, 57.9x the quietest"
