db,sch,tbl,col,sweep,detail,n,sampled
LIBRARY_MARTS,*,*,EIN,S5_twin_candidates,40 tables carry EIN; set-compare each pair. members: FINANCE.FINANCE__FED_IRS527_SCHEDULE_A_CONTRIBUTIONS | FINANCE.FINANCE__FED_IRS527_SCHEDULE_B_EXPENDITURES | ECONOMICS.ECONOMICS__FED_IRS_990_EFILE_INDEX | CORPORATE_REGISTRY.CORPORATE_REGISTRY__FED_IRS_EO_BMF | ECONOMICS.ECONOMICS__FED_IRS_BMF | POLITICS.POLITICS__FED_FCC_LICENSING | ECONOMICS.ECONOMICS__FED_IRS_PUB78_ELIGIBLE_DONEES | ECONOMICS.ECONOMICS__FED_IRS_AUTO_REVOCATIONS | ECONOMICS.ECO,37325153,False
LIBRARY_MARTS,*,*,NPI,S5_twin_candidates,34 tables carry NPI; set-compare each pair. members: HEALTH.HEALTH__FED_CMS_PARTD_PRESCRIBERS | HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS | HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS_2023 | HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS_2022 | HEALTH.HEALTH__FED_CMS_MEDICARE_DIALYSIS_FACILITIES | HEALTH.HEALTH__FED_CMS_NPPES | HEALTH.HEALTH__FED_CMS_PECOS_PROVIDER_ENROLLMENT | IMMIGRATION.IMMIGRATION__FED_CMS_MEDICARE_FEE_FOR_SERVICE_PUBLIC_PROVIDER_ENROLLMENT | HEALTH.,109916875,False
LIBRARY_MARTS,*,*,CCN,S5_twin_candidates,19 tables carry CCN; set-compare each pair. members: HEALTH.HEALTH__FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY | HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS | HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS_2023 | HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS_2022 | HEALTH.HEALTH__FED_CMS_MEDICARE_DIALYSIS_FACILITIES | HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION | HEALTH.HEALTH__FED_CMS_HOME_HEALTH_OWNERS | HEALTH.HEALTH__FED_CMS_POS_OTHER | HEALTH.HEALTH__FED_CMS_SKIL,89749100,False
LIBRARY_MARTS,*,*,CIK,S5_twin_candidates,15 tables carry CIK; set-compare each pair. members: FINANCE.FINANCE__FED_SEC_13F_SUBMISSIONS | FINANCE.FINANCE__FED_SEC_EDGAR_INSIDERS | FINANCE.FINANCE__FED_SEC_EDGAR_FINANCIALS | ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR | ECONOMICS.ECONOMICS__FED_SEC_EDGAR_COMPANY_TICKERS | FINANCE.FINANCE__FED_SEC_EDGAR_COMPANY_TICKERS_EXCHANGE | FINANCE.FINANCE__FED_SEC_DERA_SUB_2024Q2 | FINANCE.FINANCE__FED_SEC_DERA_SUB_2025Q2 | FINANCE.FINANCE__FED_SEC_DERA_SUB_,589961,False
LIBRARY_MARTS,*,*,REGISTRY_ID,S5_twin_candidates,12 tables carry REGISTRY_ID; set-compare each pair. members: ENVIRONMENT.ENVIRONMENT__FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS | ENVIRONMENT.ENVIRONMENT__FED_EPA_FRS_FACILITIES | ENVIRONMENT.ENVIRONMENT__FED_EPA_FRS_FRS_PROGRAM_LINKS | ENVIRONMENT.ENVIRONMENT__FED_EPA_FRS_FRS_FACILITIES | ENVIRONMENT.ENVIRONMENT__FED_EPA_FRS_FRS_NAICS_CODES | ENVIRONMENT.ENVIRONMENT__FED_EPA_NPDES_NPDES_INSPECTIONS | ENVIRONMENT.ENVIRONMENT__FED_EPA_FRS_FRS_SIC_COD,29806098,False
LIBRARY_MARTS,*,*,CAND_ID,S5_twin_candidates,10 tables carry CAND_ID; set-compare each pair. members: FINANCE.FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE | FINANCE.FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES | FINANCE.FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES__PREV_20260906 | FINANCE.FINANCE__FED_FEC_COMMITTEES | POLITICS.POLITICS__FEC_COMMITTEE | FINANCE.FINANCE__FED_FEC_CAND_CMTE_LINKAGE | FINANCE.FINANCE__FED_FEC_CANDIDATES | POLITICS.POLITICS__FEC_CANDIDATE | POLITICS.POLITICS__FEC_CAND_CMTE_LINK | ,1604615,False
LIBRARY_MARTS,*,*,NPDES_ID,S5_twin_candidates,10 tables carry NPDES_ID; set-compare each pair. members: ENVIRONMENT.ENVIRONMENT__FED_EPA_NPDES_NPDES_QNCR_HISTORY | ENVIRONMENT.ENVIRONMENT__FED_EPA_NPDES_NPDES_INSPECTIONS | ENVIRONMENT.ENVIRONMENT__FED_EPA_NPDES_ICIS_FACILITIES | ENVIRONMENT.ENVIRONMENT__FED_EPA_NPDES_NPDES_SICS | ENVIRONMENT.ENVIRONMENT__FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS | ENVIRONMENT.ENVIRONMENT__FED_EPA_NPDES_NPDES_PS_VIOLATIONS | ENVIRONMENT.ENVIRONMENT__FED_EPA_NP,13561215,False
LIBRARY_MARTS,*,*,CMTE_ID,S5_twin_candidates,9 tables carry CMTE_ID; set-compare each pair. members: FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS | FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS__PREV_20260906 | FINANCE.FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE | FINANCE.FINANCE__FED_FEC_COMMITTEES | POLITICS.POLITICS__FED_FEC_PAC_SUMMARY | POLITICS.POLITICS__FEC_COMMITTEE | FINANCE.FINANCE__FED_FEC_CAND_CMTE_LINKAGE | PUBLIC.MONEY_IN_POLITICS__FEC_INDIV_BY_CMTE_CYCLE_AGG | POLITICS.POLITICS__FEC_CAN,369033969,False
LIBRARY_MARTS,*,*,PWSID,S5_twin_candidates,9 tables carry PWSID; set-compare each pair. members: ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT | ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_SITE_VISITS | ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_FACILITIES | ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_LCR_SAMPLES | ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_GEOGRAPHIC_AREAS | ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS | IMMIGRATION.IMMIGRATION__FED_EPA_SDWA,22626637,False
LIBRARY_MARTS,*,*,LEI,S5_twin_candidates,7 tables carry LEI; set-compare each pair. members: ECONOMICS.ECONOMICS__INTL_GLEIF_REPEX | ECONOMICS.ECONOMICS__INTL_GLEIF | HOUSING.HOUSING__FED_CFPB_HMDA_DC_ONLY | HOUSING.HOUSING__FED_CFPB_HMDA | FINANCE.FINANCE__FED_FDIC_BANK_DATA | HOUSING.HOUSING__FED_CFPB_HMDA_LAR | FINANCE.FINANCE__INTL_ISO_MIC_REGISTRY,9800449,False
