table_a,table_b,key,tier,col_a,col_b,matched,distinct_a,distinct_b,match_rate,verdict,note,norm
FED_CMS_NADAC,FED_FDA_NDC_DIRECTORY,NDC9,MEASURED,NDC,PRODUCTNDC,17958,21866,114649,82.1,SOLID,only joins after both sides are padded to 5-4 digits (labeler-product); a raw string join gives 0%,ndc9
FED_FDA_GUDID_FULL_DEVICE,FED_FDA_GUDID_FULL_IDENTIFIERS,UDI_DI,MEASURED,PRIMARYDI,PRIMARYDI,5182695,5182695,5182695,100.0,level 2 only (overlap measured live; matched pairs not name-checked),"same publisher, two files; the partner files (MAUDE adverse events, device recalls) are not loaded yet",
FED_FDA_GUDID_FULL_DEVICE,FED_USASPENDING_CONTRACTS_FULL,DUNS,MEASURED,DUNSNUMBER,recipient_duns,2096,12272,357876,17.1,SOLID,device makers that are also federal contractors,
FED_HRSA_UDS_SERVICE_DELIVERY_SITES,FED_CMS_NPPES,NPI,MEASURED,FQHC_SITE_NPI_NUMBER,NPI,6003,6048,9606683,99.3,SOLID (site -> parent org),"the clinic row carries its parent organization's NPI, so names differ site vs org; only 32% of sites carry one",
FED_HRSA_UDS_SERVICE_DELIVERY_SITES,FED_CMS_POS_OTHER,CCN,MEASURED,FQHC_SITE_MEDICARE_BILLING_NUMBER,CCN,7559,8422,44429,89.8,SOLID (site -> parent org),states agree 100%; site name vs org name,
FED_HRSA_UDS_SERVICE_DELIVERY_SITES,FED_HRSA_UDS_HEALTH_CENTER_INFO,BHCMIS,MEASURED,BHCMIS_ORGANIZATION_IDENTIFICATION_NUMBER,BHCMISID,1344,1525,1356,88.1,level 2 only (overlap measured live; matched pairs not name-checked),grantee <-> its sites,
FED_CMS_HOSPICE_ENROLLMENTS,FED_CMS_MEDICARE_FEE_FOR_SERVICE_PUBLIC_PROVIDER_ENROLLMENT,PECOS_PAC,MEASURED,ASSOCIATE_ID,PECOS_ASCT_CNTL_ID,5003,5372,2456135,93.1,SOLID,hospices join the PECOS ownership axis,
FED_CMS_POS_OTHER,FED_CMS_POS_OTHER,CCN,MEASURED,CROSS_REF_PROVIDER_NUMBER,CCN,5405,5557,44429,97.3,SOLID (lineage),"predecessor facility number -> current number; names differ by design, states agree 100%",
FED_CMS_NURSING_HOME,FED_NURSINGHOME411,CHAIN_ID,MEASURED,CHAIN_ID,CHAIN_ID,576,635,617,90.7,SOLID,"chain = owner group; there is no chain master table, names only",
FED_EPA_TRI_FACILITY,FED_EPA_FRS_FRS_FACILITIES,FRS_ID,MEASURED,EPA_REGISTRY_ID,REGISTRY_ID,64631,64728,3277557,99.9,"SOLID (site key, name drift)","use this column, NOT the dead FRS_ID column on the same table; name mismatches are ownership changes at the same site",
